Code,Sektor,Sub_Sektor,Ticker_YF,Link
JPFA,Barang-Konsumen-Primer,Daging Ayam Ikan,JPFA.JK,https://stockbit.com/symbol/JPFA
CPIN,Barang-Konsumen-Primer,Daging Ayam Ikan,CPIN.JK,https://stockbit.com/symbol/CPIN
RLCO,Barang-Konsumen-Primer,Daging Ayam Ikan,RLCO.JK,https://stockbit.com/symbol/RLCO
WMUU,Barang-Konsumen-Primer,Daging Ayam Ikan,WMUU.JK,https://stockbit.com/symbol/WMUU
ASHA,Barang-Konsumen-Primer,Daging Ayam Ikan,ASHA.JK,https://stockbit.com/symbol/ASHA
CPRO,Barang-Konsumen-Primer,Daging Ayam Ikan,CPRO.JK,https://stockbit.com/symbol/CPRO
IKAN,Barang-Konsumen-Primer,Daging Ayam Ikan,IKAN.JK,https://stockbit.com/symbol/IKAN
AYAM,Barang-Konsumen-Primer,Daging Ayam Ikan,AYAM.JK,https://stockbit.com/symbol/AYAM
MAIN,Barang-Konsumen-Primer,Daging Ayam Ikan,MAIN.JK,https://stockbit.com/symbol/MAIN
DSFI,Barang-Konsumen-Primer,Daging Ayam Ikan,DSFI.JK,https://stockbit.com/symbol/DSFI
DEWI,Barang-Konsumen-Primer,Daging Ayam Ikan,DEWI.JK,https://stockbit.com/symbol/DEWI
ISEA,Barang-Konsumen-Primer,Daging Ayam Ikan,ISEA.JK,https://stockbit.com/symbol/ISEA
DPUM,Barang-Konsumen-Primer,Daging Ayam Ikan,DPUM.JK,https://stockbit.com/symbol/DPUM
ENZO,Barang-Konsumen-Primer,Daging Ayam Ikan,ENZO.JK,https://stockbit.com/symbol/ENZO
NEST,Barang-Konsumen-Primer,Daging Ayam Ikan,NEST.JK,https://stockbit.com/symbol/NEST
UDNG,Barang-Konsumen-Primer,Daging Ayam Ikan,UDNG.JK,https://stockbit.com/symbol/UDNG
WMPP,Barang-Konsumen-Primer,Daging Ayam Ikan,WMPP.JK,https://stockbit.com/symbol/WMPP
AGAR,Barang-Konsumen-Primer,Daging Ayam Ikan,AGAR.JK,https://stockbit.com/symbol/AGAR
AMMS,Barang-Konsumen-Primer,Daging Ayam Ikan,AMMS.JK,https://stockbit.com/symbol/AMMS
CRAB,Barang-Konsumen-Primer,Daging Ayam Ikan,CRAB.JK,https://stockbit.com/symbol/CRAB
SIPD,Barang-Konsumen-Primer,Daging Ayam Ikan,SIPD.JK,https://stockbit.com/symbol/SIPD
EPMT,Barang-Konsumen-Primer,Ritel Distributor Obat Obatan,EPMT.JK,https://stockbit.com/symbol/EPMT
SDPC,Barang-Konsumen-Primer,Ritel Distributor Obat Obatan,SDPC.JK,https://stockbit.com/symbol/SDPC
DAYA,Barang-Konsumen-Primer,Ritel Distributor Obat Obatan,DAYA.JK,https://stockbit.com/symbol/DAYA
STRK,Barang-Konsumen-Primer,Alkohol,STRK.JK,https://stockbit.com/symbol/STRK
BEER,Barang-Konsumen-Primer,Alkohol,BEER.JK,https://stockbit.com/symbol/BEER
