Date,Close,High,Low,Open,Volume,DH,AK,EP,PC,QA,XA,OD,SF,GR,CP,HD,CC,YP,RG,AG,AT,PD,IF,XL,CD,TP,AO,MU,GI,LG,YB,KI,ZP,DX,BK,AI,PO,YU,DR,RO,SQ,NI,AZ,XC,BQ,KK,MG,HP,KZ,FZ,SS,YO,BB,IH,FS,TF,LS,RX,YJ,ES,PG,JB,AR
2026-07-13,350.0,350.0,338.0,340.0,10993900,-0.0532,0.6035,0.0023,-0.0018,0.0,-0.0908,-0.0716,0.0,-0.0124,-0.024,-0.0054,0.1654,-0.2202,0.0,0.0,-0.017,-0.1054,0.001,-0.3341,-0.001,-0.1042,0.0,0.0,0.0,-0.0018,0.0122,-0.0009,0.5382,0.0033,0.025,0.0,0.0,-0.5642,0.803,0.0011,0.0222,0.1686,-0.003,-0.24,-0.0124,-0.3663,-0.0855,-0.0005,0.0,0.0,0.0,0.0,0.0,-0.0014,-0.0007,0.0025,-0.03,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,346.0,350.0,340.0,350.0,12629400,0.0075,0.3347,0.0169,0.0004,0.0016,0.2042,-0.3564,0.0,0.0244,0.0566,0.0345,-0.5509,-0.4308,0.0,0.0,-0.0224,-0.0015,0.0458,0.3793,-0.0003,-0.0651,0.0,0.0,0.0,-0.037,0.0355,0.0001,0.0906,0.014,0.5583,0.0117,0.0003,0.0008,0.1876,0.0003,-0.1307,-0.5302,0.0695,0.1025,0.0509,-0.0672,0.0001,0.0,0.0,0.0,0.0,0.0,-0.035,-0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,346.0,348.0,340.0,346.0,6359000,0.001,0.2096,-0.2383,0.0,-0.0004,0.0171,-0.0274,0.0,0.0088,0.0164,-0.0255,0.2945,0.0039,0.0,-0.4329,-0.0002,-0.0486,-0.0052,-0.0859,0.0,0.0001,0.0,0.0,0.0,0.0,0.0225,0.0006,0.2082,0.0002,0.4385,0.0,0.0,0.1024,0.0006,-0.0013,0.0077,-0.2816,0.0001,0.0392,0.0167,-0.2256,0.0,-0.0476,0.0,0.0,0.0344,-0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,346.0,348.0,342.0,346.0,10386600,0.008,0.093,0.0036,0.0002,0.0,0.0388,0.0118,0.0,-0.0138,-0.0179,-0.0004,0.6887,-0.0925,0.0,0.0,-0.0074,0.029,0.0005,0.0567,-0.0,-0.0965,0.0,0.0,0.0,0.0017,0.0047,0.001,-0.6686,0.0,0.6831,0.001,0.0,-0.2401,-0.005,-0.0004,-0.0011,0.0277,0.0001,-0.0004,0.0336,-0.395,0.0332,0.0,-0.173,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,352.0,352.0,344.0,348.0,11084700,-0.0715,0.056,-0.0011,0.0005,-0.0007,-0.2121,0.0903,0.0002,0.0437,-0.0679,0.0051,0.3072,-0.1465,0.0002,-1.0,0.004,-0.4317,-0.001,0.1605,-0.0021,-0.0062,0.1465,0.0006,-400.0,-0.0352,-0.0302,-600.0,0.0252,0.005,0.7912,0.0052,-0.0003,0.5759,0.0737,-0.0044,0.0152,-0.1178,-0.0705,-0.0703,-0.0106,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,354.0,356.0,348.0,352.0,14006100,0.0675,-0.1871,0.4751,-0.0005,0.0,0.1044,-0.0302,0.0,0.0111,0.0658,-0.0118,0.1829,-0.0143,-0.002,-1.1,0.0055,0.0298,0.0,-0.4189,-0.0001,0.1168,-0.0564,0.0,0.0,0.0022,0.0211,-0.1054,0.8363,-0.0019,0.9813,-0.0129,0.0,-0.1974,0.0741,-0.0007,0.0382,-0.7426,-0.078,0.0343,-0.0148,0.0019,-0.008,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,-0.0356,0.0018,-0.0036,0.0,0.0
2026-07-21,358.0,358.0,352.0,356.0,8567100,0.0513,0.0048,-0.0219,0.0,0.0,-0.5685,-0.109,0.0,-0.027,0.0175,0.0024,0.0973,0.116,-0.0018,0.0004,-0.0015,-0.1245,-0.0011,-0.1328,0.0,-0.0393,0.0,0.0,0.0,0.0345,-0.0054,-0.0661,0.1309,-0.0088,0.0,0.0216,0.0004,-0.0002,0.0117,0.0018,0.0446,0.0184,-0.0208,0.0506,-0.0002,0.0808,0.0,0.0002,0.0,-0.0979,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0356,0.5802,0.0004,0.0,-0.0036,0.0,0.0
2026-07-22,358.0,360.0,352.0,358.0,9788900,0.0009,0.0948,-0.0092,-400.0,-0.0003,0.0771,-0.0745,0.0,-0.0061,-0.0042,-0.0402,0.0144,0.05,0.0004,0.0001,0.0124,0.026,-0.0029,0.1462,0.0,0.0298,-0.1062,0.0,0.0,-0.2745,0.0746,0.004,-0.0048,0.0,-0.2748,0.0004,0.0,-0.0001,0.0177,0.0021,-0.1601,-0.1574,-0.0006,0.0531,-0.0074,-0.0099,-0.0,0.0,0.0,0.0,0.0,0.0,-0.1234,0.0,0.0,0.0,-0.0002,0.6524,0.0,0.0,0.0,0.0004,0.0
2026-07-23,360.0,368.0,358.0,360.0,30335900,-0.0752,-0.0334,-0.1318,0.0,0.0008,-0.3006,0.1733,0.0,-0.1276,-0.1114,0.0028,0.4806,-3.5,0.0009,0.0,0.0,-0.1549,0.0054,-0.9253,0.0,0.0551,-0.072,0.0,0.0,-0.1394,-0.0269,-0.0085,1.6,0.0019,-0.0548,0.0189,0.0,0.0,0.403,-0.0128,-0.077,-0.5135,-0.0264,-0.1651,-0.0353,-0.1011,0.0,0.01,0.0,0.0,0.0,0.0,-0.1879,0.0,0.0,0.0,-0.0362,4.2,0.0093,-0.1104,-0.0109,0.0,0.0
2026-07-24,356.0,362.0,354.0,358.0,17084700,-0.0243,0.1676,-0.0288,-0.0035,0.0001,0.0906,-0.1038,0.0,-0.0098,-0.0251,-0.0009,-0.0096,-1.2,0.0,0.0,0.027,-0.1892,0.0007,-0.1028,0.0002,-0.0497,0.0,0.0,0.0,0.0041,0.02,0.0005,1.5,0.0002,-0.0212,-0.0178,0.0,0.0007,-0.4417,-0.003,-0.3008,0.1301,-0.4523,-0.1286,-0.0355,-0.0232,0.0,0.0093,0.0,0.0,0.0,0.0,-0.1873,0.0,0.0004,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0
