Date,Close,High,Low,Open,Volume,QA,SQ,YJ,YU,LG,XC,XA,AZ,KK,LS,CP,PC,ZP,AT,KI,AK,EP,AI,OD,YP,DH,XL,CC,FZ,MG,TP,YB,IF,BQ,NI,GR,PD,IN,HP,RO,DR,SA,GI,ES,II,ZR,DX,BK,AG,ID,AO,BR,CD,MU,JB,PO
2026-07-13,66.0,68.0,65.0,67.0,24584400,-0.0004,-0.0048,0.0,0.0,-0.0017,-0.0239,-0.0148,0.0,0.0016,0.1918,0.0021,0.0,0.0005,0.0036,-0.0,0.0309,-0.0115,0.0005,0.0104,0.0081,-0.0032,-0.1379,-0.0606,0.0005,-0.0052,0.0,0.0422,0.0,-0.0224,-0.0343,0.0195,0.0616,-0.0,-0.021,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033,-0.0013,-0.0
2026-07-14,67.0,69.0,66.0,67.0,46887800,0.0017,-0.0067,0.0,0.0047,-0.0236,-0.0388,0.0001,0.0014,0.0334,-0.2155,0.1049,0.0,-0.0203,0.0246,-0.0351,0.1293,-0.0036,-0.0002,0.006,0.0757,0.0007,-0.1783,-0.0028,0.0,0.0,0.0,-0.0156,-0.0067,0.0087,0.0005,0.0815,0.0085,0.0,-0.0012,-0.0003,-0.0038,0.0,-0.0,0.0,0.0,-0.0001,0.0,0.0,0.0013,0.0,0.0,0.0,0.0054,0.067,-0.0027,0.0
2026-07-15,66.0,69.0,65.0,67.0,37492100,0.0,0.0067,0.0,-0.0025,-0.001,-0.0487,0.001,-0.1636,0.0462,-0.003,-0.0245,0.0,-0.0221,-0.0251,-0.0036,-0.0299,0.0138,-0.0769,-0.0138,0.0835,0.0012,0.2085,-0.1295,0.0006,0.0006,0.0,0.0847,0.0,0.0032,0.0336,0.0941,0.0281,0.0,-0.0,-0.0004,0.0034,0.0,-0.0001,0.0007,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,-0.066,0.0,0.0
2026-07-16,69.0,78.0,65.0,66.0,454282600,0.0003,0.0292,0.0,0.0178,-0.0009,0.1613,0.0157,0.0914,-0.2005,-0.0029,-0.0769,0.0094,-0.0149,-0.0081,-0.0013,-0.0414,0.0405,-0.0009,0.0595,0.0059,0.0201,-0.0624,0.0568,-0.02,0.011,-0.0016,0.0315,-0.0039,-0.0349,0.1036,-0.1044,-0.0684,800.0,0.0105,0.0053,0.0017,-0.0071,0.0021,-0.0007,-0.0068,0.0007,-0.0082,-0.0003,-0.0001,-0.0005,-0.0015,0.0001,-0.0055,0.0,0.0,0.0
2026-07-17,67.0,70.0,66.0,68.0,34139000,0.0013,0.0309,0.0014,0.001,0.0002,-0.0426,0.0075,-0.1131,0.0467,0.1339,0.0451,-0.0077,0.0127,0.0091,0.02,0.0329,0.0892,0.0034,-0.0033,0.2824,0.0013,-0.282,-0.1434,-0.0,-0.0268,-0.002,0.0538,0.0054,0.0001,-0.1191,-0.0266,-0.0154,-0.0,0.0024,-0.0055,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,68.0,69.0,67.0,67.0,14927900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,69.0,70.0,67.0,68.0,30096900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,68.0,69.0,67.0,69.0,22226200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,69.0,70.0,68.0,69.0,15107200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,66.0,69.0,65.0,68.0,16023000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
