Date,Close,High,Low,Open,Volume,NI,RO,XA,OD,YB,QA,DR,SQ,YP,YU,XC,LG,KK,XL,AK,AT,ZP,AI,EP,DH,IU,PD,BQ,AZ,AG,KI,MG,GR,CC,AO,DX,CP,BK,HP,TP,IF,BR,FZ,AH,PC,ZR,FS,SF,MI
2026-07-13,125.0,128.0,121.0,128.0,21079800,-0.3257,0.0003,0.0057,0.0003,-0.0216,0.0005,0.0007,0.0188,-0.0248,0.0001,0.0515,0.0489,-0.0552,0.1585,0.0502,-0.0012,-0.0,0.0006,0.0034,-0.0138,-0.0001,-0.1592,-0.0014,0.0041,0.0001,0.0172,-0.004,0.0045,0.1967,0.0,0.0,0.0285,0.0278,-0.0084,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029,-0.0001,-0.0008
2026-07-14,126.0,129.0,123.0,125.0,20968200,-0.0329,0.0018,0.0003,-0.029,-0.0376,-0.0008,-0.0001,0.0036,0.0293,-0.0001,-0.0443,0.0032,0.0508,-0.0995,0.064,0.0146,-0.0013,0.0,-0.001,0.0327,-0.0026,0.0547,-0.0136,0.0003,0.0,-0.0214,0.0,0.0296,-0.0632,0.0,-0.0019,0.0624,-0.0101,200.0,-0.0004,-0.0001,0.0002,0.0,0.0,0.0,0.0123,0.0,0.0,0.0
2026-07-15,128.0,134.0,126.0,126.0,66980600,0.0068,-0.0042,-0.0019,-0.037,0.0115,0.0017,-0.0118,0.0949,0.9964,0.0098,-0.1472,-0.0024,-0.0815,-0.7604,-0.1197,-0.0138,0.0587,-0.0001,-0.0008,0.1098,-0.0028,-0.0692,-0.0408,0.0028,0.0,0.022,0.0037,0.0019,-0.0975,-0.0027,0.0076,0.0935,-0.0003,-0.0128,-0.003,-0.0,-0.0001,0.0022,0.0008,-0.0013,-0.0129,0.0,0.0,0.0
2026-07-16,131.0,131.0,128.0,128.0,26302100,0.0192,0.0064,-0.0044,-0.0097,0.0218,0.0006,-0.0003,-0.0058,-0.1638,-0.0132,-0.0828,-0.0137,0.0839,-0.1016,0.1021,-0.0013,0.0168,-0.0001,0.0033,0.0946,0.0,-0.0149,-0.0359,0.0062,0.0,-0.0317,0.0013,-0.0319,0.184,0.0052,-0.0083,0.069,-0.0187,-0.0661,0.0156,-0.0258,-0.0001,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,130.0,134.0,128.0,133.0,23465500,-0.0157,0.0004,0.0126,0.006,0.0025,-0.0012,-0.0009,-0.0007,-0.7837,-0.0013,0.024,0.0001,0.0199,0.6921,0.0888,0.007,-0.019,-0.0001,0.014,0.0302,-0.0028,0.0554,0.001,0.0004,0.0004,0.0,-0.0016,0.0001,-0.127,0.005,-0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,131.0,133.0,129.0,129.0,20721500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,134.0,135.0,130.0,131.0,44844500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,132.0,139.0,130.0,135.0,60280600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,130.0,137.0,130.0,132.0,61961900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,139.0,151.0,133.0,134.0,530964800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
