Date,Close,High,Low,Open,Volume,KI,MG,EP,QA,XA,OD,GR,CP,HD,CC,HP,YP,DR,SQ,NI,AZ,BQ,XC,AT,KK,PD,XL,CD,GI,LG,DH,YU,RG,RO,FZ,IF,PC,SS,YO,YB,DX,AI,LS,PG,AO,ZP,BK,MI,TP,ES,YJ,BR
2026-07-13,60.0,61.0,59.0,60.0,3635000,0.006,0.003,0.0006,0.0,0.0,0.0066,-0.0053,-0.0002,-0.0002,-0.0027,0.0,-0.0025,0.0,-0.0038,0.0339,-0.0001,0.015,-0.0461,0.0,0.039,0.0113,-0.019,0.0,0.0,-0.0012,-0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0001,-0.0011,0.0,0.0,0.0,0.0,0.0
2026-07-14,60.0,61.0,59.0,60.0,2710400,0.0026,0.006,-0.0002,0.0,0.0,0.0004,0.0,-0.0,0.0,-0.0083,0.0,0.0006,0.0009,-0.0007,0.0273,-0.0003,-0.0009,0.0385,-0.0015,0.0036,-0.0174,-0.0468,0.0001,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,64.0,65.0,60.0,60.0,18201100,0.0012,0.008,-0.0,0.0,-0.1552,-0.0075,-0.0,0.0006,0.0,-0.0607,0.0,-0.0784,-0.0009,0.0014,-0.0497,-0.0154,0.0086,-0.0251,-0.0073,-0.0101,-0.0394,0.0517,0.0,0.0,-0.0117,-0.0009,0.0,0.0,0.0,0.0,-0.0003,-0.0,0.533,-0.0015,-0.0001,-0.0061,0.0003,-0.0085,-0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,64.0,65.0,62.0,64.0,7325000,-0.0013,-0.0003,-0.0084,100.0,0.0003,0.0021,0.0,0.0025,0.0003,0.0089,0.016,0.0148,0.0079,-0.0174,0.0216,0.0001,0.0066,0.0199,-0.0001,0.0066,-0.0341,-0.0446,0.0,-0.0,-0.0002,-0.0037,0.001,-0.0003,-0.0,-0.0002,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,64.0,65.0,63.0,64.0,3257200,-0.0062,0.0032,0.0002,-0.0004,-0.0003,0.0009,0.0101,0.033,-0.0003,0.0051,-0.0099,-0.0696,-0.0082,0.0015,0.0002,0.0022,0.0111,-0.011,0.0007,-0.0044,0.012,0.0316,0.0,-0.0003,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,64.0,66.0,62.0,64.0,8159000,0.0012,0.0,0.0,-0.0,0.0,0.012,0.025,-0.0345,-0.0,-0.0672,0.0,-0.0066,-0.0026,0.0089,0.0136,0.038,0.011,-0.0087,0.0013,-0.0192,0.1526,-0.0929,0.0,0.0,0.0,-0.0363,0.0001,0.0,-0.0,-0.0,0.0014,0.0,0.0,0.0,0.0021,0.0,0.0005,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,65.0,66.0,63.0,64.0,7930100,0.0003,0.0047,-0.0013,-0.0001,-0.0002,0.0449,-200.0,-0.0038,0.0001,-0.0181,-0.0065,-0.0513,-0.0216,0.0503,-0.0157,0.0002,-0.0028,-0.0079,-0.0007,0.0043,-0.0133,-0.0583,0.0,0.0,0.0002,0.0607,0.0134,0.0,-0.0001,0.0,0.0327,0.0,0.0,0.0,-0.0064,-0.0065,0.0001,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,64.0,68.0,64.0,66.0,19856200,0.0,0.0,-0.0002,0.0051,0.008,-0.0913,0.0,-0.0036,-0.0001,-0.0405,0.0,0.0486,-0.0167,-0.0211,-0.0491,-0.0201,-0.0283,0.003,0.0005,0.0069,0.0706,0.0848,0.0,-0.0,0.0335,-0.028,0.039,0.0,0.0,-0.0,0.0005,0.0003,0.0,0.0,-0.0032,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,66.0,67.0,64.0,65.0,8541500,0.0,0.0125,0.0,0.0,-0.0007,-0.0003,0.0,0.0,-0.0,-0.0082,0.0,0.1249,-0.0118,0.0818,0.0132,-0.0083,0.0003,-0.0522,0.0004,0.0032,-0.0458,-0.11,0.0,0.0,0.0,-0.0008,-0.0,0.0,-0.0,0.0,-0.0011,0.0402,0.0,0.0,-0.0049,0.0,-0.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,65.0,66.0,63.0,66.0,7210500,0.0078,0.0034,0.0002,0.0,0.0003,0.0106,0.0,0.0321,0.0002,0.0464,0.0,-0.0117,-0.0171,-0.001,-0.2969,0.0045,0.0,-0.0031,0.0002,0.033,0.0023,0.0925,0.0,0.0,0.0,0.0006,0.0009,0.0,0.0,-0.0001,-0.0004,0.0211,0.0,0.0,0.0716,0.0,0.0,0.0,0.0,-0.0065,0.0,0.0,0.002,0.0072,0.0,0.0,0.0
