Date,Close,High,Low,Open,Volume,CC,YP,ES,YU,XL,TP,XC,OD
2026-07-13,13800.0,14175.0,13800.0,14175.0,800,0.0013,0.0014,0.0,0.0014,-0.0083,0.0,0.0042,0.0
2026-07-14,13650.0,13800.0,13650.0,13800.0,3400,-0.0027,-0.0207,0.0,0.0276,0.0014,-0.0124,0.0179,-0.011
2026-07-15,13800.0,13800.0,13650.0,13650.0,1400,-0.0014,0.0,0.0,0.0,0.0041,-0.0166,0.0138,0.0
2026-07-16,13600.0,13600.0,13600.0,13600.0,100,-0.0014,0.0,0.0,0.0,0.0014,0.0,0.0,0.0
2026-07-17,13600.0,13600.0,13600.0,13600.0,600,-0.0014,-0.0014,-0.0054,0.0082,0.0,0.0,0.0,0.0
2026-07-20,13800.0,13800.0,13625.0,13625.0,800,,,,,,,,
2026-07-21,13800.0,13800.0,13600.0,13675.0,1000,,,,,,,,
2026-07-22,13800.0,13800.0,13600.0,13600.0,200,,,,,,,,
2026-07-23,13800.0,13800.0,13600.0,13600.0,1300,,,,,,,,
2026-07-24,13800.0,13800.0,13800.0,13800.0,100,,,,,,,,
