Date,Close,High,Low,Open,Volume,OD,QA,CP,GR,XL,CC,YP,BQ,PD,IF,NI,KI,KK,EP,LG,AT,XC,SQ,TP,AZ,DX,DH,AK,CD,XA,YB
2026-07-13,482.0,484.0,476.0,480.0,1175500,0.0009,-0.0009,-0.0032,0.0,0.0026,0.0225,-0.1068,-0.0002,0.006,0.0,0.0317,-0.0022,0.0017,-0.0025,-0.29,0.0,0.0111,0.3662,0.0,0.0,0.0,0.0001,-0.0457,0.0001,0.0087,0.0
2026-07-14,480.0,484.0,478.0,482.0,311200,0.0026,200.0,0.0,0.0019,-0.0535,0.016,-0.0107,0.0,0.0061,0.0,0.0015,0.0002,-0.0009,0.0,-0.0189,0.0001,0.0097,0.0482,0.0,0.0,-0.0,-0.0005,-0.0017,0.0,0.0,0.0
2026-07-15,480.0,484.0,478.0,484.0,213300,0.0039,0.0,0.0,0.0,0.0271,-0.0078,0.0093,0.0,0.0052,0.0,-0.0056,0.0,0.01,-0.0579,0.0,0.0002,0.0088,-0.0076,0.0145,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-16,482.0,484.0,478.0,484.0,279200,0.0036,0.0,0.0,0.0,0.011,0.0059,0.0027,-0.0021,0.0124,0.0,-0.005,0.0,0.0371,-0.0684,0.0,0.0,-0.0133,0.0068,0.0096,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,486.0,486.0,480.0,482.0,503100,0.0015,-0.0,-0.0027,0.0001,0.0174,0.1723,0.003,-0.0937,-0.0082,-0.0,-0.0259,-0.0014,0.0002,-0.001,0.0012,0.0001,0.0034,-0.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,488.0,490.0,486.0,486.0,458600,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,490.0,490.0,488.0,490.0,447900,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,490.0,492.0,488.0,490.0,143600,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,490.0,492.0,488.0,492.0,325200,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,494.0,494.0,486.0,490.0,1740400,,,,,,,,,,,,,,,,,,,,,,,,,,
