Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,XC,SQ,DH,AZ,NI,TP,TS,BQ,HP,LG,DX,QA,GR,AT,YB,YP,CC,IF,OD,KK,CP,KI,BK,XA,RO,DR,AK
2026-07-13,1005.0,1010.0,995.0,1000.0,359200,-0.0,0.0977,0.0025,0.0,-0.0088,0.0041,0.0,0.0,-0.0018,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.001,0.0,0.0,0.0548,-0.1104,0.0,0.0338,-0.0083,0.0,0.0,-0.0076,-0.0192,0.0,-0.0503,-0.0001
2026-07-14,1010.0,1025.0,1000.0,1010.0,630300,0.0025,-0.0477,-0.2195,0.0,0.0471,-0.0,0.0,-0.0067,0.0479,0.0,0.0,0.0034,0.0433,0.0001,0.0,0.0,0.0502,0.0,0.0,0.0302,0.0141,0.0,0.0201,0.0017,0.0,0.0,0.0134,-0.0001,0.0,0.0,0.0
2026-07-15,1010.0,1015.0,1000.0,1010.0,222600,-0.0009,0.0524,0.0118,0.0,0.0106,-0.0027,0.0,-0.0051,0.0211,0.0,0.0,0.0005,0.0025,-0.001,0.0,-0.0006,0.0004,0.0012,0.0102,-0.0153,-0.0876,0.0,0.0054,-0.0002,-0.0003,0.0,-0.0034,0.0,0.001,0.0001,0.0
2026-07-16,1015.0,1015.0,1000.0,1010.0,891600,-0.4715,0.156,0.0035,0.0,0.0238,-0.0071,-0.0052,0.0,-0.1987,0.0037,0.0001,0.3,0.0131,0.002,0.0,0.0,-0.0068,-0.001,0.0041,-0.0027,0.1494,0.0,0.0018,-0.009,0.0336,0.0097,-0.0088,0.01,0.0,0.0,0.0
2026-07-17,1015.0,1020.0,1005.0,1020.0,446000,-0.1761,-0.02,0.0017,0.0006,0.0167,0.0178,-0.0148,0.0059,0.0052,0.1005,0.0499,0.0065,0.002,-0.0202,0.029,0.0001,0.0041,0.0001,-0.0142,0.008,-0.0912,0.0001,0.0774,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1025.0,1030.0,1010.0,1020.0,1027000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1110.0,1145.0,1030.0,1035.0,4843500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1100.0,1140.0,1050.0,1110.0,1581600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1095.0,1145.0,1080.0,1100.0,2059700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1050.0,1090.0,1040.0,1090.0,994800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
