Date,Close,High,Low,Open,Volume,OD,XL,HD,YP,PD,XC,CC,SQ,XA,GR,YB,KK,CP,EP
2026-07-13,4560.0,4560.0,4530.0,4530.0,200,0.0,0.0,0.0,0.0005,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,4470.0,4560.0,4470.0,4550.0,1100,0.0,-0.0027,0.0,0.0013,0.0,0.0,0.0009,0.0,0.0005,-0.0005,0.0005,0.0,0.0,0.0
2026-07-15,4550.0,4560.0,4550.0,4550.0,1200,0.0005,-0.0014,0.0,0.0,0.0,0.0027,-0.0023,0.0005,0.0005,-0.0005,0.0,0.0,0.0,0.0
2026-07-16,4540.0,4540.0,4270.0,4470.0,2300,0.0,0.0013,-0.0,0.0005,0.0013,-0.0074,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4550.0,4550.0,4530.0,4530.0,700,0.0014,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4500.0,4550.0,4500.0,4540.0,600,0.0,0.0005,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,4510.0,4510.0,4410.0,4500.0,400,0.0,-0.0009,0.0,0.0,-0.0004,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,4440.0,4510.0,4440.0,4510.0,1800,-0.0013,0.0023,0.0,0.0,0.0004,-0.004,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009
2026-07-23,4450.0,4540.0,4450.0,4500.0,2700,0.0005,-0.0031,0.0,0.0058,-0.0031,-0.0027,0.0,0.0,0.0,0.0,0.0,0.0018,-0.0,0.0009
2026-07-24,4450.0,4500.0,4450.0,4500.0,600,-0.0018,-0.0004,0.0,0.0,0.0009,0.0009,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
