Date,Close,High,Low,Open,Volume,NI,HD,OD,YB,PG,QA,SQ,YP,JB,XC,LG,KK,FS,XL,YJ,SA,AI,DH,FZ,AZ,IF,MG,LS,MI,CP,BK,RO,IN,YU,AK,AT,ZP,TF,EP,TP,SF,IU,PD,BQ,AG,KI,GR,CC,AO,DX,XA,DR,HP,KZ,PC,ZR,PP,BB,PO,PF,IT,RX,RS,SS,RF,SH,CD,GI,RG,BR,BS,MU
2026-07-13,1750.0,1750.0,1720.0,1735.0,12422500,0.5479,0.0,-1.8,0.0925,0.0385,0.0,0.3397,-1.4,-0.089,0.3199,-3.4,0.0367,0.0175,3.6,0.0,0.0,0.1604,0.0414,1.2,0.5755,-1.0,0.0,-0.0523,0.0,0.6118,0.1704,0.0069,0.0,0.174,2.8,0.0508,-1.1,0.0,0.1501,0.2518,0.0,0.0,-0.8544,0.0169,-0.0004,-0.0008,0.0,1.5,0.0,0.0091,-0.0045,-0.0357,-0.0262,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0042,-0.0053,0.0,0.0,0.0,0.0,0.0
2026-07-14,1735.0,1785.0,1730.0,1780.0,15421400,0.2306,0.052,0.4331,0.0882,0.0,0.0,0.7611,1.3,0.258,1.2,-0.0008,0.1635,-0.0174,2.6,0.0,0.0,-0.1467,0.1652,0.0,0.1849,0.0,0.0,0.0,0.0,-0.8413,-0.1995,0.0,0.0,0.1252,-2.7,-0.118,0.8761,0.0,0.0515,-0.2281,0.0,0.0,-0.7708,0.7,-0.4628,0.2038,0.0,1.0,0.0,0.0726,0.0,0.0498,0.0336,-3.5,0.0634,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0.4353,0.351,0.9989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1730.0,1760.0,1730.0,1760.0,9564400,0.3931,0.0174,-0.0798,0.2201,0.0,0.0,0.6384,-0.2163,0.3522,0.2818,0.1861,0.0845,0.0,2.2,-0.0403,0.0,-0.0061,0.0187,0.0174,0.1575,0.0759,-0.1012,0.0,0.0,0.6321,-0.0005,0.1074,0.0,-0.1106,-5.5,0.04,2.4,0.0,0.0713,0.0731,0.0,0.0,0.2206,0.0685,-0.7619,0.0,0.0,1.5,-0.0003,-0.0124,0.0,-0.5701,0.1459,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0349,0.0174,-2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1740.0,1755.0,1730.0,1740.0,11932300,0.1887,0.0174,0.2651,0.0414,0.0,0.0,-0.2394,0.4357,-0.35,-0.0769,-3.5,0.039,0.0,1.2,0.0376,0.0,0.2903,-0.0603,0.0017,0.0661,0.4364,0.301,0.0174,0.0,-0.2518,0.893,0.0104,0.8715,-0.2671,2.4,-0.0241,-2.8,0.0,0.148,-0.0164,0.0,0.0,0.0808,0.7272,0.0,0.2184,0.0,3.4,-0.0005,0.0028,0.0033,-0.0195,-0.0071,-0.1492,-0.0,-0.0026,-0.1968,-4.1,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1910.0,1910.0,1740.0,1745.0,64705100,-17.4,-0.0908,-4.5,0.7778,-0.1513,0.0382,15.8,-3.1,-0.352,-5.2,-0.6793,0.2691,-0.3716,-11.9,-0.1538,0.1845,-0.1086,-0.3807,-0.381,-0.7652,-0.1369,-0.089,0.0098,0.0025,-0.4291,2.6,-0.5102,-0.9502,-3.4,1.3,-0.2498,9.6,0.0686,0.3503,0.2326,0.0002,0.0416,-1.8,-0.8784,0.0071,0.0289,-0.6199,1.1,0.009,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1865.0,1945.0,1860.0,1910.0,26710600,0.9536,0.0,1.9,-0.9314,0.0,-0.0374,-0.1324,0.5483,0.0,2.1,0.8798,0.0183,0.0,6.4,0.0483,-0.1865,0.0,0.307,0.0,-0.0437,-0.0716,0.2022,-0.0174,0.0,-0.2265,0.0637,-0.0252,0.0,0.8271,-4.0,0.3434,0.9528,0.0,-0.5123,0.14,0.0,-0.0004,0.4912,0.092,0.0379,0.0164,0.5154,-11.4,-0.0108,0.0175,0.6906,-0.087,-0.0036,0.0,0.0,0.0,0.0,0.0,0.0,-0.0375,0.0,0.0994,0.0,0.0095,0.0,0.0933,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,1900.0,1900.0,1865.0,1875.0,14593200,-0.4576,0.0188,0.1276,0.1756,-0.379,0.004,-0.4448,-0.9745,0.0,-1.2,-2.1,0.0865,0.0,-1.9,-0.0341,0.0,0.0374,-0.1197,0.0,0.2819,0.0,0.0075,0.0,0.0025,0.1899,-0.0695,0.0269,0.0,0.5262,0.6389,0.2717,-0.059,0.0,-0.259,-0.0195,0.0,0.0,10.6,-0.1877,0.2074,0.1106,0.0576,-5.2,-0.0013,-0.0084,-0.1034,-0.0484,0.1514,0.0,0.0,0.0,0.0,0.0,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0646,-0.0019,-0.0886,0.0,0.0,-0.0003,0.0,-0.0034
2026-07-22,1900.0,1910.0,1875.0,1895.0,13379500,0.1675,-0.0002,0.0121,-0.0384,0.0,-0.0087,-0.2638,-0.3988,0.0,0.0017,0.2167,-0.3412,0.0,-1.4,0.017,0.0,0.0377,-0.0815,0.0038,-0.2056,-0.0118,0.1265,0.0019,0.0,-0.2702,-1.3,0.0034,0.0,-0.1328,7.1,-0.1349,-2.4,0.0,0.1059,0.1982,0.0,0.0069,-0.3258,-1.1,0.0,-0.0095,-0.1988,-1.5,-0.0004,0.0216,-0.0009,0.0593,0.0445,0.7436,0.0,0.0,0.0,0.1899,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0171,0.0,-0.0042,0.0,0.0,0.0
2026-07-23,1900.0,1915.0,1885.0,1910.0,13958400,-0.8337,0.0,0.7621,-0.766,-0.057,0.0004,-0.099,-0.8562,0.0,-0.1179,0.0938,0.0219,0.0,-1.0,0.0,0.0,0.0214,0.0008,0.0,-1.7,0.0317,-0.2778,0.0192,0.0025,-0.0621,-0.0125,-0.0162,0.0,0.4221,5.7,-0.1342,-1.3,-0.0076,-0.7822,-0.0528,0.0009,0.0179,-0.5934,0.0215,0.0,0.0025,-0.0848,-3.7,0.0,0.0,-0.57,0.8982,-0.0074,-0.4179,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,2.5,0.0,-0.57,2.0,-0.0969,0.0,0.0,0.0006,0.0017,1.6,0.0
2026-07-24,1845.0,1890.0,1840.0,1885.0,13626600,0.1295,0.0,0.3214,-0.012,0.37,0.0,-0.3555,-1.0,0.0,0.4978,-0.0207,-0.1424,0.0,2.2,0.0033,0.0,0.0,-0.1892,0.0055,-0.0586,0.0268,0.0106,0.0202,0.0,0.0586,0.0,0.0113,0.0,0.0763,7.6,0.3407,-3.5,0.0,0.0111,0.1247,0.0,0.0,0.2169,0.1013,0.0,0.0217,0.0823,-1.5,0.0092,-5.3,0.0058,-0.0449,-0.0076,0.0,-0.0001,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0
