Date,Close,High,Low,Open,Volume,CP,GR,PD,IF,YP,XA,XL,EP,CC,KI,AO,KK,AT,AI,XC,SQ,OD,BQ,AK,NI,AZ,ZP,YB,PC,RO,DH,QA,LG,MG,DR,AG,SF,MU,TF,LS,YU,HP
2026-07-13,99.0,103.0,98.0,100.0,5095700,-0.0064,0.0297,-0.0063,-0.0004,0.1078,0.0256,-0.0933,0.0,-0.0203,0.0013,0.0,-0.0232,0.0,0.0018,-0.0016,0.0,-0.0016,-0.0342,0.0,-0.0001,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0173,-0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0
2026-07-14,106.0,108.0,98.0,100.0,25170300,0.5016,-0.0303,-0.0701,-0.016,0.1321,-0.0544,-0.1726,0.0078,-0.0088,0.0,0.0,0.0097,-0.0004,-0.1938,-0.0487,-0.0195,0.0008,-0.0247,-0.0003,-0.0037,-0.0001,0.0,0.0003,0.0,-0.0001,-0.0005,0.0,0.0516,0.0795,0.0,-0.001,0.0,0.0,0.0,-0.1385,0.0001,0.0
2026-07-15,103.0,111.0,102.0,110.0,22857900,-0.4065,0.0515,0.0665,-0.0103,-0.1781,0.0411,0.1754,-0.0017,0.1117,0.0,0.0,0.0111,0.0002,-0.0431,0.0345,0.0058,0.0075,0.016,0.0754,0.0045,0.0086,0.0,0.003,0.0031,0.0007,-0.0004,-0.0,0.022,0.0045,0.0051,-0.0146,0.0021,0.0031,0.001,0.0,0.0,0.0
2026-07-16,103.0,104.0,101.0,103.0,6036500,-0.0167,0.0,0.0117,0.0255,0.013,-0.0338,-0.0068,0.0003,-0.0254,-0.0002,0.0,0.0052,0.0,0.0,0.0061,0.0,-0.0209,0.0042,-0.0044,0.0001,0.0,-0.0061,-0.0011,0.0,0.0,0.051,0.0042,0.0312,-0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,102.0,108.0,102.0,103.0,10079900,0.0032,-0.0102,-0.0565,0.0103,0.0953,0.0002,-0.0221,0.0095,-0.0213,-0.0011,-0.0005,-0.0079,0.0,0.0216,0.0163,0.001,0.0097,-0.0071,-0.0482,0.0003,0.0136,-0.0018,-0.0004,-0.0031,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,103.0,107.0,101.0,102.0,13815200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,102.0,104.0,102.0,103.0,5542900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,101.0,103.0,100.0,102.0,5341400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,101.0,103.0,100.0,102.0,4006200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,99.0,118.0,97.0,100.0,145867300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
