Date,Close,High,Low,Open,Volume,DH,EP,YJ,DX,OD,ZP,GR,BK,BB,RF,YU,CC,HP,BS,DR,YP,RO,SQ,NI,AZ,BQ,XC,KK,PD,XL,TF,XA,CP,AI,TP,YB,MG,ES,AT,LG,KI,AK,AG,IF,CD,FS
2026-07-13,3240.0,3250.0,2900.0,2900.0,791400,-0.0022,0.0042,-0.0015,0.0016,-0.0587,-0.0115,-0.0006,0.0166,-0.3087,0.0,0.0142,0.4572,-0.0,0.1634,-0.0538,-0.0314,-0.0009,-0.0443,0.2523,-0.0456,0.0043,-0.0923,0.2835,-0.6413,-0.1051,0.001,0.0,-0.0203,0.0,-0.0858,-0.009,0.0,0.0,-0.0009,-0.0658,0.0013,0.0,0.3851,-0.0048,0.0,0.0
2026-07-14,3180.0,3300.0,3100.0,3240.0,391600,0.0122,0.0127,0.0,-0.0016,0.0275,0.0,0.0,-0.0007,-0.0013,0.0157,0.0,0.0949,0.0,0.0588,0.0,0.0494,0.0003,0.0214,-0.1805,-0.001,-0.0048,0.0649,-0.2694,0.0131,0.1588,0.0,-0.0001,0.0015,0.0003,-0.0106,0.0071,0.0,0.0,-0.0003,-0.0557,-0.0041,-0.0086,0.0,0.0,0.0,0.0
2026-07-15,3010.0,3230.0,3000.0,3180.0,506800,0.0152,0.0067,0.0003,-0.0015,0.0467,0.0112,-0.0199,-0.0333,-0.3313,0.0154,-0.0128,0.0948,0.093,0.5156,-0.0143,0.0514,0.0,0.0458,0.0441,0.0167,0.0006,-0.1539,0.0213,0.0088,0.1598,0.0,0.0031,-0.0339,-0.0889,-0.2954,0.0019,0.0031,-0.186,0.0015,0.0143,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,2980.0,3100.0,2980.0,3020.0,563500,0.0033,0.0087,0.0009,0.0,-0.0215,0.0003,0.0,-0.0683,-1.1,-0.0298,0.0,-0.0494,0.4079,0.0,0.0021,0.6563,0.0,-0.0013,-0.001,-0.0108,-0.0006,0.1189,0.0037,0.0041,0.0846,0.0,-0.003,0.0001,-0.0003,-0.0003,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2980.0,3070.0,2980.0,3000.0,138000,0.0009,0.0003,0.0003,0.0015,-0.0154,-0.0012,0.0003,-0.0559,0.0381,0.0001,0.0009,-0.0617,0.072,0.0031,0.003,-0.0132,0.0009,-0.0222,0.0054,-0.0042,0.0051,-0.003,-0.0012,-0.021,0.0681,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3000.0,3060.0,2890.0,2980.0,195000,0.0,0.0018,-0.0004,0.0,-0.0192,0.0015,0.0,-0.0137,0.1385,0.0,0.0,-0.0374,0.1396,0.0,-0.0045,-0.0247,-0.0006,0.0071,-0.0163,0.0,0.0,-0.1141,0.0105,0.0148,-0.0739,0.0,0.0,0.0,0.0,0.0,0.0135,0.0464,0.0,0.0,-0.0704,0.0,0.0015,0.0,0.0,0.0,0.0
2026-07-21,3030.0,3030.0,3000.0,3000.0,233800,0.0,-0.0066,0.0,0.0,0.0033,0.0003,0.0,0.0,0.1167,0.0,0.0,-0.009,0.0369,-0.2508,-0.0012,0.3268,0.0,-0.0192,0.035,0.0,0.0,0.0073,-0.1484,0.0009,-0.0859,0.0,0.0,-0.0009,0.0,0.0,-0.0089,0.0021,0.0,0.0006,0.0003,0.0,0.0006,0.0,0.0,0.0,0.0
2026-07-22,2980.0,3020.0,2950.0,3020.0,138900,0.0003,-0.0218,0.0003,-0.03,-0.0044,0.0,0.0,-0.0221,0.0,0.0,0.0,-0.0505,0.0,0.0,0.0,0.0524,0.0006,0.0395,0.0314,0.0015,0.0048,0.0077,-0.051,-0.0042,0.0951,0.0,0.0,0.0,0.0,0.0,-0.0044,-0.047,0.0,0.0,0.0009,0.003,-0.0021,0.0,0.0,0.0,0.0
2026-07-23,2950.0,3000.0,2930.0,2930.0,130600,0.0,0.005,0.0003,0.0,0.0692,0.0,0.0006,-0.0596,0.0,0.0,0.0035,-0.0697,0.0,0.0,0.0015,0.0023,0.0,0.0183,0.0158,-0.0036,0.0012,0.0127,0.0024,-0.0092,-0.0031,-0.0041,0.0,0.0,0.0,0.0,0.0056,0.0006,0.0,0.0,0.0,0.0103,0.0,0.0,0.0,0.0,0.0
2026-07-24,2830.0,2920.0,2800.0,2920.0,238000,0.0034,-0.0012,0.0023,0.0,0.0134,-0.0086,0.0,-0.0348,0.0,0.0,0.0006,-0.0556,0.0,0.14,0.0014,-0.0145,0.0,0.0578,0.0343,0.0735,0.0,0.014,0.0028,0.0059,-0.2245,0.0029,0.0,0.0,0.0,0.0014,-0.0159,-0.0009,0.0,-0.0,0.0,0.0006,0.0,0.0,0.0,0.0003,0.0014
