Date,Close,High,Low,Open,Volume,YP,OD,NI,XC,BQ,PD,XL,TP,LG,CC,EP,RO,KK,DR,AT,QA,MG,SQ,XA,RF,RB,PI,CP,CD,HP,AG,YU,SH,SF,AZ,AK,DH,PC,MU,KI,GR,YB,AI,JB,YJ,AO,FZ,LS,RG,ZP,GI,DX,IF,HD,TF,PO
2026-07-13,50.0,50.0,50.0,50.0,353000,0.0007,0.0051,0.0001,-0.0035,0.0,-0.0038,0.01,0.0,0.0,0.0008,0.0005,0.0,-0.01,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,50.0,50.0,50.0,50.0,260500,0.0005,0.0,0.0,0.0007,0.0,0.0004,0.0051,0.0,0.0,0.0004,0.0043,0.0,0.0,0.0,0.0,0.0,-0.0119,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,50.0,50.0,50.0,50.0,310200,0.0004,0.0001,-0.0047,0.0005,0.0,0.0023,0.0094,0.0,0.0,0.0008,0.0005,0.0,-0.0074,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,50.0,50.0,50.0,50.0,184900,0.0,0.0001,0.0,0.0017,0.0,0.0001,-0.0023,0.0,0.0,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,50.0,50.0,50.0,50.0,142700,0.001,0.0,0.0,0.001,0.0,0.0012,-0.004,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,50.0,50.0,50.0,256200,0.0001,0.0,0.0,0.0002,0.0,0.0052,-0.0085,0.0,0.0,0.0006,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,50.0,50.0,50.0,50.0,2820200,0.0236,0.0004,-0.0011,0.001,0.0002,-0.0014,-0.0212,-0.0001,0.0,-0.0028,-0.007,0.0001,-0.013,0.0,0.0007,-0.0001,0.0,0.0228,0.0,0.0,0.0,0.0,-0.0021,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,51.0,56.0,50.0,50.0,424409100,-0.7748,0.0137,0.1348,0.1266,0.3952,-0.1222,2.5,-0.0507,-0.1656,-2.2,0.0516,0.0008,0.1504,-0.0979,-0.0084,0.0051,0.5119,0.0045,0.1168,0.0,0.0,0.0,-0.0231,0.0,0.0086,-0.003,-0.0069,-0.0,-0.0002,-0.0479,-0.3434,-0.026,0.0,-0.0002,-0.0188,-0.1655,-0.0008,-0.0,0.0026,0.0,-0.0006,0.0008,0.0,0.0003,-0.0007,0.0,-0.0015,0.0185,0.0113,-0.0002,0.0
2026-07-23,51.0,54.0,50.0,51.0,361619500,-2.5,0.3462,0.0475,-0.0664,0.0333,0.2042,1.0,0.1468,-0.0078,-0.0619,0.0198,0.0042,0.241,0.2006,0.0263,0.0029,0.2779,-0.206,0.0524,0.0102,0.0,0.0,0.0144,-0.0,0.0498,-0.5125,0.0051,0.0,-0.0001,0.0865,-0.004,-0.0085,0.0,-0.0066,0.0012,0.0245,0.0062,0.5968,-0.0026,0.0094,-0.0223,-0.0208,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,50.0,51.0,50.0,50.0,75750800,-0.0881,-0.07,-0.0584,0.0823,-0.0028,0.0885,-0.5017,0.3251,0.0002,-0.1673,0.0189,-0.0034,-0.0684,0.0001,0.0281,0.001,-0.485,0.0529,0.042,0.01,0.241,0.01,0.0795,0.0,0.0,0.015,-0.0135,0.1,0.0003,0.0906,-0.004,0.0152,-0.0,0.25,0.0005,0.0118,-0.0037,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
