Date,Close,High,Low,Open,Volume,XC,YU,YJ,SQ,LG,XA,AZ,KK,LS,CP,ZP,OD,BK,AK,XL,YP,DH,DX,CC,MG,TP,AR,RG,NI,BQ,IF,PG,GR,FS,HP,HD,PD,DR,KZ,AT,EP,RS,ES,YB,TF,PP,QA,KI,AG,AI,ID,MU,CD,RO,PC,ZR,BB,AF,AO,BR,RX,IN,BS,SH,FZ
2026-07-13,1185.0,1210.0,1175.0,1200.0,38855600,1.7,2.1,-0.1002,-0.2062,-0.0481,1.2,-0.1803,-0.128,0.0353,-0.4844,0.0766,-0.5623,-8.4,-1.9,1.5,-0.7324,-0.1722,0.0533,0.8142,-0.2401,0.1531,0.0,-0.03,1.2,-0.3665,0.0531,0.3551,-0.1522,0.0001,0.0381,-0.085,-1.1,0.3902,0.0,-0.0019,0.5196,0.0354,0.0,-0.1914,0.0,0.0,0.0105,-0.0112,5.1,0.0094,0.0,0.0001,-0.0006,-0.009,0.0,0.0,-0.0998,0.0,0.0012,0.0475,0.0,0.0,-0.1185,-0.003,0.0007
2026-07-14,1250.0,1265.0,1215.0,1215.0,107620400,-0.0974,-1.6,-0.5652,-2.9,-0.3536,-0.2261,0.4672,-0.65,0.0,-0.3187,-15.4,0.0,-3.9,11.9,-2.9,-1.9,0.2364,0.3345,2.2,-0.5314,-0.7258,-0.0623,0.0,-0.7064,-0.4346,-0.4749,0.2479,-0.9843,0.0562,0.2139,0.0,5.1,2.3,2.8,0.3858,0.5953,0.0311,0.0,-0.0799,0.0,0.0,0.0101,0.7441,-0.7794,-0.5089,0.0,0.0,0.0,-0.0883,0.0,0.0163,16.6,0.0,-0.363,0.0,-7.5,0.0381,0.0,0.0,0.0
2026-07-15,1245.0,1255.0,1210.0,1250.0,43283400,-0.2046,-0.5512,-0.0081,3.8,3.0,-0.881,0.0169,-0.719,0.0054,-0.9517,4.4,0.3826,0.5878,-4.4,-0.4569,-0.7723,0.0174,-0.0139,-3.4,-0.2775,-0.2077,0.0,0.002,0.8154,-0.1776,1.1,0.5124,0.1202,-0.0599,0.1229,0.0849,-1.1,0.2644,0.0,-0.3818,0.2835,0.0,0.0061,-0.6516,0.0,0.0,0.0505,-0.8138,-0.1795,-1.8,0.0,0.0,0.0,-0.008,0.0012,-0.0244,2.0,0.491,-0.0014,-0.1123,0.0,0.0,0.0,0.0,0.0
2026-07-16,1265.0,1280.0,1230.0,1255.0,60752900,-2.3,11.2,0.0076,-0.5797,1.6,-0.3306,-0.2536,-0.5879,-0.1604,0.0036,-1.2,0.2652,-6.4,3.1,-0.9526,2.3,0.4027,-0.0229,4.0,0.501,0.0399,0.0,0.0,-7.3,5.9,-0.0665,0.1045,-0.0248,-0.0291,-0.1395,-0.1305,-6.2,0.0425,3.8,-0.0254,0.5729,-0.2244,-0.0255,0.0279,0.063,0.088,0.108,-7.7,-0.0418,-0.0489,0.0252,-0.0064,0.5693,-0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1230.0,1275.0,1230.0,1270.0,36390500,2.2,0.1235,0.3135,-0.7467,0.2166,0.0903,-0.1314,1.4,0.089,1.3,-3.4,0.1773,-0.4873,-9.6,4.1,2.3,0.3298,-0.7455,-6.1,0.1533,0.7249,0.1112,0.0877,3.2,1.5,0.9162,0.124,0.9604,0.1703,0.1117,0.1812,-2.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1270.0,1285.0,1255.0,1255.0,43806400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1275.0,1290.0,1270.0,1285.0,28708000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1320.0,1350.0,1290.0,1290.0,88703700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1390.0,1395.0,1335.0,1350.0,85130200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1325.0,1425.0,1310.0,1400.0,127224800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
