Date,Close,High,Low,Open,Volume,CD,CP,GR,RG,XL,CC,YP,IF,KK,FS,AT,DX,SH,LS,XC,AZ,IU,HP,BK,MG,YJ,PD,DR,XA,EP,KI,AG,AI,SQ,TP,OD,QA,BQ,AK,NI,YU,YB,ZP,LG,HD,RO,DH,SS,SF,MU,IH,RF,BB,KZ,PI,PC,RS,YO,PG,RB,AR,AO,BS,ZR,IN
2026-07-13,1435.0,1445.0,1415.0,1420.0,8153500,-0.0055,-0.0651,0.171,0.0,0.4545,0.6185,-0.0833,-0.0001,-0.0637,-0.1438,0.0077,0.0,0.0,0.0,-0.1078,-0.3599,0.0,-0.0115,0.519,0.0443,0.0164,0.0026,-0.0377,0.0001,-0.7256,0.0003,0.1549,0.0679,-0.3453,-0.0016,0.0609,-0.1436,-0.038,-0.4074,-0.0724,0.7136,-0.0383,-0.2328,0.0235,0.002,-0.0,0.0434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426,-0.003,-0.0713
2026-07-14,1440.0,1480.0,1430.0,1440.0,12976800,0.1719,0.2346,0.1104,0.0,0.13,-2.3,0.3774,0.069,-0.2365,-0.0074,0.0768,-0.0261,0.0,0.0691,0.2677,-0.217,0.0,-0.0299,0.5485,0.7559,0.0,-0.6065,0.1981,0.0196,0.1753,-0.1979,0.0145,-0.0651,0.2933,0.1292,0.2046,0.0,-0.3622,-3.2,2.7,-0.6037,0.0056,1.6,-0.5916,-0.038,0.0,0.0368,-0.074,0.0,0.0,0.0072,0.0,0.6102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.296,0.0022,0.0,0.0
2026-07-15,1450.0,1470.0,1430.0,1440.0,11279900,-0.139,-0.2376,-0.0206,0.0,-0.3942,2.6,0.0636,0.0,0.0388,0.0209,0.0064,0.0,0.0435,0.0,-0.0111,0.8088,0.0,0.2155,-0.2545,-0.4004,0.0,-0.4981,0.0525,-0.0375,-0.0255,0.0,0.0007,-0.0107,1.0,-0.0292,-0.9026,-0.001,0.0678,-5.1,-0.0913,2.2,-0.0332,-0.542,0.052,-0.0218,0.0022,0.1508,0.0,0.0,0.0,0.0,0.0,0.0,0.8969,-0.0145,-0.001,0.0,-0.0003,0.0001,0.0728,0.438,0.0,0.0,0.0,0.0
2026-07-16,1495.0,1500.0,1450.0,1450.0,37705200,-0.0564,0.3284,0.1562,0.0,-0.6884,0.4986,1.2,0.0,-0.0286,-0.2149,0.0476,0.0,0.0,-0.0006,0.0403,5.5,0.0,0.2463,5.4,0.6825,-0.01,-0.5734,1.5,0.2247,-2.9,0.0995,0.3439,0.0097,-1.7,0.235,-0.3573,0.013,-0.2352,2.2,-0.8699,0.2425,-0.1867,-3.3,-0.1433,0.3593,0.0093,-0.1424,1.2,0.0149,0.0073,-0.0074,-2.9,0.1937,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1505.0,1520.0,1475.0,1495.0,23697600,0.0197,0.4786,-0.2801,0.0008,0.058,2.4,0.7643,0.1119,-0.2913,-0.0303,0.3522,-0.0008,0.0148,0.001,-0.0938,-0.3187,0.0001,0.3152,3.9,-0.3446,0.03,-0.0966,0.7313,0.0572,0.2553,0.7389,0.1194,0.404,0.4764,0.4726,-0.9498,-0.0009,-0.1524,-3.1,1.1,-0.9117,0.0461,-5.4,-0.913,-0.1231,-0.0825,0.2763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1505.0,1530.0,1490.0,1505.0,13849600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1520.0,1535.0,1500.0,1510.0,13773500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1510.0,1535.0,1495.0,1520.0,11777100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1515.0,1550.0,1505.0,1510.0,15293800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1455.0,1510.0,1450.0,1510.0,20170600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
