Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,SQ,YP,JB,XC,LG,KK,AK,XL,AT,YJ,TP,EP,DH,PD,BQ,AZ,RG,KI,PC,MG,GR,CC,DX,CP,RO,AH,DR,YU,SF,AG,AO,AI,IF,AD,ES,ZP,MU,HP,QA,TF,GI,RS,CD,FZ,ZR
2026-07-13,114.0,118.0,111.0,118.0,4558600,0.0002,0.0005,-0.0013,0.0011,0.0076,-0.0389,0.0,-0.0028,0.0002,0.007,0.0402,0.052,-0.0059,0.0,0.0,0.0007,0.0,-0.0377,0.0081,-0.0001,0.0025,-0.0005,0.0,0.0,0.0111,0.017,0.004,-0.0739,-0.0001,0.0,0.0,0.0032,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,-0.0113,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,117.0,119.0,113.0,115.0,7834800,-0.0026,-0.0013,0.0021,0.0073,-0.0048,0.0734,0.0005,0.0004,0.0522,-0.0002,-0.0329,-0.1114,0.0002,0.0,-0.0004,0.0,0.0,0.0274,-0.0004,0.0001,0.0,-0.0001,0.0,-0.0,-0.0,0.0011,-0.0124,0.001,-0.0009,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0019,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,117.0,126.0,114.0,116.0,20499000,0.0111,-0.0016,-0.0214,-0.0333,-0.0003,-0.1083,0.0,0.0229,0.0134,-0.068,0.0287,0.4616,-0.0001,0.0,-0.0016,-0.0003,0.0,-0.0283,-0.0121,-0.0733,0.0,0.0,0.0003,0.0027,0.0011,-0.1571,-0.0022,0.0017,0.0041,0.0,-0.0328,0.0,-0.0063,0.0,0.0,0.0,-0.0003,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,118.0,119.0,114.0,117.0,6750700,0.0053,0.0,-0.0049,0.0038,0.0013,-0.0134,0.0,-0.0328,-0.0032,-0.0113,0.0254,-0.0215,0.0,0.0008,0.0,0.0,-0.0,0.0087,0.0347,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0481,0.0,-0.0001,-0.004,0.0002,-0.0045,-0.0293,0.0002,-0.0,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,117.0,120.0,116.0,117.0,4733900,0.0011,0.0153,0.0158,-0.0012,-0.0647,0.0017,-0.0005,-0.0068,-0.0281,0.0095,-0.003,-0.0858,0.0001,-0.0008,0.0006,-0.003,0.0,0.0261,0.0002,0.0008,0.0006,0.0014,0.0006,-0.0017,0.059,0.0839,-0.003,-0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,118.0,124.0,116.0,117.0,10521100,0.0267,-0.0104,0.01,0.0019,-0.0002,0.003,0.0,-0.0695,0.0002,0.053,0.093,-0.0387,0.0083,0.0,0.0,-0.0014,0.0,0.004,-0.0411,0.0,0.0,0.0,0.0,0.0006,-0.0369,-0.0083,-0.0016,-0.006,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0117,0.0,0.0,0.0002
2026-07-21,118.0,120.0,116.0,119.0,5165300,0.0052,-0.0035,0.0092,0.0082,-0.0083,0.0109,0.0,0.0185,0.0037,0.0117,-0.0189,-0.188,-0.0,0.0,0.0,-0.0006,0.0,0.0395,0.0014,0.0404,0.0,0.0,0.0,0.0059,0.0,0.054,0.0,0.0003,0.0002,0.0,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0012,0.009,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,116.0,119.0,115.0,118.0,5547300,-0.0511,0.0,-0.0048,0.0023,0.0002,-0.0436,0.0,0.0467,0.0001,0.0051,0.0279,0.0471,-0.0082,0.0032,0.0,0.0,0.0012,-0.0328,0.0031,-0.0226,0.0,0.0001,0.0,-0.0057,0.0115,-0.0028,0.0029,-0.0004,0.0025,0.0,0.0009,-0.0002,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0062,0.0,0.0,0.0,0.0,0.023,0.0
2026-07-23,120.0,123.0,116.0,117.0,12426700,-0.0045,0.0,-0.0004,-0.0135,0.0066,-0.0088,0.0,-0.0166,0.0,0.0833,-0.167,0.0244,0.0156,-0.0032,-0.0001,0.002,0.0012,-0.0191,0.0124,-0.0036,0.0,-0.0015,-0.0006,-0.0023,0.0058,0.0509,-0.0048,0.0038,0.0534,0.0,-0.0003,0.0016,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028,0.0,0.0,-0.0118,0.0,0.0,0.0
2026-07-24,112.0,120.0,108.0,120.0,9902400,0.0056,0.002,0.0065,0.0003,0.0488,-0.0091,0.0,-0.011,0.0015,-0.0068,0.0954,-0.0962,-0.0089,0.0,0.0,-0.0008,-0.0008,0.0104,-0.008,0.0303,0.0036,0.0,0.0,0.0006,0.0103,-0.0349,0.008,0.007,-0.0538,0.0,0.0001,-0.0014,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0011,-0.0005,-0.0,0.0,0.0,0.0,0.0
