Date,Close,High,Low,Open,Volume,NI,RO,XA,HD,OD,YB,DR,SQ,YP,XC,LG,KK,AK,XL,AT,ZP,EP,DH,PD,BQ,AZ,MG,GR,CC,CP,SH,YU,AI,AO,TP,IU,IF,KI
2026-07-13,2950.0,3170.0,2690.0,3120.0,552000,0.0079,0.0029,0.0009,0.0012,0.038,0.0017,-0.0001,0.022,-0.3652,0.2413,0.0934,-0.13,-0.0466,0.1379,-0.0926,0.0,-0.0,0.0009,-0.0438,0.0003,-0.0027,0.0597,0.0475,0.0457,-0.0637,0.0,0.0118,0.0,0.0002,0.0,0.0,0.0,0.0313
2026-07-14,2920.0,2970.0,2790.0,2970.0,352300,0.0193,-0.0003,-0.0204,0.0,0.0652,0.0003,-0.0,0.0307,0.0436,0.04,0.0086,0.0,-0.1041,0.0143,0.0,0.0,0.0073,0.0011,0.0103,-0.0,0.0,-0.0029,0.0003,0.046,-0.1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,2950.0,3050.0,2770.0,2920.0,604900,0.0017,-0.0,0.0072,0.0,0.0062,-0.005,0.0102,0.0531,0.1048,-0.0347,-0.1104,-0.0619,-0.1634,0.7776,0.0,0.0,-0.0,0.0012,-0.0168,-0.2834,-0.087,-0.2222,0.007,0.0131,0.0582,0.0,0.0,0.0,-0.056,-0.0,0.0006,-0.0,0.0
2026-07-16,2800.0,2980.0,2790.0,2980.0,502700,0.016,0.0014,0.0115,0.0483,0.0828,0.0143,0.0009,0.0158,-0.3979,0.0746,0.0,-0.0155,-0.0004,0.5281,0.0684,0.0,0.0003,0.0009,-0.4433,0.0034,0.0003,-0.0112,-0.1224,0.1007,0.0154,0.0008,0.0155,-0.0001,-0.0084,0.0,0.0,0.0,0.0
2026-07-17,2740.0,2850.0,2670.0,2840.0,412000,0.0614,-0.0012,0.0072,-0.0465,-0.0008,-0.0137,-0.0019,0.0074,-0.3902,0.0501,0.136,0.0348,0.0,0.161,0.0044,0.0,-0.0005,-0.0003,0.0132,0.0091,0.003,-0.0061,-0.0758,-0.0198,0.0692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2640.0,2800.0,2590.0,2740.0,855100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,3150.0,3150.0,2650.0,2650.0,2143800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,3340.0,3610.0,3180.0,3240.0,3375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,3110.0,3430.0,3010.0,3370.0,2040100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,3230.0,3580.0,2900.0,3110.0,2444600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
