Date,Close,High,Low,Open,Volume,BQ,XC,OD,YP,IF,EL,PD,XL,CC,AZ,NI,DH,KK,HD,RO,XA,AT,SQ,GR,MG,EP,LG,ZP,DR,MU
2026-07-13,82.0,84.0,72.0,72.0,1425900,-0.0039,0.0005,-0.0016,-0.0034,0.0001,0.0,-0.0039,-0.057,-0.0074,0.0,0.0771,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0004
2026-07-14,82.0,84.0,74.0,74.0,1154000,-0.0042,-0.0009,0.0,-0.0004,0.0002,0.0,-0.0006,-0.0043,-0.0003,0.0,-0.0394,0.0,0.0001,0.0,0.0415,0.0,-0.0025,0.0007,0.0,0.0,-0.0001,-0.0,0.0103,-0.0,0.0
2026-07-15,83.0,84.0,76.0,76.0,760300,0.0003,-0.0004,0.0002,0.0,0.0002,0.0,-100.0,-0.0106,-0.0139,0.0,0.0315,0.0002,-0.0012,0.0,-0.0001,0.0,-0.0,0.0001,0.0037,0.0007,-0.0001,-0.0105,0.0,0.0,0.0
2026-07-16,83.0,85.0,76.0,76.0,1983000,0.0009,0.0004,0.0046,0.001,-0.0,0.0,0.0,-0.005,0.0017,0.0,-0.0026,0.0001,0.0002,0.1411,-0.0003,-0.1411,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,84.0,84.0,76.0,76.0,1292600,0.0038,0.0022,-0.0,0.0039,0.0,0.0002,0.0,-0.0625,0.0061,0.0012,0.0448,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,83.0,84.0,80.0,83.0,519300,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,82.0,84.0,80.0,83.0,2586500,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,82.0,84.0,81.0,82.0,377600,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,85.0,85.0,80.0,81.0,2494600,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,90.0,91.0,77.0,77.0,10174900,,,,,,,,,,,,,,,,,,,,,,,,,
