Date,Close,High,Low,Open,Volume,XC,YP,CP,XL,PD,CC,RO,XA,KI,OD,NI,AZ,EP,LG,SQ,BQ
2026-07-13,1210.0,1340.0,1180.0,1180.0,115400,0.001,-0.0017,0.0002,0.0224,0.0003,-0.0162,-0.0003,0.0,0.0,-0.0078,-0.0006,0.0002,-0.0007,0.0027,0.0002,0.0003
2026-07-14,1215.0,1225.0,1200.0,1210.0,35200,-0.0011,-0.0005,0.0019,-0.0056,0.0012,0.0012,0.0,0.0,0.0,-0.0011,0.0001,-0.0001,0.0024,0.0014,0.0,0.0
2026-07-15,1200.0,1230.0,1185.0,1230.0,19600,-0.0029,0.0022,0.0,0.0011,-0.0002,0.0012,0.0002,-0.0021,0.0,0.0007,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-16,1185.0,1200.0,1180.0,1200.0,36500,-0.003,0.0007,-0.0025,-0.0104,0.0001,0.0204,0.0,0.0,0.0,-0.0057,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-17,1200.0,1220.0,1185.0,1185.0,47100,-0.0007,0.0039,-0.0036,-0.0294,-0.0018,-0.0118,0.0443,-0.0008,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1190.0,1250.0,1185.0,1250.0,124900,,,,,,,,,,,,,,,,
2026-07-21,1215.0,1345.0,1180.0,1190.0,301700,,,,,,,,,,,,,,,,
2026-07-22,1220.0,1270.0,1170.0,1215.0,239100,,,,,,,,,,,,,,,,
2026-07-23,1210.0,1230.0,1190.0,1220.0,98800,,,,,,,,,,,,,,,,
2026-07-24,1190.0,1225.0,1190.0,1215.0,75500,,,,,,,,,,,,,,,,
