Date,Close,High,Low,Open,Volume,QA,XC,MG,SQ,LG,EP,XA,MI,OD,GR,XL,YP,CC,PD,DR,KK,BQ,AI,DH,AZ,CP,IF,NI,ZP,AK,YU,LS
2026-07-13,515.0,550.0,500.0,510.0,722800,0.0129,0.0012,0.0,0.009,0.0,0.0001,0.0,-0.2235,-0.0118,0.0005,0.0158,0.0052,0.0514,0.0043,0.006,0.0,-0.0006,0.0208,0.0,0.0021,0.101,0.0,0.0,0.0,-0.0009,0.0056,0.001
2026-07-14,535.0,550.0,505.0,515.0,899900,0.0015,-0.0069,0.0,-0.0047,0.0,0.0,-0.0001,-0.2835,0.2838,0.0,-0.037,-0.0034,0.0509,-0.0059,-0.0071,0.0,0.0004,0.0006,0.0,-0.0022,0.0,0.0107,0.0025,0.0006,-0.0001,0.0,0.0
2026-07-15,570.0,645.0,500.0,535.0,1652100,-0.0659,-0.001,0.0001,-0.004,0.0,0.0,-0.0005,-0.0056,-0.2714,0.0026,0.2396,-0.0071,0.1667,0.0181,0.0,-0.0451,0.0008,-0.0076,-0.0092,-0.0011,-0.0045,0.0006,-0.0055,0.0,0.0,0.0,0.0
2026-07-16,575.0,595.0,560.0,570.0,812200,-0.0434,0.0003,0.0,0.0291,0.0,0.0003,0.0,-0.0314,0.0,0.3497,-0.2401,-0.0134,-0.0003,-0.0032,0.0012,-0.003,-0.0283,-0.0147,-0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,585.0,595.0,570.0,580.0,581000,0.1054,0.0031,-0.0001,-0.0293,-0.0059,-0.001,0.0101,-0.092,0.0002,0.0001,0.1358,-0.1052,-0.0146,-0.0061,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,585.0,590.0,570.0,570.0,391600,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,575.0,595.0,570.0,580.0,932500,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,490.0,570.0,490.0,570.0,15968800,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,480.0,494.0,450.0,494.0,2751100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,440.0,468.0,428.0,468.0,3790200,,,,,,,,,,,,,,,,,,,,,,,,,,,
