Date,Close,High,Low,Open,Volume,NI,RO,XA,CC,OD,ID,YB,QA,DR,SQ,YP,XC,LG,KK,AK,XL,AT,EP,DH,PD,BQ,AZ,IF,MG,KI,GR,HD,CP,GI,YU,AR,TP,YJ,DX
2026-07-13,169.0,178.0,163.0,177.0,1426300,0.001,0.0006,0.0034,-0.0066,-0.0008,0.0,0.0005,-0.0041,-0.0009,0.0016,0.0268,-0.0011,0.0,-0.0029,0.0054,-0.0189,0.0008,-0.0012,-0.0004,0.0041,-0.0005,0.0,0.0,0.0,-0.0002,-0.0056,0.0,-0.0008,0.0,0.0,0.0,0.0,0.0,-0.0002
2026-07-14,165.0,172.0,164.0,164.0,1230300,-0.0005,-0.0,0.0005,0.0077,0.0032,0.0,0.0,0.0,0.0008,-0.0,0.0134,-0.001,0.0,-0.0,-0.0042,-0.0182,0.0,0.0007,0.0,0.0003,0.0077,0.0,0.0,-0.0001,0.0,-0.0116,0.0,-0.0002,0.0,0.0,0.0015,-0.0,0.0,0.0
2026-07-15,169.0,185.0,164.0,171.0,3992400,0.0035,-0.0011,-0.005,0.0709,-0.0132,0.0,0.0,0.0,0.0008,-0.0,-0.0169,-0.0047,0.0004,0.0164,0.0009,-0.0312,0.0002,-0.001,-0.0009,0.0071,-0.0064,0.0,0.0,0.0001,0.0,-0.0316,0.0001,0.013,0.0,-0.0,-0.0015,0.0,0.0,0.0
2026-07-16,168.0,171.0,166.0,169.0,597000,0.0005,0.0,0.0002,0.0299,0.0,0.0001,0.0,0.0,0.0,0.0,0.0038,0.0049,0.0,0.0021,0.004,-0.0331,-0.001,0.0008,-0.0024,-0.0021,0.0002,0.0,0.0,0.0,0.0,-0.0081,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,173.0,184.0,168.0,171.0,6096900,0.0065,-0.0001,-0.0065,-0.0268,-0.0004,-0.0001,-0.0,0.0,-0.0018,-0.0035,-0.0146,0.0073,0.0,-0.0166,0.0003,0.0635,0.0056,-0.0027,-0.0,-0.0039,-0.0014,0.0032,0.0005,0.0001,0.0,-0.0103,-0.0001,0.002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,174.0,176.0,171.0,175.0,1348200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,171.0,175.0,171.0,174.0,1351900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,172.0,174.0,170.0,173.0,596000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,173.0,175.0,172.0,172.0,1270700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,166.0,175.0,165.0,173.0,886700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
