Date,Close,High,Low,Open,Volume,EP,PD,OD,AZ,IF,KI,SQ,YP,YU,KK,XC,CC,XL,NI,YB,PG,QA,HP,LG,BQ,MG,HD,CP,RO,DR,DH,GR,BK,XA,AK,YJ,ZP
2026-07-13,1510.0,1510.0,1455.0,1455.0,189300,-0.0001,-0.0013,0.0073,0.0066,0.0001,0.0,0.0,-0.0082,0.0,-0.0011,-0.0011,-0.0636,0.0168,-0.0036,0.0,-0.0097,0.0,0.0,0.0462,0.0002,0.0015,-0.0027,0.0167,0.0,0.0,-0.0093,0.0,0.0004,0.0,-0.0009,0.0,0.0058
2026-07-14,1520.0,1520.0,1490.0,1510.0,267500,0.0146,0.0047,0.0008,-0.0054,0.0,0.0,-0.0404,0.0036,0.0,0.0037,0.044,0.034,-0.0522,0.0084,-0.0105,-0.0045,0.0,0.01,-0.0005,0.0069,0.0015,0.0,-0.0158,0.0002,-0.0005,0.0044,0.0001,-0.0005,-0.0052,-0.0003,0.0016,-0.0031
2026-07-15,1500.0,1545.0,1495.0,1525.0,171300,0.0068,0.0297,-0.0058,-0.0005,0.0,0.0,0.0014,0.0066,0.0,-0.0439,0.0242,-0.0293,0.0251,0.0192,-0.0008,0.0,0.0,-0.024,0.0,-0.01,0.0015,-0.0081,-0.0009,0.0015,0.0003,0.0095,-0.0024,0.0,0.0,0.0,0.0,0.0
2026-07-16,1510.0,1515.0,1490.0,1515.0,189800,0.0197,-0.0057,-0.0011,0.0,0.0,-0.015,0.0352,0.0036,-0.003,0.005,0.0352,-0.0726,-0.1031,-0.0256,0.1062,-0.0015,0.0002,0.001,-0.0052,-0.0,0.0031,0.0251,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1515.0,1535.0,1500.0,1535.0,56200,0.005,0.0008,-0.0008,0.0004,-0.0002,0.0004,0.0072,0.0099,-0.0421,-0.003,-0.0147,0.0016,0.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1520.0,1530.0,1500.0,1515.0,159000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1550.0,1600.0,1510.0,1515.0,384000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1525.0,1590.0,1515.0,1590.0,173200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1595.0,1790.0,1510.0,1525.0,1078400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1530.0,1585.0,1510.0,1585.0,179300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
