Date,Close,High,Low,Open,Volume,SQ,LG,NI,GR,XL,YP,DH,PD,DR,XC,YU,XA,KK,BQ,CP,AT,CC
2026-07-13,220.0,228.0,220.0,220.0,8000,0.0,0.0,-0.0,0.0,-0.0005,-0.0001,0.0,0.0,-0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.001
2026-07-14,226.0,230.0,224.0,230.0,15000,0.0,0.0,-0.0006,0.0,0.0002,-0.0,0.0,0.0,-0.0001,0.0006,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2026-07-15,226.0,234.0,220.0,228.0,39600,0.0,0.0,-0.0008,-0.0001,0.0037,0.0013,0.0,0.0,-600.0,-0.0001,0.0,0.0,-0.004,0.0,0.0,0.0,-0.0
2026-07-16,226.0,226.0,218.0,224.0,41900,0.0002,0.0,0.0,0.0,-0.0076,0.0006,0.0,0.0,0.0001,0.0003,0.0021,0.0013,0.0027,0.0002,0.0002,0.0,0.0
2026-07-17,226.0,230.0,226.0,226.0,60400,-0.0007,0.0023,0.0001,-0.0003,0.0112,-0.0001,-0.0011,-0.0113,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,226.0,236.0,224.0,234.0,14300,,,,,,,,,,,,,,,,,
2026-07-21,238.0,238.0,226.0,226.0,364900,,,,,,,,,,,,,,,,,
2026-07-22,230.0,238.0,230.0,238.0,106600,,,,,,,,,,,,,,,,,
2026-07-23,248.0,270.0,228.0,230.0,386100,,,,,,,,,,,,,,,,,
2026-07-24,232.0,260.0,224.0,248.0,423800,,,,,,,,,,,,,,,,,
