Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,ID,YB,SH,DR,SQ,YP,DX,SS,HP,XC,LG,KK,XL,FS,YJ,AI,DH,AZ,IF,MG,LS,CP,BK,RO,IN,RB,YU,AK,AT,RF,ZP,EP,PD,GA,BQ,KI,PO,BR,GR,RX,CC,AO,FZ,QA,MI,TF,CD,TP,PP,IU,AG,PF,RG,MU,DU,IH,EL,PC,AF,RS,AR,DD
2026-07-13,825.0,825.0,775.0,785.0,267099600,0.2823,-0.179,0.6799,-1.0,0.0313,0.8765,0.0,-0.6853,-1.9,-0.61,0.1103,0.0,2.5,-4.2,5.5,-2.5,-18.4,0.0,-0.8696,-2.5,-0.3457,-1.6,0.3254,31.1,0.0042,1.2,0.0154,0.0012,0.0,0.1578,-1.5,-1.9,-0.2539,-0.7991,-3.3,-0.6112,-1.2,1.6,-0.2061,2.5,-1.2,0.0,5.2,0.0,-6.9,0.0,0.0277,0.0,0.0,0.0,-0.261,0.0,0.0,0.078,1.9,0.0,0.0,0.0,0.0,-0.4008,0.0,0.0,0.0,-0.2564,0.0,0.0078
2026-07-14,800.0,830.0,795.0,820.0,328774500,-2.8,2.8,2.9,0.1271,0.0,0.0,0.0,1.1,0.4543,4.2,-0.1516,19.5,-2.5,-1.1,1.9,3.0,3.1,0.98,-0.0908,-0.0294,2.1,0.0,0.2358,-19.2,0.0,-5.2,0.3551,0.1427,0.7665,0.1607,-1.7,-5.6,1.0,10.3,-19.8,-0.012,6.1,-1.5,-1.0,-0.3978,2.2,0.0,-0.7409,0.0,0.2125,0.0,0.1198,0.0,1.4,0.0,0.0,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.2445,-0.0966,-0.0038,-0.115,-0.0003,0.355,-0.0486,0.0
2026-07-15,800.0,820.0,800.0,805.0,159403400,3.3,0.0,-1.5,-0.0561,0.0,0.3768,0.0887,-0.2144,-1.2,-0.0896,0.0155,4.0,5.6,0.7194,1.4,0.0339,-10.1,1.5,-0.1089,-1.5,0.7352,-6.2,1.5,-0.7665,-0.7997,2.1,0.2516,-0.145,0.0,0.0,0.0033,-6.1,-0.608,0.0,-3.0,-0.2145,0.3907,-0.0972,1.1,-0.2784,-1.4,-0.082,1.1,0.0,9.2,-0.2731,-0.1071,0.0,-0.2065,0.0,0.0037,0.5432,0.0,-0.0802,1.2,0.04,-0.0451,0.016,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,810.0,815.0,795.0,800.0,139313700,0.6467,2.8,0.2671,-1.2,0.0,-0.7092,0.0,-0.4948,8.0,-4.1,-0.2482,10.0,-0.2448,-0.89,-4.4,-0.7018,-8.0,0.0,0.6109,0.0,-0.3062,0.2784,-0.5087,-3.1,0.0823,-2.1,-0.1868,0.0078,0.0,0.0,2.9,4.7,-0.4511,0.016,-0.4945,0.0,-1.5,0.0,-0.0675,0.2828,0.7963,-0.1383,0.0,0.0,-1.1,-0.0454,0.0142,0.0232,-0.3104,0.0001,0.0219,0.0096,0.0003,-0.0899,-0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,800.0,815.0,795.0,810.0,197502200,-3.1,-2.9,-0.6837,6.2,-0.016,0.4675,0.1621,0.3558,2.4,3.4,0.1948,-0.0121,0.2515,-0.0011,7.0,2.5,3.7,-1.6,1.3,-0.9026,0.3141,-2.7,-2.3,-9.1,0.0412,5.5,-1.2,0.783,-0.8138,-0.0775,0.2105,-10.2,0.0552,5.7,-4.3,0.2656,3.5,0.08,-0.788,1.5,-0.3995,-1.5,-0.9508,-1.7,-1.6,0.734,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,815.0,820.0,790.0,800.0,268674200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,940.0,985.0,815.0,820.0,1987169500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,905.0,970.0,885.0,950.0,1106413300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,875.0,955.0,865.0,900.0,1128043400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,870.0,905.0,850.0,855.0,565736100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
