Date,Close,High,Low,Open,Volume,QA,MG,ID,DH,EP,XA,YJ,ZP,OD,GR,CP,AI,HD,CC,IN,YP,LS,DR,RO,SQ,AG,NI,AZ,XC,BQ,KK,PD,IF,XL,TP,LG,YB,KI,PI,HP,AT,YO,YU,CD
2026-07-13,60.0,60.0,59.0,59.0,463800,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,-0.0148,0.0,-0.0081,0.0,-0.0002,0.003,0.0,0.0,0.0011,0.0,0.0007,0.0013,0.0,-0.0002,0.003,0.0117,0.0,-0.0012,-0.0,0.0,0.004,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,60.0,61.0,59.0,60.0,1859300,0.0,0.0,0.0,-0.0026,0.0001,0.0006,0.0041,0.0,0.0006,0.0,0.0,0.0,-0.004,0.0032,0.0,-0.016,0.0006,0.0,0.0012,-0.0099,0.0,0.0106,0.001,-0.0004,0.0,0.0,0.0016,0.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
2026-07-15,59.0,61.0,59.0,60.0,2773700,0.0,0.0006,0.0,-0.0219,-0.0131,0.0135,0.0,-0.0032,0.0144,0.0,0.0,0.0,0.0212,-0.006,0.0,0.0042,0.0,-0.0005,0.0,0.0086,0.0,0.0092,0.0,-0.0289,0.0,0.0034,-0.0009,0.0,-0.0017,0.0,0.0,0.0,-0.0002,0.0012,0.0012,0.0,-0.0009,0.0,0.0
2026-07-16,60.0,61.0,58.0,59.0,8019600,0.0,-0.0024,0.0,0.0359,0.0009,0.2595,0.0118,0.0,0.0139,0.0,0.0019,0.0,-0.0003,0.0062,0.0,-0.0042,0.0,0.0,-200.0,0.0018,0.0,0.0058,0.0,0.005,0.0,0.0041,-0.3689,0.0,0.0282,0.0,0.0002,0.0,-0.0001,-0.0012,0.0018,0.0,0.0,0.0,0.0
2026-07-17,62.0,66.0,59.0,60.0,33475600,0.0001,0.1147,0.0,-0.0457,-0.0043,0.0212,-0.0033,-0.0026,-0.0335,-0.0063,0.0037,-0.0003,-0.0361,0.0005,0.0064,-0.0103,0.0044,-0.0052,-0.0013,0.0014,0.0007,0.0072,-0.0277,0.0317,0.0006,0.0302,-0.1164,0.0013,0.0763,0.0015,-0.0117,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,62.0,65.0,62.0,63.0,3216900,0.0005,0.0006,0.0,-0.0014,-0.0002,0.0127,-0.0001,0.0062,0.0148,0.0,0.0011,0.0,-0.0006,-0.0,-0.0063,-0.0169,-0.0047,0.0,-0.0006,-0.0054,0.0,0.0026,0.0,0.0003,0.0018,-0.0001,-0.0044,0.0,-0.0072,0.0016,0.0001,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.005
2026-07-21,62.0,63.0,61.0,62.0,4735300,200.0,0.0049,0.0,0.0099,0.0015,-0.053,0.0018,-0.0007,0.0069,0.0,-0.0004,0.0,-0.0006,-0.098,0.0,0.0063,0.0,-0.0015,0.0001,0.0404,-0.0004,0.0012,0.0002,0.0081,-0.0025,0.0043,0.0222,0.0,0.0338,0.006,0.0,0.0003,0.0014,0.0037,0.0,0.0,0.0,0.004,0.0
2026-07-22,62.0,63.0,61.0,62.0,2795200,-0.0001,-0.0032,0.0,0.0146,0.0,-0.0004,0.0,-0.0056,0.0034,0.0,-0.0005,0.0,0.0015,-0.0242,0.0,-0.0004,0.0,0.0228,-0.0006,0.0094,0.0,-0.0025,0.0,-0.0113,-0.0001,-0.0001,0.031,0.0,-0.0436,0.0006,-0.0,0.0,0.0,-0.0032,0.0124,0.0,0.0,0.0,0.0
2026-07-23,62.0,63.0,61.0,62.0,3105200,0.0,-0.0019,0.0,-0.0004,0.0016,-0.0244,0.0,0.0062,0.0068,0.0,-0.0018,0.0,-0.0023,-0.0038,0.0,0.0456,0.0,0.0,0.0,0.0011,0.0001,-0.0001,-0.0009,0.0196,0.0,-0.0124,0.0135,0.0,-0.0568,0.0,0.0,0.0,0.0,-0.0019,0.01,0.0,0.0,0.0024,0.0
2026-07-24,62.0,62.0,61.0,62.0,775300,0.0,0.0033,0.0,0.0,0.0,-0.0018,0.0,-0.0062,-0.0017,0.0,-0.0019,0.0003,0.0359,-0.0035,0.0,-0.0027,0.0,-0.0031,0.0,-0.0003,0.0,0.0,0.0,-0.0016,-0.0006,0.0002,-0.0095,0.0,-0.0087,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0
