Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,PG,SH,DR,SQ,YP,HP,XC,LG,KK,XL,YJ,TS,AI,DH,FZ,AZ,IF,RG,MG,PC,LS,CP,BK,RO,IN,YU,ZR,AK,AT,ZP,EP,TP,CD,SF,PD,GA,BQ,BB,DP,AG,KI,BR,GR,CC,AO,IH,YB,QA,PI,MU,RB,ID,DX,ES,FS,AF,IU,OK,RS,PF,PO,SS,MI,SA,AH,RF
2026-07-13,880.0,885.0,830.0,840.0,118589700,3.3,-0.0061,0.0261,0.1313,0.0,0.0,0.0703,-0.8116,0.0688,0.2085,-1.8,0.862,-0.3253,-7.7,1.1,0.0,0.4028,-1.2,-0.0387,0.7358,-0.0495,0.0,15.7,-0.0063,0.0017,0.9854,1.3,0.0539,0.0,-1.3,0.0,-6.2,-0.0088,1.1,-0.3538,-0.0822,-1.2,0.0,-1.5,1.8,-0.4448,1.7,0.0,-0.0147,-0.2115,-0.0234,-0.8742,-2.5,0.0096,0.0,0.1463,0.0,0.0,0.0012,0.0,0.0,0.0044,-0.0132,0.0,-0.0087,0.0,0.0,-2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,835.0,900.0,830.0,900.0,200282700,-7.4,0.9,1.5,1.1,0.0,0.0,-2.3,1.6,2.2,-0.0267,3.8,2.4,1.1,20.6,2.3,0.0,-1.9,-1.3,0.0,-2.4,0.6431,0.0,-13.2,0.0,0.0,1.7,-1.3,0.5035,0.7645,0.9551,0.568,-18.3,0.0,0.5496,0.5119,-1.2,-1.4,0.0,2.8,-1.6,2.8,0.0,0.0,0.0,1.3,0.7299,0.7207,-4.8,0.3829,0.0,0.0,0.0,0.0,-0.0147,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,850.0,885.0,835.0,840.0,174699100,5.6,-0.0743,-0.0926,-0.6405,0.0,0.0,0.068,0.5096,-0.9382,-0.0507,-5.4,2.5,-0.2825,-13.7,0.0129,0.0,-0.0298,-5.7,-0.2518,2.3,2.2,0.0,12.3,0.0,0.009,1.0,-2.7,0.0996,-0.7773,4.7,0.0136,-7.2,-0.0986,0.5626,-0.3456,-0.3884,-5.7,0.0253,2.9,2.9,0.0,0.865,0.0,0.1437,0.4238,-0.4572,0.0,7.7,-0.2275,-0.029,-1.5,0.0,0.0,0.0,0.0075,0.0146,-0.0378,0.1106,-0.182,0.0084,-0.1696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,880.0,900.0,830.0,850.0,245409900,-0.382,0.0,-1.3,0.0,0.0,0.0,0.0113,-2.3,-0.1731,-0.6655,-2.8,1.4,-0.5257,-14.3,-0.2423,0.05,0.0,-1.7,0.0,1.0,-0.9426,0.0233,-0.8007,0.0,0.0,-6.0,0.9368,-0.5473,0.0,-2.8,-0.4124,15.3,0.0,1.1,-1.0,0.1119,-1.5,0.0349,8.9,0.0,-1.2,0.0,0.0,-3.9,-0.5921,0.4367,2.7,14.5,-0.2461,-0.5322,-1.0,0.0004,0.2002,0.0017,-0.1828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,955.0,960.0,870.0,880.0,575737700,1.2,1.7,-0.2645,-0.2458,2.0,-0.49,-4.8,0.6131,-0.9847,-0.2673,-7.9,3.5,0.4117,-21.9,-2.1,-0.9525,0.9342,-2.4,-0.1593,5.7,3.3,-0.2008,0.227,3.3,0.0454,-1.9,-1.0,0.3327,9.2,-8.7,-0.4842,7.0,-0.1409,5.3,1.2,0.1173,-4.8,0.088,5.4,0.0815,-0.731,7.8,0.4128,-0.1263,-0.137,-2.9,-1.2,0.7392,-0.1441,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,935.0,995.0,930.0,970.0,350343200,-11.3,3.4,-25.3,2.6,0.0,0.0,0.0,1.9,5.0,-1.4,1.7,4.0,3.8,46.4,-0.0864,0.0,1.8,-5.0,0.6695,5.4,3.5,0.0,-19.3,3.5,0.0,2.7,0.0,0.0,3.0,-0.5551,0.0,-16.5,0.8112,2.0,1.9,0.0,-5.2,0.0,-6.7,-3.1,6.0,1.4,-5.5,0.0,1.7,5.8,2.2,-18.0,1.5,1.9,0.0,0.0,0.0,-0.023,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034,0.0,0.0,0.0,0.0,0.0,-0.0098
2026-07-21,1010.0,1015.0,935.0,935.0,559467000,2.4,-3.0,-27.9,-0.7238,0.305,0.0,-2.0,-1.1,0.7981,0.3606,-11.0,7.8,-2.7,-43.3,-1.9,-2.0,2.5,-3.1,-0.6161,26.5,7.1,0.0,2.6,0.9818,0.3332,-1.2,2.3,-0.5292,6.3,-4.0,0.0,34.6,0.0,1.5,-1.4,1.7,-1.6,0.0,-2.1,0.0,-3.4,1.0,0.0,-1.1,-0.5281,0.0,2.1,13.2,-1.2,-0.551,1.3,0.0,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.5488,0.0,0.0,0.0994,0.0,0.0,4.9,0.1928,0.109,0.147,0.0
2026-07-22,950.0,1010.0,930.0,1010.0,399728800,3.6,-0.0692,1.4,4.1,0.0,0.196,0.0,3.2,8.3,0.5833,7.1,-0.1965,1.0,50.3,0.2816,0.0,-2.7,0.5798,1.8,-15.8,-1.3,-0.2881,-9.5,2.3,-0.0958,-0.2004,-2.0,0.0,0.53,-13.6,0.5859,-24.9,-0.1197,-1.4,-0.7584,-0.2649,-0.4116,0.0,4.2,0.0,2.6,0.0,-12.9,0.6134,0.8518,-0.0033,1.5,-11.0,0.3605,0.0,4.5,0.0,-0.0511,0.0,0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.94,-4.8,0.2535,-0.0095,0.0,0.0
2026-07-23,920.0,990.0,910.0,950.0,307274600,1.4,-3.3,-1.1,1.3,-0.28,-0.0444,0.0492,5.5,3.5,0.4437,1.4,-0.7203,-1.6,21.0,0.0,0.0,0.0891,-0.7104,-0.1428,-5.7,-4.1,0.0,1.2,-1.5,0.0337,-1.2,-0.2969,0.1922,-4.5,-3.4,-0.2707,-6.9,0.2638,0.3223,-0.2575,-3.0,0.891,0.0,1.3,0.0,-0.742,0.0,0.0,0.7932,0.298,-4.5,1.5,2.5,-0.0693,-0.19,0.5493,0.0123,0.5543,0.0182,0.0935,0.0,-0.0396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4577,0.0,0.0,0.0,0.0,0.0
2026-07-24,845.0,905.0,835.0,905.0,290475500,1.8,1.1,0.7646,2.1,0.0,0.0,-2.0,0.3543,8.2,0.4135,1.6,-14.9,1.9,10.8,0.0,-0.0491,-2.7,-2.2,0.2614,-12.2,-1.7,0.0,4.6,0.1826,0.0,2.2,0.0,-0.0535,-0.0362,0.6924,0.0,3.5,0.0,-10.0,1.1,-1.7,-0.0597,0.0,0.0,0.0,1.2,-4.7,0.0,0.711,0.2121,0.0,-0.1055,3.4,2.2,-0.2015,1.4,0.0,0.425,0.0,0.0,0.0,0.0,0.2319,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
