Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,XA,AT,AK,EP,YP,DH,CC,RS,SF,ES,YB,NI,BQ,PD,HD,QA,SQ,YJ,KK,CP,ZP,BB,OD,BK,DX,XL,KI,MG,TP,IF,AO,GR,HP,CD,RO,DR,MI,BS,AG,PG,FS,DP,LS,AI,AR,BR
2026-07-13,23925.0,23925.0,22950.0,23300.0,1218000,-0.8433,-0.5975,0.9883,-0.1024,0.0,0.0,-2.9,-0.6546,-1.1,0.0341,-2.4,0.0,0.0,-0.2374,0.0768,10.5,-0.0048,-1.3,-0.0565,0.0,-0.4471,0.0,-0.21,-0.1565,-0.8759,0.0,0.2613,3.1,0.0,-1.9,0.0,-0.1915,0.037,0.0752,0.0,-0.2244,-0.0052,-0.0236,0.0116,-0.5561,0.0,-0.047,0.0,-0.0048,0.0191,0.0,0.0,-0.1024,-0.0716,0.0
2026-07-14,24000.0,24175.0,23900.0,23975.0,1560400,-0.5707,-1.4,-0.2883,0.1704,0.0264,-0.0048,-5.7,-0.2875,0.3014,-0.8332,-0.832,0.0,0.0,0.0481,-0.0479,15.1,0.0048,-0.7903,0.012,0.0096,0.9113,0.0096,-0.0985,-1.1,-0.8252,0.0,0.2617,-3.2,0.0574,1.3,-0.012,0.0,0.0072,0.0,-0.0048,-1.7,-0.0193,-0.0015,0.0072,-0.4705,0.0,0.0,-0.0072,-0.0168,0.024,0.0,-0.0966,0.0,-0.0024,0.024
2026-07-15,24025.0,24100.0,23850.0,24025.0,757100,-0.1629,1.3,-3.3,0.0432,0.0,0.0024,-2.4,-0.0192,-1.3,0.0719,1.4,0.0,-0.0024,-0.0459,-0.0311,4.0,0.1973,-0.0359,-0.0239,0.0048,-0.0338,0.0024,-0.084,0.0072,0.0383,0.49,0.0937,0.449,-0.0024,-0.5927,0.0,0.0,0.084,-0.0072,0.0,-0.0408,-0.0336,0.0048,0.0,0.0025,0.0048,0.0,0.0,0.0,0.0239,0.0478,-0.0241,0.0,0.0,0.0
2026-07-16,23825.0,24075.0,23700.0,24025.0,1228300,0.0909,-1.9,0.0263,0.0913,0.0,-0.0072,-10.0,-0.0049,0.7081,0.0551,-2.5,0.0,-0.0024,-0.0024,-0.0046,15.5,0.1436,-0.4547,0.0095,0.0,0.0232,-0.0024,-0.0159,-0.0791,-1.9,0.0,0.0215,1.8,0.0024,-0.5885,0.0167,-1.1,0.048,0.0,-0.0096,-0.0384,0.0022,0.0004,0.0,0.0023,-0.0048,-0.024,-0.0072,0.0192,-0.0481,0.0,0.0,0.0,0.0,0.0
2026-07-17,23850.0,24050.0,23600.0,23875.0,2118500,0.1762,1.6,-0.0047,0.024,-0.036,0.0024,-21.7,-0.0359,-0.2751,-0.0814,2.6,-0.0048,-0.0024,-0.0,0.0096,32.7,-0.1272,-0.2558,-0.0048,0.0,-0.4718,-0.048,0.0188,-9.0,-2.1,-3.5,-0.3405,0.5736,-0.0239,0.1043,-0.0,-0.0024,0.0886,0.0048,-0.0288,-0.0168,0.0743,-0.0023,0.0096,0.0716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,24325.0,24600.0,23900.0,23900.0,1425800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,24175.0,24775.0,24100.0,24575.0,1360800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,24275.0,24500.0,24175.0,24175.0,1087800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,24400.0,24450.0,24250.0,24325.0,895900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,24500.0,24700.0,24325.0,24400.0,1324600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
