Date,Close,High,Low,Open,Volume,DD,HD,XL,PD,YU,JB,EP,XC,MG,CP,LS,SQ,CD,DH,ZR,NI,LG,BQ,HP,BK,KI,DX,AI,XA,GR,YB,AT,YJ,FS,RS,YP,AK,ZP,IF,OD,KK,DR,BB,TP,RO,AO,CC,AZ,AG,KZ,ES,MI,MU,PC,QA,SH,EL,RX,BR,AD
2026-07-13,1680.0,1725.0,1655.0,1720.0,27320400,0.0,0.0,3.3,3.3,-0.0335,-0.0003,0.3691,1.1,0.0978,0.353,0.0,2.8,0.0,0.5126,0.0,5.1,0.8882,0.1588,2.2,0.7948,0.0,0.0606,-2.1,0.2671,0.239,0.3181,-0.057,0.0,0.0,0.0,2.5,-0.039,-4.2,-1.7,0.922,0.1698,0.1506,-11.8,-0.0403,0.0,0.6356,1.4,-7.8,0.0,0.0,0.092,0.0,-0.0103,0.0,0.0354,0.0,0.0,0.0,0.0,-0.0017
2026-07-14,1675.0,1690.0,1670.0,1680.0,14159900,0.0,0.0275,0.918,10.1,0.3022,-0.0477,-0.1084,0.2097,-0.4511,-0.0062,-0.0027,0.424,0.1685,-0.0174,0.0034,0.5519,0.0942,-0.0744,-0.0146,-0.3873,0.0059,-0.002,-0.0184,-0.0534,0.1533,0.1874,0.0172,0.0,-0.0008,0.0,-0.1692,-1.2,0.3725,-0.0007,-3.4,-0.018,0.6276,0.0,0.119,0.5579,-0.5538,-4.3,-1.7,0.0015,-0.1558,0.0,0.0,0.0002,0.0022,0.0027,0.002,0.0204,-2.2,0.0336,0.0
2026-07-15,1670.0,1690.0,1660.0,1685.0,9093900,0.0588,-0.011,1.5,0.4715,0.3891,0.0,0.0199,0.3131,-0.01,0.0101,-0.0721,-0.3022,0.0,0.1088,0.0,0.2673,-0.2125,0.0397,-0.6829,2.8,0.0,0.5077,-0.0338,0.0,0.4356,-0.375,0.0209,-0.0001,0.0501,0.0084,0.2293,-0.8164,-3.3,0.0217,-3.4,0.214,-0.1789,0.0,0.1015,0.0256,0.0,1.8,-0.0007,0.0195,0.0,0.0,0.0152,0.0084,-0.0039,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1685.0,1690.0,1670.0,1670.0,9252900,0.0,-0.0038,0.9468,-0.1016,0.1661,-0.0059,0.017,0.4618,1.2,0.1151,0.042,-0.7431,0.0,0.1722,0.0168,-0.2775,-0.5433,0.035,-0.4044,4.0,-0.024,0.0237,0.2396,-0.0289,-0.2665,0.0519,0.0114,-0.1508,-0.0506,0.0,0.3874,0.4585,-5.7,0.0,0.104,0.1788,0.0547,0.4223,-0.6879,-0.5057,-0.0843,0.7789,-0.4253,0.0084,0.0949,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1700.0,1715.0,1675.0,1685.0,13265800,0.0169,0.0378,0.7202,2.5,0.7536,-0.1223,-0.238,-0.0524,0.4206,0.1898,0.066,-3.4,0.015,0.3213,0.1122,0.4511,0.2576,0.0337,-1.1,-2.1,-0.0059,0.7499,0.0808,0.0192,0.1886,0.1252,0.038,0.2416,0.0103,-0.0102,-0.5548,0.6709,-0.3138,-0.0731,-0.2765,0.0111,0.1521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1735.0,1770.0,1705.0,1710.0,22167900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1710.0,1755.0,1710.0,1740.0,17491600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1705.0,1720.0,1680.0,1710.0,18808800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1680.0,1715.0,1680.0,1710.0,12951900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1685.0,1690.0,1670.0,1680.0,9819500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
