Date,Close,High,Low,Open,Volume,CP,GR,XL,CC,YP,DR,PD,XA,EP,KK,AG,XC,SQ,TP,OD,QA,BQ,NI,ZP,YJ,KI,AO,AT,YU,YB,LG,RO,MG,IF,DH
2026-07-13,135.0,139.0,128.0,132.0,36900,0.0,0.0,-0.0023,0.0006,0.0007,0.0,0.0001,0.0,0.0,0.0014,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,137.0,150.0,130.0,136.0,1142400,0.0,0.0,-0.0175,-0.0048,-0.003,0.0,0.0122,0.0,0.0,-0.0074,0.0,-0.0009,-0.0003,0.0019,-0.0001,0.0,-0.0006,-0.0016,0.0007,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0001,0.0197,-0.0,0.0
2026-07-15,139.0,144.0,135.0,137.0,80100,0.0001,0.0,0.0042,-0.0002,0.0036,0.0,0.0002,0.0,0.0,-0.0044,0.0,-0.0002,0.0,0.0,-0.0001,0.0,-0.002,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,135.0,187.0,127.0,139.0,11199600,0.0092,-0.0022,-0.0536,-0.0099,-0.0538,0.0081,-0.0069,0.02,0.0069,-0.0233,0.0034,0.0074,0.0,-0.0027,0.0058,0.0001,0.0026,0.0102,0.0,0.0731,-0.0005,-0.0,0.0001,-0.0008,0.0088,-0.0,-0.001,-0.0009,0.0,0.0
2026-07-17,135.0,139.0,135.0,135.0,730100,0.0029,0.0098,-0.0109,0.0042,0.0083,-0.0017,-0.0009,-0.0205,-0.0054,0.0221,0.0,-0.0042,0.0,0.0,-0.0033,-0.0001,0.0003,-0.0014,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,136.0,137.0,135.0,136.0,458500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,138.0,140.0,135.0,136.0,173000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,141.0,141.0,134.0,138.0,327200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,139.0,141.0,137.0,140.0,377000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,143.0,145.0,133.0,139.0,214700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
