Date,Close,High,Low,Open,Volume,BF,NI,XA,AH,CC,OD,II,YO,SH,DR,SS,SQ,YP,HP,XC,LG,KK,FS,XL,YJ,SA,KZ,EL,AI,DH,AZ,IF,MG,CP,BK,RO,IN,RB,YU,AK,OK,CD,TP,EP,PD,BQ,BB,DP,AG,AR,GR,RX,HD,AO,DX,YB,PG,ES,PC,LS,GI,ZR,ZP,PP,SF,KI,PO,BR,IH,JB,MI,AT,TF,DD,FZ,MU,RS,RF,TS,RG,QA,IU,AF,BS,AD,FO
2026-07-13,2870.0,2870.0,2780.0,2790.0,211532100,0.0,-9.6,4.3,0.0,41.6,5.6,0.0,0.0,0.1411,-3.1,0.0098,-14.0,-12.4,0.5466,-10.8,2.6,1.7,-0.1401,-18.0,-0.3385,0.5618,6.7,1.1,-0.3287,-2.8,-0.236,0.1028,-1.5,10.3,9.3,0.0,0.0,0.0,-5.1,62.8,0.0,-2.6,1.9,0.3244,-1.4,-2.1,42.7,0.0,-2.1,0.0,4.8,-0.246,0.0832,0.6379,-141.7,-0.3573,-0.231,0.0,-0.8277,-0.3953,0.0,0.0,28.5,0.0,0.0,0.0,0.0,-0.1454,0.0,0.0,0.0,0.0,0.0,0.0,0.0302,0.0,0.0,1.4,2.8,-0.1142,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,2800.0,2890.0,2800.0,2880.0,273911200,0.0,13.0,3.2,0.0,-12.6,17.2,0.0,0.0,1.9,9.1,0.0,56.7,44.5,2.4,18.2,8.0,6.8,1.4,45.5,0.0,-0.0028,0.0,0.0,0.0,5.4,7.4,-0.7862,-0.1164,3.2,-115.6,0.0,0.0,0.0,38.8,-58.6,0.0,-1.1,-73.8,3.6,14.4,3.8,78.4,0.0,-0.6494,1.4,7.8,0.0,0.0,-0.0223,-148.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0575,-0.0685,1.5,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,2830.0,2870.0,2810.0,2840.0,182403300,0.0,-7.2,-2.1,0.0,26.3,-13.5,0.0,0.0,0.0,-7.2,0.0696,-15.4,-15.3,-2.2,-6.7,-6.0,-5.7,1.4,-9.8,0.0,0.0,-1.1,1.3,0.0,-2.4,-1.9,0.0,-0.9499,-0.4851,1.2,0.3507,0.0,0.142,-1.5,62.4,0.0,0.0408,-2.9,0.1804,-0.81,-0.4485,104.1,6.4,-1.0,0.0284,3.0,-1.4,0.4761,0.0,-144.9,-0.5356,0.0,0.0,0.0593,0.1056,0.0,0.0,35.0,0.0,0.0,-0.3686,0.0,1.1,0.0,6.7,0.0593,0.2697,0.0131,0.0128,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,2860.0,2880.0,2830.0,2840.0,197705800,0.0,1.4,-5.8,0.0,41.5,4.8,0.0,0.0,0.8373,-2.0,0.0,-23.5,6.7,-1.9,-7.4,0.6035,-0.6453,0.0,-9.5,3.1,0.858,-0.4257,0.643,-0.9402,-1.1,24.1,0.0,5.8,14.7,0.0,-0.7631,0.858,0.0,-48.2,48.0,0.0,0.0,11.1,-1.4,-9.0,-0.9542,41.2,0.0,3.1,0.572,-4.8,0.0,0.6347,0.0,-146.8,-0.1249,0.286,0.2696,-0.5391,-0.5575,0.2025,-0.1363,32.5,0.1779,-0.1431,-1.9,24.9,-0.2437,-0.2138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2970.0,3000.0,2840.0,2860.0,439266600,0.0735,-2.9,-12.4,0.0286,69.3,-22.6,0.1772,0.0996,0.8951,-6.2,6.3,-43.1,-50.0,2.9,-33.4,-6.0,2.1,-12.1,-64.5,1.4,0.5944,-15.4,-1.2,-3.3,-5.3,-5.1,-1.3,0.5885,12.8,-36.0,0.2402,1.8,0.1018,-1.3,160.4,0.583,0.2746,-9.2,-3.0,-6.1,0.4176,13.4,7.8,3.6,-3.5,-9.6,210.8,28.9,-1.7,-163.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3020.0,3080.0,2990.0,3000.0,393555500,0.0,-6.6,-9.1,0.0,94.8,-12.9,0.0,0.0,0.7719,-15.4,-6.0,9.1,-8.6,-1.1,-6.2,21.6,-3.7,0.0,-14.8,-2.0,0.0111,32.6,0.0,5.4,0.0,13.8,0.0,15.9,-17.3,-15.7,-1.0,-1.8,0.0,14.0,-121.4,0.0303,1.0,-5.2,-2.9,-6.1,-4.5,43.4,0.0,-2.8,0.0,-13.6,137.2,-16.4,0.011,-167.8,0.0,0.0,0.0995,0.034,-5.8,0.2745,0.0,80.4,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0001,2.0
2026-07-21,3070.0,3080.0,3040.0,3080.0,320262200,0.0,-5.9,-6.6,0.0995,11.8,7.8,0.0,0.0,0.0,-0.9651,0.0,4.0,-3.9,0.0798,-1.4,1.4,-5.8,0.7516,-14.8,-0.2761,0.0,-38.3,0.0,0.5535,0.0034,0.6991,-2.8,-22.3,-32.2,36.5,0.0667,10.7,0.1064,167.8,22.1,0.0,-1.0,0.3568,-4.0,-2.0,3.4,47.8,0.0,-36.5,0.0,-3.5,-1.0,-5.7,0.0,-175.9,0.0,0.0,0.0,-5.3,-0.2253,-0.2763,0.0,55.8,0.0,0.0,0.0,0.0,-0.924,0.0171,0.0,0.0,0.3559,0.1512,0.0,0.0,0.0,0.0,0.2453,0.0,0.0,-0.3215,0.0,0.0,0.4298,0.0,0.0
2026-07-22,3020.0,3080.0,3020.0,3080.0,200041000,0.0,0.0,3.6,0.0,7.3,8.0,0.0,0.0,-3.0,1.9,0.0,48.9,-7.5,0.4254,4.7,-1.6,1.4,-0.0495,17.4,0.0,0.0,-51.7,0.0,-1.4,0.0,-15.2,-0.5473,0.2534,1.0,-8.9,-0.0601,0.0,0.0,2.4,0.3769,0.0,0.766,-12.2,4.3,8.9,0.2379,-7.5,0.0,0.3979,0.8935,8.7,2.2,-9.5,-0.0406,-149.4,0.8302,-0.2372,0.0,0.0,0.0,0.0,-0.0117,143.6,0.0,0.0,-0.7214,0.0,0.4458,0.0,0.0,-0.2052,-0.1267,0.0,-0.0083,-0.0208,0.0,-0.067,0.3219,-0.0303,0.0,0.0,0.0,0.0,-0.103,0.0,0.0
2026-07-23,2990.0,3070.0,2990.0,3030.0,217693500,0.0,-6.9,-8.6,0.0758,52.0,-4.2,0.0,0.0,0.0828,-4.5,-12.1,73.9,-0.1044,-0.2253,1.2,1.5,-2.6,0.0,10.3,7.9,0.0,0.4277,-4.5,-0.7192,0.7207,-1.5,1.1,1.3,-15.5,11.6,2.4,0.0,0.0,-8.5,-20.4,0.0,-0.4776,-1.1,0.5828,6.6,1.1,23.4,0.0,-0.1064,1.1,-6.3,-9.6,-0.1398,0.0,-151.4,0.3318,0.1885,0.0,0.0,0.0,0.0,-0.1403,65.7,0.0,0.0,-0.8418,0.0,0.0,0.0,0.0,0.0,0.0,0.1262,0.0,-0.3835,0.0,0.0,0.1,0.0,0.0,0.0808,0.0,0.0,-2.8,0.0,0.0
2026-07-24,2960.0,3020.0,2940.0,2970.0,290905700,0.0297,6.7,-2.4,0.0992,3.5,3.9,0.0,0.0,0.4739,-2.2,0.0,-10.3,-42.8,-3.2,-2.9,-0.4753,-11.1,-3.4,7.6,0.3601,0.0,1.9,0.0,-0.536,2.1,-2.8,-6.4,-2.6,-6.6,28.6,0.0,0.0,0.0,161.0,-17.7,0.0,0.0,2.1,-1.3,5.3,-1.3,29.0,0.0,0.0314,0.1928,-11.4,-12.9,14.8,-0.608,-146.3,0.0,0.3403,0.0,0.0,0.2401,0.0,0.0,37.1,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,-0.7925,0.0,0.0,0.449,0.0,-5.9,-8.5,0.0,0.0,0.0425,-4.0,0.59,0.0,0.0,0.0
