Date,Close,High,Low,Open,Volume,SA,OK,EP,DH,RO,BQ,OD,KI,RS,SQ,KK,YU,YP,XC,CC,XL,CP,NI,IF,PD
2026-07-13,9850.0,9875.0,9850.0,9875.0,2400,0.0,-0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0217,0.0,0.0,0.0,0.0,-0.0049,-0.001,0.001,0.0,0.0,-0.0167,0.0
2026-07-14,9750.0,9825.0,9600.0,9800.0,22100,-0.0488,0.0341,0.0,-0.001,-0.0,0.0,0.0058,0.0,0.0975,0.0,-0.0002,0.0,0.0008,0.0047,-0.001,0.0193,0.0,-0.0001,-0.1112,0.0
2026-07-15,9800.0,10975.0,9625.0,9625.0,28500,0.0,-0.0589,0.0,0.0,0.0019,0.001,0.0,0.0,0.098,-0.002,-0.0021,-0.0001,-0.0422,-0.0021,0.0019,-0.0022,0.006,0.001,0.0,-0.0001
2026-07-16,9825.0,9900.0,9650.0,9800.0,12800,0.0,0.0049,-0.0,-0.0,-0.0,0.0,-0.002,0.0,0.0491,0.0,0.0232,0.0,-0.0012,0.0157,-0.0011,-0.0454,0.0,-0.0001,-0.0433,0.0
2026-07-17,9725.0,9825.0,9625.0,9825.0,30700,0.0481,0.0029,0.001,0.001,0.001,-0.001,-0.002,0.001,0.0973,0.0135,0.001,0.0193,-0.2059,0.0378,0.0067,-0.0196,-0.002,0.0,0.0,0.0
2026-07-20,9600.0,9775.0,9400.0,9725.0,61400,,,,,,,,,,,,,,,,,,,,
2026-07-21,9375.0,9700.0,9375.0,9600.0,32400,,,,,,,,,,,,,,,,,,,,
2026-07-22,9675.0,9675.0,9375.0,9400.0,23400,,,,,,,,,,,,,,,,,,,,
2026-07-23,9675.0,9675.0,9450.0,9675.0,11500,,,,,,,,,,,,,,,,,,,,
2026-07-24,9700.0,9700.0,9525.0,9650.0,11800,,,,,,,,,,,,,,,,,,,,
