Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,XC,SQ,CP,LS,DH,SF,AZ,NI,LG,TP,BQ,KI,RO,DX,QA,YB,GR,AT,YP,CC,IF,OD,KK,DR,EP,GI,AG,ZP,AK,RG,BK,HP
2026-07-13,446.0,450.0,440.0,450.0,3913600,-0.0001,1.3,-0.0037,0.0067,0.0147,0.0156,-0.0307,0.0,0.0009,0.0,0.0,0.0041,0.0003,0.0,0.0,0.0024,0.001,0.0,0.0,0.0014,0.0,-0.0009,-1.3,-0.0897,0.0003,0.024,0.0005,0.0003,0.0008,0.0,0.0,0.0,0.0548,0.0,0.0,0.0044
2026-07-14,444.0,448.0,442.0,448.0,2361300,0.0009,0.2395,0.0241,0.0,-0.162,0.0039,0.0,0.0001,0.0002,0.0,0.0002,0.0321,0.0,0.0,0.0133,0.0002,0.0,0.0002,0.0007,0.0,0.0,0.0004,-0.7508,0.4451,0.0,0.1126,0.0007,-0.005,0.0122,0.0,0.0,0.0,0.0207,0.0,0.0105,0.0
2026-07-15,444.0,448.0,442.0,448.0,975800,-0.0009,0.0756,0.0258,0.0329,0.0109,-0.135,0.0004,0.0001,0.0106,0.0,0.0002,0.0129,0.0007,0.0012,0.0,0.0004,-0.0001,0.0,0.0,-0.0008,-0.0,0.0005,-0.126,-0.0164,0.0,0.1043,0.0027,-0.0001,0.0,0.0,0.0004,-0.0,-0.0,-0.0004,0.0,0.0
2026-07-16,444.0,446.0,442.0,444.0,1124400,0.0003,0.057,-0.0256,0.0444,-0.0045,0.009,0.0,0.0001,-0.002,0.0,0.0004,0.0686,-0.0048,0.0,-0.0132,0.0032,0.0,0.0,0.0,-0.0304,0.0022,0.0022,-0.2353,0.0902,0.0,0.0328,0.0098,-0.0043,-0.0026,0.0,0.0007,0.0,0.0018,0.0,0.0,0.0
2026-07-17,446.0,448.0,444.0,444.0,571200,-0.0007,-0.007,0.0312,0.0466,0.0061,0.016,0.0002,0.0,0.0008,0.0006,-0.0,-0.007,0.0004,0.0001,-0.0006,0.0001,-0.0044,0.0002,0.0002,0.0003,0.0001,-0.0,-0.0844,-0.0023,0.0006,0.0092,0.0007,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,444.0,450.0,444.0,448.0,1534800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,456.0,476.0,444.0,446.0,3346600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,456.0,460.0,450.0,458.0,1045700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,458.0,460.0,452.0,456.0,1162400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,448.0,458.0,442.0,458.0,2480500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
