Date,Close,High,Low,Open,Volume,XL,PD,QA,GR,XC,SQ,YP,CC,ZR,NI,HP,OD,XA,HD,EP,DR,MG,CP,LG,AZ,AG
2026-07-13,382.0,398.0,380.0,382.0,133600,-0.0041,0.0009,0.0,0.0,-0.0021,0.0,-0.0001,-0.0005,-0.0015,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,-0.0
2026-07-14,382.0,390.0,376.0,380.0,72800,-0.0087,0.0023,0.0,0.0,0.0038,0.0,0.0001,0.0011,0.0,-0.0004,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0018,0.0,0.0
2026-07-15,380.0,388.0,378.0,382.0,44700,-0.0071,0.0002,0.0,0.0,0.0034,0.0001,0.0,0.0024,0.0,0.0003,0.0,0.0004,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,392.0,396.0,378.0,380.0,556300,-0.0105,0.0047,0.0,0.0,0.0008,0.0,0.0044,-0.0,0.0,0.0009,-0.0,0.0,-0.19,0.19,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,394.0,408.0,384.0,394.0,106700,-0.0144,0.0013,0.0002,0.0,0.0103,-0.0003,-0.0005,0.0072,-0.0028,-0.0005,-0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,404.0,406.0,392.0,398.0,192200,,,,,,,,,,,,,,,,,,,,,
2026-07-21,402.0,406.0,392.0,406.0,646000,,,,,,,,,,,,,,,,,,,,,
2026-07-22,436.0,460.0,408.0,410.0,1327900,,,,,,,,,,,,,,,,,,,,,
2026-07-23,408.0,450.0,400.0,450.0,400000,,,,,,,,,,,,,,,,,,,,,
2026-07-24,390.0,408.0,384.0,408.0,142500,,,,,,,,,,,,,,,,,,,,,
