Date,Close,High,Low,Open,Volume,XC,SQ,YJ,LG,XA,KK,CP,ZP,OD,AK,EP,BK,YP,DH,XL,CC,TP,YB,BQ,NI,TS,FS,HD,PD,DR,AZ,AI,SH,MG,GR,HP,RO,LS,ES,TF
2026-07-13,2530.0,2560.0,2410.0,2520.0,1259700,-0.0549,-0.0018,0.0,-0.057,0.0,0.0072,0.0817,-0.015,-0.0083,0.0041,-0.0886,0.1105,0.2076,-0.0123,-0.4262,0.1827,0.0,-0.1048,0.0,0.2329,-0.1268,0.0,0.003,-0.1835,-0.0149,0.0022,0.0,0.0,-0.0175,0.007,0.2355,0.0,0.0,0.0377,-0.0005
2026-07-14,2530.0,2580.0,2500.0,2530.0,343600,-0.028,-0.0015,0.0,0.0,0.0152,-0.0561,-0.0097,0.0,0.0005,0.0258,0.0,-0.0218,-0.1454,-0.048,-0.0228,0.0248,0.0,0.0059,-0.0273,0.0055,0.0,0.0,-0.0031,0.114,-0.0173,-0.0134,0.0,0.0,0.0,-0.099,0.3076,0.0,-0.0059,0.0,0.0
2026-07-15,2520.0,2540.0,2510.0,2540.0,396400,-0.0063,0.0,0.001,-0.0941,0.0005,-0.0746,-0.0126,0.0184,-0.0038,0.0776,0.0003,-0.0729,-0.2161,0.0,-0.0594,0.131,0.0,0.0252,0.0045,-0.1663,0.0,0.0,0.0003,0.0023,-0.0491,0.0063,0.0,0.0,-0.0003,-0.1008,0.5891,0.0,0.0,0.0,0.0
2026-07-16,2620.0,2670.0,2500.0,2520.0,684200,-0.0583,-0.0158,0.0,-0.1679,-0.0161,-0.0132,-0.198,-0.1313,-0.0066,0.0242,0.0,-0.0146,-0.157,0.0097,0.1533,0.2702,0.0003,0.0217,-0.0008,0.0021,0.0,0.0,0.0018,0.1675,-0.0178,-0.0016,-0.0052,-0.0008,-0.0,-0.0159,0.1692,0.0013,0.0,0.0,0.0
2026-07-17,2560.0,2630.0,2560.0,2630.0,755000,-0.0052,0.0005,0.0023,-0.0248,0.0039,-0.001,0.0023,0.0261,0.0544,0.0205,-0.0051,-0.0839,0.0168,0.0155,-0.6928,0.8776,0.0232,0.0044,0.0013,-0.0052,-0.4882,0.0031,-0.0036,0.4644,-0.2064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2570.0,2610.0,2560.0,2570.0,473300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,2770.0,2950.0,2530.0,2570.0,4150100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,2720.0,2800.0,2580.0,2770.0,3109900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,2710.0,2760.0,2690.0,2720.0,2188800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,2680.0,2760.0,2670.0,2710.0,2882900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
