Date,Close,High,Low,Open,Volume,GR,PD,DR,CC,XL,IF,EP,YP,XA,KK,AG,RS,AT,DX,XC,SQ,TP,OD,BQ,AK,NI,YU,AZ,YB,LG,HD,RO,DH,CP,YJ,KI,AI,MG,GI,YO,HP,BK,SS,QA,FZ,TF
2026-07-13,150.0,151.0,148.0,151.0,1162400,0.0007,0.0192,0.003,0.0002,0.022,0.0003,0.0102,0.0191,0.0003,0.0082,0.0,0.0,-0.0227,0.0,0.0188,-0.006,0.0,-0.004,0.0,0.0,-0.0161,0.0018,0.0,0.0006,-0.0293,0.0,0.0,0.0,-0.0021,0.0,0.0015,0.0,-0.0002,0.0,0.0,-0.0097,0.0,0.0,-0.0001,-0.0149,-0.0009
2026-07-14,151.0,154.0,150.0,151.0,4507700,0.0008,-0.0824,0.0045,0.0545,-0.2543,0.0001,0.0001,0.0463,-0.0003,-0.0115,0.0001,0.0,-0.0003,0.0,0.0291,-0.0004,0.0,0.0281,0.0052,0.0,0.0265,0.0,-0.0011,0.0152,-0.0,0.0001,0.0,0.0,-0.0843,0.0,0.0,0.0004,0.0108,0.0,0.0,0.0,0.0,0.2128,0.0,0.0,0.0
2026-07-15,151.0,155.0,151.0,152.0,1370100,0.0041,0.0124,0.0,0.0192,-0.0151,0.0,0.0174,-0.0378,200.0,0.0104,0.0,0.0,-0.0004,0.0,0.0269,0.0032,0.0,-0.0545,0.0005,0.0,0.0094,0.0009,0.003,0.0,0.0,-0.0005,0.0,0.0,0.0031,0.0,-0.0002,0.0,-0.0016,-0.0,-0.0008,0.0003,-0.0,0.0,0.0,0.0,0.0
2026-07-16,154.0,156.0,151.0,154.0,2698400,-0.0136,-0.0145,-0.0051,-0.0067,0.0141,0.0,0.0861,-0.0009,0.0,-0.0149,0.0042,0.0194,-0.0015,0.0,0.0034,0.0637,0.0118,-0.1591,0.0131,0.0,-0.0263,0.0015,0.0445,0.0066,0.0005,-0.0,0.0,0.0,0.0,-0.0002,-0.0168,-0.0004,-0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,157.0,158.0,154.0,154.0,2085200,0.0004,0.0138,0.0124,0.0099,-0.0067,-0.0012,0.1099,-0.0215,-100.0,0.0095,0.0,-0.0199,-0.0001,-0.0016,0.0038,-0.066,-0.0052,-0.0324,-0.0218,0.0018,-0.027,-0.0011,0.0534,-0.0129,0.0002,-0.0,-0.0001,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,157.0,159.0,157.0,157.0,2208100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,164.0,170.0,157.0,157.0,7559400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,166.0,170.0,164.0,165.0,2344600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,168.0,172.0,164.0,170.0,7511200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,158.0,166.0,156.0,166.0,4226100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
