Date,Close,High,Low,Open,Volume,OD,XL,CC,PD,YP,NI,EP,KK,ZP,AT,MG,XC,SQ,RO,DH,AG,AI
2026-07-13,12000.0,12150.0,12000.0,12125.0,1700,0.0,0.0012,-0.0012,0.0012,-0.0012,0.0,0.0,0.0012,0.0,0.0,-0.0012,0.0012,0.0,0.0,0.0,0.0,-0.0012
2026-07-14,13275.0,13750.0,12450.0,12450.0,16800,0.0,0.0073,-0.0168,-0.0025,-0.0012,0.0136,-0.0013,-0.0108,0.0,0.0,0.004,0.0119,-0.0,-0.0028,0.0,0.0,-0.0013
2026-07-15,13475.0,14000.0,13000.0,13700.0,8000,0.0,0.0138,-0.0273,0.0,0.0013,0.0,0.0,-0.0,0.0,0.0,-0.0041,0.0025,0.0125,0.0013,0.0,-0.0,0.0
2026-07-16,12900.0,13475.0,12650.0,13475.0,4300,0.0,0.0065,0.0065,0.0026,-0.0013,0.0,0.0,0.0051,0.0,0.0026,0.0,-0.0155,-0.0089,0.0026,-0.0001,0.0,0.0
2026-07-17,12900.0,13550.0,12800.0,13550.0,6300,0.0013,0.0074,0.0027,0.0014,0.0014,0.0065,0.0013,-0.0,-0.0027,0.0012,-0.0143,-0.0048,-0.0014,0.0,0.0,0.0,0.0
2026-07-20,12900.0,13100.0,12875.0,12900.0,2400,,,,,,,,,,,,,,,,,
2026-07-21,12425.0,13100.0,12225.0,12900.0,12800,,,,,,,,,,,,,,,,,
2026-07-22,13000.0,13500.0,12425.0,12700.0,12200,,,,,,,,,,,,,,,,,
2026-07-23,12700.0,13000.0,12475.0,13000.0,7000,,,,,,,,,,,,,,,,,
2026-07-24,12400.0,12875.0,12000.0,12700.0,10900,,,,,,,,,,,,,,,,,
