Date,Close,High,Low,Open,Volume,NI,RO,HD,OD,YB,SQ,YP,YU,XC,LG,KK,XL,AT,PD,BQ,RG,MG,CC,CP,XA,DR,EP,DH,AZ,KI,GR,TF,FZ,DX,QA,HP,ZP,PC,CD,PO,IN,AI,AO,IF,TP,BR,GI,LS
2026-07-13,110.0,114.0,102.0,105.0,7956900,-0.0024,-0.0,-0.0,-0.0128,0.0077,-0.0007,-0.0157,0.0,0.0724,0.0023,-0.0021,0.1276,-0.0,-0.0082,0.0044,0.0,-0.0011,-0.1727,0.002,-0.0015,-0.0002,0.0001,0.0012,0.0015,-0.0015,0.0,0.0,0.0,0.0002,0.0,-0.0004,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,111.0,114.0,110.0,114.0,6662300,0.0168,0.0001,-0.0,-0.0067,-0.0068,0.0033,0.0553,0.0,-0.0116,0.0001,0.0002,-0.003,0.015,-0.0101,-0.0003,0.0,0.0018,-0.1634,0.1182,0.0,0.0041,0.001,-0.0001,-0.0016,-0.0178,0.0033,0.0,0.0023,0.0,0.0001,-0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,111.0,112.0,108.0,111.0,1506500,0.0031,-0.0001,-0.0,0.0,0.0,0.0,0.009,0.0,-0.0198,0.0001,0.002,-0.0097,0.0,0.0,-0.001,0.0,0.0022,0.0027,0.0366,0.0,-0.02,0.0,0.0,-0.0,-0.0027,0.0,0.0,-0.0022,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,110.0,112.0,107.0,111.0,1790300,0.0099,0.0,0.0002,100.0,0.0,-0.0003,-0.0063,0.0,-0.0084,0.0,-0.0007,-0.0431,0.0001,-0.0001,-0.0004,0.0,0.0003,0.0051,0.0334,0.0105,-0.0,0.0032,0.0,-0.0,-0.0,-0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,110.0,112.0,109.0,111.0,996600,0.0001,0.0022,-0.0002,-0.0005,0.0022,0.0079,-0.0085,0.0011,-0.0084,0.0001,-0.0059,-0.0175,-0.0,0.0068,-0.0044,-0.0005,0.0022,0.0031,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,112.0,117.0,110.0,110.0,5549300,-0.0219,0.0,0.0003,-0.0004,-0.0001,-0.0042,-0.0667,-0.0011,-0.0021,-0.0,-0.0023,-0.0033,-0.0143,0.0004,0.001,0.0,-0.0006,0.0239,0.1098,-0.0227,-0.0005,-0.0011,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,118.0,119.0,112.0,116.0,4875100,-0.0089,0.0,-0.0003,-0.0001,0.0001,0.0001,-0.0091,-0.0,-0.0141,-0.0,-0.0095,-0.1475,-0.0005,0.0287,0.0044,0.0,0.014,-0.0102,-0.0002,0.0,-0.0029,-0.0068,0.0,-0.006,-0.0317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2006,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,128.0,128.0,116.0,118.0,11950800,-0.0201,-0.0004,0.0002,0.0069,0.0002,0.009,0.008,0.0,-0.0232,-0.0039,-0.0069,-0.5121,-0.0001,-0.0036,-0.006,0.0,-0.0237,-0.0688,-0.0001,0.0018,-0.0049,-0.0101,-0.0139,0.0,-0.0,-0.038,0.0,0.0,0.0054,0.0018,0.0,-0.0,0.0,0.0,0.0,0.0,0.342,-0.0032,0.3663,-0.001,0.0022,-0.0,-0.0039
2026-07-23,126.0,134.0,121.0,128.0,5350900,0.0299,0.0,-0.0002,-0.002,0.0063,-0.0008,-0.027,0.001,-0.0054,-0.0014,-0.0024,-0.1279,0.0,0.0155,-0.001,0.0,0.032,0.0074,0.0131,-0.0028,0.0027,0.0174,-0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,-0.0033,0.0395,0.0,0.0,0.0,0.0
2026-07-24,124.0,126.0,119.0,126.0,1883100,-0.0092,0.0,-0.0,0.1626,-0.0095,0.0006,-0.0102,0.0,-0.0292,0.0,-0.001,-0.1144,0.0,-0.0055,-0.0006,0.0,0.0024,-0.0012,0.0,0.0,-0.0012,-0.0005,0.0,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0157,0.0018,0.0,0.0,0.0,0.0,0.0,0.0
