Date,Close,High,Low,Open,Volume,CP,YJ,XL,CC,YP,PD,XA,DR,KI,EP,KK,IF,AG,AT,GI,AI,XC,SQ,TP,OD,BQ,AK,NI,YU,AZ,YB,PO,LG,BK,RO,DH,MG,ZR,GR,DU,FZ,HP,QA,PG,ZP,AR,PC,DX,SA,IH,HD
2026-07-13,127.0,132.0,120.0,124.0,79644300,-0.1516,0.0975,-0.6685,-0.5214,0.0788,-0.7897,0.2356,-0.026,-0.0037,0.0076,-0.1592,0.0006,0.0441,-0.0061,0.0,-0.0112,-0.1098,-0.0061,-0.1308,0.0069,-0.058,0.414,-0.0106,0.0043,-0.3359,-0.0928,-0.0046,-0.0032,0.0221,0.0,-0.0004,-0.1011,0.0,2.0,0.1436,-0.0013,-0.0357,-0.0044,0.0,-0.0284,0.2093,0.0435,0.0,0.0,0.0002,-0.005
2026-07-14,123.0,133.0,122.0,128.0,62362200,0.1741,0.0658,-0.1024,0.1495,0.5147,-0.3666,-0.3815,0.079,0.0009,0.0063,-0.0059,0.0009,-0.0001,0.0002,0.0,0.0,-0.0582,0.0112,0.0305,-0.0333,0.0276,-0.2783,-0.1879,-0.0379,0.1853,0.0329,0.0,0.0254,0.0222,0.001,-0.0214,-0.1348,0.0128,0.1627,0.0594,-0.0017,-0.0042,-0.0262,0.0,0.0037,0.0362,0.0253,0.0122,0.0005,0.0,0.0
2026-07-15,125.0,128.0,122.0,124.0,31507000,0.0941,0.178,0.2204,-0.2387,-0.137,0.0644,-0.0907,0.0163,-0.0029,-0.0125,0.0003,-0.0,0.0621,-0.0,0.0,0.0,-0.0168,-0.0835,0.0202,-0.0316,-0.0008,-0.2429,0.0036,0.005,0.1286,0.0024,-0.0001,0.0043,-0.0435,0.0007,0.002,0.2797,0.0025,-0.0104,-0.0901,0.0002,-0.0029,0.0019,0.0,0.0,-0.0126,-0.0694,0.0,0.0,0.0,0.0
2026-07-16,127.0,131.0,123.0,125.0,56372400,0.178,-0.0522,-0.5835,-0.2438,-0.1146,0.0346,0.0463,0.0211,-0.0027,-0.0957,-0.0043,0.0,-0.0003,-0.001,-200.0,0.0006,-0.0344,-0.0012,-0.0544,-0.063,0.0907,0.0183,-0.0099,-0.0038,0.32,0.0172,0.0,1.0,0.0013,-0.0006,-0.0126,-0.2464,0.0065,-0.0067,-0.096,0.0001,0.0024,-0.1054,-0.0013,-0.0009,-0.0267,0.0,0.0,0.0,0.0,0.0
2026-07-17,126.0,130.0,125.0,130.0,16136500,0.0954,0.0615,0.4805,-0.0997,0.0538,-0.0254,-0.0148,-0.0125,200.0,-0.0115,0.0294,-0.0025,-0.1386,0.0002,0.0,0.0,0.0211,-0.0001,0.0176,0.0499,-0.0778,0.0018,0.0024,-0.0013,-0.0112,0.0853,0.0002,-0.5784,-0.0018,0.0001,-0.0043,0.0808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,124.0,126.0,123.0,124.0,11669600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,124.0,125.0,121.0,124.0,39606500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,117.0,125.0,112.0,125.0,120739400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,126.0,126.0,115.0,117.0,158184300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,117.0,126.0,116.0,126.0,39128200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
