Date,Close,High,Low,Open,Volume,ZR,CP,GR,IN,XL,CC,YP,IF,KK,AT,LS,XC,AZ,HP,PC,MG,AH,YJ,PD,DR,XA,EP,KI,AG,GI,ES,AI,SQ,TP,OD,QA,BQ,AK,NI,ZP,YB,LG,HD,RO,DH,AO,FZ,YU,SH,BR,BK,TF,CD,IH,PG
2026-07-13,101.0,113.0,100.0,108.0,523610300,0.0,0.0359,-0.049,-0.0219,2.5,-0.2027,-0.0898,0.0752,0.2506,0.1438,0.0,-0.1274,0.1718,0.0077,-0.0032,-3.3,0.0,0.0224,0.3098,-0.2349,0.727,-0.0395,0.0259,-0.0145,0.0,-0.0016,0.0573,0.0548,-0.0455,0.1533,0.0255,-0.2437,0.0092,-0.5641,0.0022,0.1813,0.0295,0.037,0.0397,0.0029,0.1071,0.0,-0.1146,0.0,0.0,0.0,0.0,0.0037,-0.0121,0.0051
2026-07-14,101.0,103.0,92.0,102.0,125882800,0.0,0.0467,-0.046,-0.0004,-1.5,1.1,-0.0187,0.0321,0.4406,-0.01,0.0006,-0.113,-0.0071,0.0,0.198,0.0284,0.0,-0.0056,-0.1574,-0.0166,0.1074,0.0429,-0.0029,0.0,-0.0002,0.0,-0.0046,0.0306,-0.0047,-0.0436,-0.0,0.0686,-0.015,-0.0201,-0.1162,-0.0259,0.0007,0.008,0.0051,-0.0014,-0.0083,0.0005,-0.0073,0.0,0.0,-0.0016,-0.0,0.0,0.0,0.0
2026-07-15,97.0,107.0,96.0,101.0,141069400,0.001,-0.0842,0.0283,-0.024,-0.3244,-1.3,0.5532,0.0322,0.0308,0.1506,-0.0006,0.2564,0.0625,0.0004,-0.0372,0.8699,0.0,-0.0052,0.3043,-0.0018,-0.9039,0.1505,0.0055,0.0032,0.0,0.0,0.0,-0.0121,0.0328,0.1391,-0.0237,-0.1338,-0.0101,0.0128,0.0771,0.1069,0.0019,0.0622,-0.0036,0.017,-0.065,-0.0001,0.0297,0.0001,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-16,95.0,102.0,93.0,97.0,88173100,0.0009,0.0561,0.0295,0.0,-0.0798,0.7622,-0.1462,0.0,0.0193,0.1394,0.0,0.0119,-0.0838,0.0,-0.0139,-0.7161,0.0,-0.0005,-0.0709,0.0902,0.0226,0.0183,-0.0006,0.0035,0.0004,0.0,0.0009,0.0288,-0.0149,-0.0537,0.001,-0.02,0.0229,0.0459,0.0058,-0.0928,0.0022,0.0538,-0.0191,0.0085,-0.0093,0.0017,-0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,92.0,97.0,92.0,96.0,39864100,0.0024,0.0251,0.0179,-0.0002,0.3303,0.0192,0.0498,-0.0048,-0.3298,-0.0501,0.0004,-0.0652,-0.1075,0.0,-0.0457,0.0957,0.001,0.0001,-0.0428,-0.0052,-0.0448,0.0006,0.0007,0.0003,-0.0004,0.0009,-0.0,0.0165,0.0118,0.0403,0.0022,0.0117,-0.0355,0.0196,0.0175,-0.0017,0.0329,0.0236,-0.0028,0.0159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,101.0,106.0,92.0,92.0,613424900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,99.0,104.0,96.0,102.0,180634500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,97.0,100.0,96.0,99.0,51015600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,96.0,103.0,95.0,98.0,116102800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,91.0,96.0,90.0,95.0,51033300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
