Date,Close,High,Low,Open,Volume,NI,GI,OD,YB,QA,DR,SQ,YP,XC,KK,AK,XL,YJ,ZP,AT,EP,PD,BQ,MG,GR,CC,FZ,RO,LG,DH,AZ,DX,CP,XA,AI,IF,LS,YU,TP,AG,KI,AR,AO,IH,ZR,HP
2026-07-13,161.0,162.0,159.0,162.0,1208800,0.002,0.0,-0.0073,-0.0002,0.0,-0.0006,-0.0017,0.0177,0.0066,-0.0038,0.0,0.0603,0.0,-0.0001,-0.0039,0.0071,0.026,-0.0032,0.0,0.0,-0.012,0.0,0.0099,0.0,-0.0001,0.0,0.0,-0.019,0.0,0.0024,0.0,0.0,0.0,0.0,-0.002,0.0016,0.0,0.0,0.0,-0.0798,0.0
2026-07-14,163.0,166.0,161.0,162.0,1068400,0.0096,0.0,0.0132,-0.0001,0.0002,0.0,0.0047,0.0172,-0.0001,0.0,0.0,0.0056,0.0,-0.0025,-0.0001,0.0001,-0.0267,0.0,-0.0017,-0.0004,-0.001,0.0,-0.0,0.0,0.0,-0.0033,0.0,-0.0026,0.0,-0.0014,-0.0001,0.0,-0.0099,0.0,0.0,-0.0004,0.0,0.0,-0.0003,0.0,0.0
2026-07-15,169.0,189.0,166.0,180.0,16732500,-0.0151,0.0,0.0483,-0.0101,-0.0015,-0.024,-0.0152,-0.0224,-0.0012,-0.0063,0.0,0.3481,0.0,-0.0627,0.0348,0.0019,-0.0034,0.0001,0.0116,-0.0575,-0.1031,-0.0218,0.0001,0.0007,-0.0238,-0.0054,0.0035,-0.0671,0.0002,0.0005,-0.0001,-0.0009,-0.0063,-0.0018,-0.0018,0.002,0.0001,-0.0003,0.0,0.0,0.0
2026-07-16,166.0,172.0,161.0,168.0,3521500,0.0076,0.0002,-0.0021,0.0015,0.0,-0.0001,-0.0043,-0.0019,0.0215,0.0028,0.0,-0.088,0.0005,-0.0007,-0.0,-0.0003,0.0119,-0.0002,0.0349,0.0095,0.0126,0.0,-0.0034,0.0003,0.0008,0.0109,0.0001,-0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,167.0,171.0,164.0,169.0,1134000,0.0004,-0.0002,-0.011,0.0001,0.0005,-0.0001,0.0006,-0.018,0.007,0.0025,0.0009,0.0403,0.0003,-0.0017,-0.0331,0.0,0.0121,0.0017,0.0052,-0.0052,-0.0011,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,166.0,168.0,164.0,167.0,1766300,-0.0021,0.0,0.099,0.0,0.0001,0.0008,0.0017,-0.0329,0.0007,0.012,0.007,-0.1476,0.0,0.005,-0.0,0.0008,0.0207,-0.0018,0.0,0.0,0.033,0.0,0.0,0.0001,0.0001,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,166.0,167.0,162.0,165.0,1900300,-0.0018,0.0,0.0157,0.0,0.0001,0.0163,0.0018,0.0212,-0.0002,0.0014,0.0078,-0.1108,0.0,-0.0003,-0.0,0.0,0.0129,0.0004,0.0018,0.0002,0.0042,0.0,0.0,-0.0001,0.0,0.0002,0.0,0.0252,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,-0.0036,0.0,0.0,0.0,0.0,0.0
2026-07-22,165.0,167.0,164.0,166.0,1605300,0.0002,0.0,-0.0356,0.0,0.0,0.0001,0.0018,0.001,0.0796,0.0009,0.009,-0.0464,0.0,-0.0002,0.0,0.0001,-0.0134,0.0,0.0,0.0053,0.0042,0.0,0.0,0.0,0.0,0.0033,0.0,-0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,165.0,169.0,165.0,165.0,1464200,0.0009,0.0,-0.0071,0.0,-0.0005,-0.0093,-0.0012,-0.004,0.0274,-0.0113,0.011,0.0231,0.0,-0.0002,0.0,0.0,-0.0324,-0.0002,0.0011,-0.0056,0.0085,0.0,-0.0002,-0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0
2026-07-24,165.0,172.0,163.0,164.0,1476700,-0.0124,0.0,0.0011,-0.0,0.0,0.0264,-0.0038,-0.0104,0.0075,-0.01,0.0167,0.0188,0.0,-0.0034,0.0,0.0,-0.0024,0.0001,-0.0004,-0.0001,-0.0198,0.0,0.0,0.0,0.0,0.0001,0.0,-0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003
