Date,Close,High,Low,Open,Volume,CP,GR,XL,IF,YP,PD,CC,EP,XA,KI,KK,AT,XC,SQ,TP,OD,QA,BQ,NI,LG,PC,DH,YJ,AG,YU,ZP,YB,HP,RO,AI,AZ,PO,HD,MG,CD
2026-07-13,160.0,161.0,156.0,159.0,2735400,-0.0006,-0.0174,-0.0587,-0.0001,0.0137,0.042,0.0483,0.0079,0.0011,-0.0024,0.0012,0.0002,-0.0172,0.0159,-0.0,-0.0169,0.0,-0.0055,-0.0011,0.0,0.0,-0.0008,0.0,0.0,0.001,0.0,0.0,-0.0,0.0001,-0.0056,0.0004,0.0,0.0,-0.0029,-0.0026
2026-07-14,164.0,166.0,159.0,160.0,4950900,0.0099,0.055,0.1478,0.0002,-0.0222,-0.0581,-0.1263,-0.0097,-0.0016,-0.0001,0.0013,-0.0003,0.0163,0.002,0.0162,-0.0216,0.0,0.0068,0.0057,0.0,0.0,-0.0,0.0,0.0,-0.0081,0.0,-0.0001,-0.0001,-0.0001,-0.0106,-0.0004,-0.0021,0.0001,0.0,0.0
2026-07-15,163.0,167.0,163.0,164.0,1488300,-0.0086,0.004,-0.0331,-0.0002,0.0525,0.0028,0.0038,-0.0245,0.0,0.0018,0.0,0.0,-0.011,0.0027,0.0082,0.002,0.0,-0.0037,0.0049,0.0004,0.0,0.0,0.0004,200.0,-0.0011,0.0003,0.0,-0.0016,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,162.0,164.0,160.0,163.0,974500,-0.0122,0.0045,-0.0085,0.0,0.0084,0.0001,-0.0151,0.0303,0.0,0.0016,-0.0,0.0,-0.0039,0.0049,0.0162,-0.0001,0.0,-0.001,-0.0254,-0.0003,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,165.0,165.0,161.0,162.0,1381000,0.0025,-0.0082,-0.036,0.0,0.0247,-0.0061,-0.0056,0.0232,-0.0,-0.0007,0.0005,0.0002,-0.0219,0.0125,0.033,-0.0127,-0.0,-0.0023,-0.0014,0.0001,-0.0,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,166.0,171.0,164.0,165.0,2867600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,169.0,170.0,166.0,167.0,2349800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,171.0,174.0,169.0,169.0,2895500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,179.0,190.0,172.0,172.0,13337000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,173.0,183.0,171.0,180.0,3012300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
