Date,Close,High,Low,Open,Volume,NI,DH,XA,PD,SQ,KK,LG,CC,XL,AK,TP,BQ,OD,YP,XC,HD,CP,AZ,YB,CD,EP,QA,AI
2026-07-13,292.0,294.0,288.0,288.0,86700,-0.0115,0.0,-0.0001,0.0,0.0004,0.0,0.0,0.0052,0.0084,0.0,0.0,0.0,0.0003,-0.0009,-0.0011,0.0,-0.0007,0.0,0.0,0.0,0.0001,0.0,-0.0
2026-07-14,294.0,308.0,292.0,294.0,1176200,-0.009,-0.0005,0.1054,0.0004,-0.0191,0.0002,-0.0001,0.1012,-0.0089,0.0,-0.189,0.0,0.0089,-0.0036,-0.0,0.0,0.0139,0.0,0.0,0.0004,-0.0001,0.0001,0.0
2026-07-15,296.0,300.0,292.0,298.0,344800,-0.0027,0.0,0.0227,0.0119,0.0048,0.0009,0.0,0.021,-0.0084,0.0,-0.0581,0.0004,0.0001,0.0001,0.0055,0.0,0.0006,0.0,0.0012,0.0,0.0,0.0,0.0
2026-07-16,294.0,296.0,288.0,296.0,778500,0.0096,0.0,-0.0057,0.0,0.0109,0.0,0.0,0.0056,0.0078,-0.0003,-0.1077,0.0,-0.009,0.0003,-0.0005,0.0882,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,296.0,296.0,294.0,294.0,71600,-0.0051,0.0,0.0107,0.0007,0.0015,-0.0015,0.0001,-0.0045,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,294.0,298.0,290.0,294.0,958100,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,292.0,296.0,290.0,296.0,1118100,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,296.0,296.0,288.0,294.0,785800,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,294.0,298.0,292.0,296.0,441500,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,294.0,296.0,292.0,294.0,577100,,,,,,,,,,,,,,,,,,,,,,,
