Date,Close,High,Low,Open,Volume,NI,DH,PD,OD,SQ,GR,YP,XC,LG,CC,XL,AT,XA,YB,KI,KK,ZP,EP,MG,TP,RO,HP,BQ,DR
2026-07-13,2150.0,2180.0,2140.0,2170.0,17800,-0.0077,0.0,0.0004,0.0004,0.0,0.0,0.0,0.0123,0.0,0.0114,-0.017,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-14,2170.0,2180.0,2150.0,2160.0,24500,0.0022,0.0,0.0006,0.0015,0.0006,0.0,0.0017,-0.0002,0.0,0.0095,-0.0162,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,2170.0,2190.0,2150.0,2190.0,13700,0.0,0.0002,0.0,-0.0035,0.0069,0.0,-0.0009,-0.0039,0.0,0.0015,-0.001,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,2150.0,2170.0,2130.0,2170.0,60900,-0.0074,0.0022,0.0,0.0109,0.0047,-0.0804,0.0096,0.0085,0.0,0.056,-0.0058,0.0,0.0004,0.0011,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2150.0,2220.0,2140.0,2150.0,44800,-0.0049,0.0006,0.0657,0.0009,0.0002,-0.0123,-0.0009,-0.0065,-0.0077,-0.0396,0.0042,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2190.0,2190.0,2150.0,2150.0,59300,0.0026,0.0,0.0642,0.0002,0.0061,-0.0149,0.0004,-0.0013,0.0,-0.0761,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002
2026-07-21,2200.0,2240.0,2180.0,2230.0,16900,0.0,-0.0011,-0.0026,-0.002,0.0048,0.0,-0.0044,0.0084,0.0,-0.0026,-0.0073,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,-0.0011,0.0,0.0,0.0,0.0002,0.0
2026-07-22,2190.0,2220.0,2180.0,2200.0,38200,-0.0009,0.0,-0.0002,0.0,0.0735,0.0,0.0022,-0.0148,0.0,-0.0038,-0.0452,0.0,0.0,0.0004,0.0,-0.0099,0.0,0.0,0.0,0.0,0.0022,-0.0022,-0.0016,0.0002
2026-07-23,2190.0,2250.0,2190.0,2190.0,17100,0.0009,0.0004,0.0088,0.0011,-0.0022,0.0,0.0081,0.0031,0.0,-0.0094,-0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0002,0.0,0.0,0.0,0.0
2026-07-24,2160.0,2190.0,2160.0,2190.0,14800,0.0004,0.0004,0.0,0.0,0.0,0.0,-0.0085,-0.014,0.0,0.0178,0.0039,-0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
