Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,OD,YB,QA,DR,SQ,YP,YU,HP,XC,LG,FS,AK,KZ,AT,ZP,YJ,TF,XL,KK,DH,CD,EP,TP,PD,BQ,AZ,AG,KI,GR,CC,AO,DX,CP,SH,AI,PP,PO,MG,RX,IF
2026-07-13,278.0,284.0,272.0,276.0,2263300,0.0203,-0.0023,0.0,0.0,0.0192,0.0043,-0.0002,0.0003,0.0024,-0.0022,0.0,0.0,-0.0453,0.0,0.3347,-0.0891,-0.1241,0.0001,-0.0023,0.0,-0.0,-0.0563,-0.0036,0.0,0.0,-0.0015,0.0,-0.1372,-0.0,0.0,0.0311,0.0016,0.0,0.0497,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0
2026-07-14,278.0,282.0,270.0,278.0,3020600,-0.0,-0.0093,0.0001,0.0008,-0.0009,-0.0109,0.0001,0.0,0.0132,-0.0252,0.0,0.0028,0.0131,0.0,0.4225,-0.0377,-0.1249,-0.0004,-0.3072,0.0001,0.0,0.0333,-0.0125,-0.0035,0.0,0.0,0.0,-0.0491,-0.0,0.0,0.0,0.0,0.0109,0.0569,0.0,0.0,0.0279,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2026-07-15,286.0,288.0,276.0,276.0,2418600,0.0091,0.1583,0.0004,-0.0005,-0.015,-0.005,0.0,0.0,-0.0192,-0.0366,0.0071,-0.0014,-0.0409,0.0001,0.2128,-0.025,0.0,0.0,0.0,0.0,0.001,-0.1095,-0.023,-0.0003,0.0,-0.0013,0.0,-0.0003,-0.0004,-0.0052,0.0,-0.0006,-0.0228,0.0939,0.0,0.0,-0.0284,0.0,0.0,0.0,-0.0003,-0.0104,-0.1365,-0.0001
2026-07-16,282.0,304.0,282.0,286.0,5476300,0.006,-0.0896,0.0001,0.0021,0.0033,0.0807,0.0,0.0037,-0.0623,0.0101,0.0,-0.0031,-0.0095,0.0024,0.4824,-0.0272,0.0,-0.0001,-0.0043,0.0,0.0,0.1079,-0.0098,-0.0002,0.0,-0.0027,0.0,-0.0233,0.0167,0.0174,0.0,0.0009,-0.0002,-0.1244,0.0,0.0,0.0637,0.0015,-0.0029,-0.0625,0.0003,-0.0,-0.3769,0.0
2026-07-17,300.0,308.0,282.0,284.0,8392400,-0.0,0.005,-0.0012,-0.0035,-0.007,0.168,0.0009,0.2893,-0.0048,0.0145,0.0012,0.003,-0.004,-0.0006,-0.1718,0.1859,-0.4721,0.0002,0.0035,0.0001,0.0006,-0.2517,-0.0029,0.0891,-0.0007,-0.0001,-0.0,0.0433,-0.0168,-0.0094,0.017,-0.0016,0.0115,-0.0929,0.2824,-0.0001,-0.0743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,298.0,314.0,296.0,308.0,3480800,0.0,0.0138,0.0001,0.0,0.0125,0.1742,0.0001,0.0053,0.0006,0.0067,0.0,0.0,0.0366,0.0012,0.0019,0.0055,-0.4062,-0.0,0.0562,0.0,0.0,0.1389,0.0,-0.0279,0.0,0.0,0.0012,-0.0046,-0.0608,-0.0031,0.0,-0.0022,0.016,0.0126,0.003,0.0,0.0179,0.0,0.0,0.0,0.0003,0.0,0.0,0.0
2026-07-21,300.0,302.0,286.0,298.0,4360600,0.0,-0.0613,0.0028,0.0,0.0009,-0.1505,0.002,-0.0074,0.0159,-0.0,0.0698,0.0,0.0065,0.0043,0.3529,0.1698,0.0,0.0001,0.1924,0.0,0.0,-0.1454,0.0,0.0002,0.0,-0.0004,0.0036,-0.0325,-0.0293,0.0057,0.0,-0.0,-0.0154,-0.0456,-0.0016,0.0,0.0219,0.0,0.0,0.0,0.0,0.0,-0.3596,0.0
2026-07-22,298.0,300.0,290.0,298.0,2658800,-0.0113,-0.0183,0.0,0.0,-0.0085,0.0006,-0.0002,0.0,0.0005,-0.0159,0.0,0.0,0.0071,0.0017,0.0505,0.0178,0.0,0.0002,0.0222,0.0,0.0001,-0.0853,0.0001,0.003,0.0,0.0015,-0.0037,0.0002,200.0,0.008,0.0,0.0001,0.1676,-0.0142,-0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,-0.157,0.0
2026-07-23,304.0,304.0,292.0,298.0,4088700,-0.246,-0.0579,-0.0,0.0068,0.0015,-0.0022,-0.0019,0.2573,-0.0087,0.0051,0.0,0.0,-0.0309,-0.0053,0.07,-0.0828,0.0,0.0006,0.0,0.0,0.0,-0.0682,-0.0001,0.0,0.0,0.0164,-0.0005,-0.0217,-0.0603,0.024,-0.0003,-0.0009,-0.114,0.371,-0.0015,0.0,-0.0491,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0
2026-07-24,288.0,304.0,288.0,304.0,3907600,-0.1621,-0.0163,0.0,0.0002,0.0503,-0.002,0.0,0.0576,0.0,0.0432,0.0,0.0,-0.0158,0.0,0.1753,-0.1354,0.0,0.0,-0.1738,0.0145,0.0,0.2687,0.0499,0.0021,0.0,-0.013,0.0693,0.0183,0.0001,0.0,0.0,-0.0062,0.0015,-0.2696,0.0,0.0,0.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
