Date,Close,High,Low,Open,Volume,CP,GR,RG,PD,CC,IF,XL,YP,DR,XA,AO,KK,HD,AT,XC,SQ,TP,OD,BQ,AK,NI,AZ,YB,ZP,BK,RO,DH,MG,YJ,EP,KI,AG,AI,QA,LG,YU,HP,PC,MU,AH
2026-07-13,208.0,212.0,206.0,208.0,10954100,-0.0296,-0.0,0.0,0.0257,0.1874,-0.0001,-0.3275,0.0613,-0.024,-0.2071,-0.2806,-0.0591,0.0272,-0.0083,0.0091,-0.004,0.1517,0.02,-0.0012,0.1442,-0.0062,-0.0004,0.164,0.0108,0.2752,-0.0002,0.0,0.0055,0.0,-0.0486,0.0,0.0002,-0.074,0.0,0.0,-0.0004,-0.0103,-0.0008,0.0,0.0
2026-07-14,210.0,212.0,206.0,208.0,15702800,-0.0069,-0.0331,0.0,-0.0828,0.6525,-0.0023,-0.361,-0.7088,-0.0882,-0.0091,-0.0482,0.0083,0.0113,0.014,-0.0224,0.0172,0.0,0.027,0.0006,0.3677,-0.0044,0.0,0.4692,-0.0011,0.1866,0.0,0.0004,0.0,-0.0,-0.2265,-0.0453,-0.0001,0.0,0.0,0.0001,0.0001,-0.1143,0.0,-0.0006,-0.0002
2026-07-15,214.0,228.0,210.0,210.0,22618200,0.0582,0.0001,0.0,0.2966,0.3938,0.0,0.101,-0.163,-0.0169,-0.4605,0.0678,0.0348,0.0047,0.049,0.0886,-0.0408,0.0001,-0.0042,0.004,0.1805,-0.0298,-0.0033,0.2927,0.0437,0.0554,0.0,0.0005,0.0568,-0.004,-0.0139,0.0002,0.0,0.0123,-0.0002,-1.0,0.0002,-0.0032,0.0,0.0,0.0
2026-07-16,214.0,214.0,208.0,214.0,7795400,-0.114,0.0,0.0,-0.0419,0.2214,0.0,-0.3691,0.0778,-0.0211,0.1711,-0.0784,0.0146,-0.0206,-0.0213,-0.059,-0.0008,-0.0001,0.0013,0.0005,0.205,0.0004,0.0011,0.0461,0.0471,0.1015,-0.0,0.0006,-0.0045,-0.0021,-0.0021,-0.147,-0.0001,-0.0106,0.0011,0.0029,0.0,0.0,0.0,0.0,0.0
2026-07-17,214.0,214.0,202.0,214.0,11735700,-0.0148,0.0235,0.107,-0.3108,0.0416,0.0,-0.1493,-0.2483,-0.0302,-0.0042,-0.0655,0.0537,0.5177,0.0021,-0.059,-0.089,0.1139,0.023,0.0323,-0.0277,-0.0012,0.003,0.0094,-0.018,0.1393,0.0001,-0.0021,-0.0465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,216.0,220.0,210.0,214.0,9321100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,214.0,220.0,210.0,218.0,8495600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,214.0,216.0,212.0,216.0,9579700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,216.0,222.0,212.0,216.0,5275300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,216.0,228.0,214.0,214.0,15351400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
