Date,Close,High,Low,Open,Volume,XC,MG,QA,YJ,KK,NI,CP,AT,OD,PD,XL,YP,CC,RO,YB,BQ,SQ,YU,LG,AZ,ZP,KI,EP,DH,TP,XA,IF,AO,GR,DR,SF
2026-07-13,54.0,59.0,53.0,58.0,5004900,-0.0004,-0.0003,0.0,0.0109,-0.002,0.0027,0.0,0.0,0.0055,-0.0011,0.0711,-0.0096,0.0163,0.0,0.0004,0.0,-0.0997,0.0,0.0,0.0004,0.0,0.0,0.0,0.0142,0.0,0.0,0.0,0.0011,0.0,0.0,-0.0096
2026-07-14,56.0,59.0,54.0,56.0,6029800,0.005,0.0,0.0001,-0.006,-0.0,-0.0013,0.0,-0.0007,-0.0032,0.0054,0.0241,0.0183,-0.0082,0.0,-0.0004,0.0007,-0.0242,0.0,0.0001,0.0,0.0114,0.0,0.0,-0.0135,0.0,-0.0001,-0.0001,-0.0018,-0.0056,-0.0,0.0
2026-07-15,57.0,57.0,55.0,56.0,1115700,-0.0001,-0.0011,0.0,0.0,-0.0003,-0.0006,0.0226,-0.0001,0.0092,0.0001,-0.013,-0.0173,-0.0,-0.0,-0.0,-0.0,-0.0038,-0.0,-0.0,0.0057,-0.0012,-0.001,-0.0001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,56.0,58.0,55.0,57.0,1147400,-0.0018,0.0,0.0,0.0122,-0.0006,-0.0004,0.0,0.0,-0.0064,0.0007,0.0031,-0.0069,-0.0003,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,56.0,57.0,55.0,56.0,864500,0.0071,-0.0011,-0.0001,-0.001,-0.0006,0.0007,-0.0004,-0.0003,0.0004,-0.0,-0.0056,0.0005,0.0005,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,56.0,57.0,55.0,57.0,1180400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,55.0,56.0,54.0,54.0,2176500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,60.0,60.0,54.0,55.0,12714900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,66.0,66.0,60.0,60.0,10950800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,62.0,72.0,61.0,66.0,11957100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
