Date,Close,High,Low,Open,Volume,BK,NI,XA,CC,RB,OD,YB,DR,SQ,YP,ES,HP,XC,LG,KK,XL,AK,AT,ZP,TP,EP,CD,DH,SF,PD,BQ,KI,GR,HD,DX,CP,RO,FS,AZ,IH,YJ,AI,IF,MG,PC,YU,AG,RG,LS
2026-07-13,625.0,625.0,610.0,625.0,3050700,-0.1388,0.0077,0.0006,-0.3875,0.0,0.0579,0.0,0.0018,-0.0002,0.1079,0.0858,0.0,-0.0183,-0.0014,0.0565,0.2034,0.1167,0.0173,-0.1598,-0.0019,-0.0006,0.0003,0.0612,0.0,-0.1442,0.0062,0.0003,0.0009,-0.0028,0.0,0.0839,0.0006,0.0,0.3031,0.0,0.0006,0.0038,0.0,0.0,0.0,-0.1393,-0.141,0.0191,0.0
2026-07-14,635.0,650.0,625.0,630.0,3097500,-0.3084,-0.214,-0.0033,0.0357,0.0,-0.0167,0.0079,-0.0023,-0.0021,0.1377,0.0,0.0,-0.0587,-0.0105,0.021,0.0746,-0.1152,-0.0095,-0.0001,-0.0001,0.0015,0.0064,-0.0001,0.0,0.0869,0.0051,-0.0015,-0.016,0.0032,0.0232,0.2407,-0.0011,0.0,0.2143,-0.0451,0.0,-0.0035,-0.0013,0.0318,0.0,-0.0281,-0.0006,-0.0196,-0.0323
2026-07-15,660.0,670.0,635.0,635.0,4464700,-0.061,0.0994,-0.0033,-0.0281,0.0,-0.1327,0.0235,0.3336,-0.003,-0.0342,0.0161,0.0019,-0.0207,-0.0146,0.0329,0.0569,0.2906,-0.0041,-0.3908,-0.0001,-0.0009,0.0007,-0.0007,0.0,0.0272,0.0075,0.0001,0.1195,0.0143,-0.0172,-0.4963,0.0032,0.0,0.3476,-0.0524,-0.0003,-0.0001,-0.0089,-0.0323,-0.0325,-0.0407,-0.0001,0.0,0.0
2026-07-16,675.0,675.0,655.0,660.0,1712400,-0.076,-0.0017,-0.001,0.0606,0.0,-0.2365,0.0353,0.0929,-0.0002,-0.0358,0.0197,-0.0002,0.0279,0.0013,-0.025,-0.0169,-0.0418,0.0115,0.0931,0.0,-0.0352,-0.0,0.0027,0.0,0.0939,-0.0118,0.0,0.0539,-0.0175,0.0,0.0338,-0.0002,-0.0,-0.0268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,665.0,675.0,660.0,670.0,1106700,-0.0894,0.0174,0.001,-0.039,-0.0998,0.0168,0.0015,0.0681,-0.034,-0.0153,0.0632,0.0268,-0.0064,0.0347,0.0003,0.0152,0.0032,-0.0023,-0.0353,0.0018,0.0015,0.0003,-0.0133,-0.0001,0.0011,0.1302,0.0007,0.015,0.0009,-0.0067,-0.0582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,675.0,680.0,660.0,665.0,4767100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,630.0,675.0,620.0,675.0,28929500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,650.0,655.0,620.0,630.0,12272900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,650.0,675.0,645.0,650.0,10587000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,640.0,655.0,625.0,650.0,11587500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
