Date,Close,High,Low,Open,Volume,XC,SQ,YU,QA,LG,RO,AZ,XA,KK,CP,AT,KI,AK,OD,EP,XL,AG,DH,YP,CC,MG,YB,NI,IF,BQ,GR,HP,PD,DR,LS,RB,YO,BK,TP,AO,ES,HD,YJ,ZP,AI,FZ
2026-07-13,90.0,92.0,89.0,90.0,7487500,0.0128,0.0061,0.0,0.0009,0.0064,-0.0135,0.0012,-0.0111,-0.0059,0.0002,-0.0182,0.0025,-0.0001,-0.0052,-0.0046,-0.0232,0.0002,0.0003,0.0336,-0.043,0.0086,0.0106,-0.0028,0.0028,0.0157,-0.0025,0.0,-0.0144,0.0003,0.0408,0.0009,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-14,91.0,97.0,91.0,92.0,37046300,-0.0479,-0.0102,0.0025,-0.0009,-0.0163,-0.0,0.0001,-0.0006,0.0177,0.0108,-0.0018,-0.0007,0.0099,0.0184,0.0045,0.0795,0.0,-0.0106,-0.03,-0.0648,0.0236,-0.0047,0.0371,0.0028,-0.0318,-0.002,0.0,0.0545,-0.001,-0.0419,-0.0009,0.0,-0.002,0.0001,0.0092,-0.0011,-0.0002,0.0,-0.0009,-0.0,0.0
2026-07-15,91.0,93.0,91.0,91.0,5985200,-0.0026,0.0023,0.0156,0.0006,-0.0046,0.0001,0.0,0.0004,-0.0047,-0.0179,-0.0005,-0.0007,0.0052,-0.0013,0.0,0.1075,0.0,0.0,-0.0623,-0.0181,0.0053,0.0034,-0.014,0.0031,0.0001,0.001,0.0,-0.015,0.0,0.0,0.0,-0.0018,-0.0,-0.0001,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,94.0,95.0,91.0,92.0,11896700,0.0064,0.012,-0.047,-0.0001,0.0427,0.0,0.0003,0.0004,0.0098,0.0133,-0.0099,-0.0019,-0.0177,-0.0226,-0.0009,-0.1976,0.0,0.0028,0.0095,0.0464,-0.0369,0.0075,0.0185,-0.0059,0.0174,0.0015,-0.0186,0.0014,0.0093,-0.0008,0.1607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,94.0,97.0,93.0,95.0,9907500,-0.024,0.0197,0.0019,-0.0003,0.0002,-0.0003,0.0059,0.0013,0.0048,0.0029,0.0002,0.0,0.0098,-0.0049,-0.0019,0.0575,-0.0002,0.0018,-0.0573,-0.0205,0.0049,-0.0015,0.0212,-0.0142,-0.0141,-0.0013,0.0027,0.0044,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,93.0,95.0,92.0,95.0,10642700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,93.0,94.0,91.0,93.0,11269400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,92.0,94.0,91.0,93.0,7562300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,94.0,95.0,93.0,93.0,8089400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,89.0,94.0,89.0,93.0,10221300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
