Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,YB,QA,DR,SQ,YP,ES,HP,XC,LG,KK,XL,AI,DH,AZ,IF,MG,LS,CP,BK,RO,YU,AK,AT,ZP,TP,EP,PD,BQ,AG,KI,GR,HD,AO,DX,CD,MI,PC,BB,PG,SH,JB,FS,FZ,RG,AR
2026-07-13,350.0,350.0,338.0,340.0,42563700,0.1202,-0.0465,3.1,-0.3263,0.002,-0.0063,0.2967,-0.1346,-1.1,0.0,-0.0021,-0.1794,-0.107,0.4281,-0.2372,0.0,0.1746,-0.2315,0.053,-0.0002,0.0,0.197,1.1,-0.0059,-0.0451,1.2,-0.0373,1.0,-3.0,-0.4473,-1.8,-0.0009,0.0003,0.0004,-0.0009,0.0247,-0.0004,0.0004,0.0,0.0025,-0.0001,0.0,0.0,0.0,0.0,0.0166,0.0,-0.0074,-0.0017
2026-07-14,360.0,362.0,348.0,352.0,39084500,-0.2166,-0.0055,0.1834,-0.4218,0.0348,0.0001,-0.0348,-1.4,-0.9491,0.0,-0.0006,-0.727,-0.1066,0.0464,-1.8,0.0,-0.073,0.7451,-0.0538,-0.1144,0.0002,0.2375,-0.3182,0.0,-0.034,4.9,-0.0025,0.4061,0.0572,-0.0684,-0.9294,-0.132,-0.007,0.9107,0.0155,-0.027,0.0,0.0,0.0,0.0025,0.0,0.0,-0.0072,-0.018,0.0,-0.0501,-0.0107,0.0,0.0
2026-07-15,362.0,364.0,354.0,360.0,26163100,0.0359,0.1077,-0.9575,-0.5289,0.0924,0.0011,-0.283,1.9,-0.1778,-0.0021,-0.0005,0.1279,-0.3282,0.2168,-0.1961,0.0,-0.1355,-0.0346,-0.5885,-0.0192,0.0072,0.1222,-0.6266,-0.0002,-0.0051,1.3,-0.0019,0.1044,-0.0625,-0.295,-0.2478,-0.0046,0.1996,0.899,-0.0007,0.0021,0.0009,0.0013,0.0,0.0,-0.0,-0.6796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,360.0,362.0,356.0,360.0,18906900,-0.1159,0.0,0.4989,-0.7905,-0.0234,0.0002,0.0398,-0.0203,0.3361,0.0,0.0015,0.113,-1.4,-0.0212,-0.2971,0.0,0.0034,0.0064,0.0434,0.4687,0.0,0.2511,-1.0,0.0,0.0072,0.6425,-0.0019,-0.3,-0.0356,0.4334,0.4346,0.0423,-0.0004,0.6902,-0.0078,-0.0032,-0.0072,0.0013,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,368.0,368.0,356.0,360.0,24004000,-0.4149,-0.0075,1.4,-0.7642,-0.013,0.0038,0.0515,-0.0375,-0.1207,0.0044,-0.0046,-0.1204,-0.0412,-0.2041,-0.7998,0.0728,0.0023,0.0391,-0.909,0.2157,0.0001,0.461,0.2106,-0.4019,-0.1239,1.4,-0.0323,0.0132,0.0055,-0.2033,0.0655,-0.0046,-0.0001,0.912,-0.0215,0.0067,-0.0013,-0.6576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,366.0,372.0,366.0,368.0,25804700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,366.0,372.0,366.0,368.0,26571400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,398.0,410.0,366.0,368.0,188305600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,406.0,426.0,398.0,408.0,211886200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,398.0,410.0,394.0,400.0,78823300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
