Date,Close,High,Low,Open,Volume,IU,HD,XL,PD,EP,XC,CP,MG,SQ,CD,SF,AZ,DH,NI,AO,BK,HP,TP,LG,BQ,AG,KI,XA,QA,YB,AT,GR,YJ,ZP,AK,CC,YP,PO,BF,OD,KK,DR,YU,RO,DX,TF,PG,SH,IF,GI,PC,FS,FZ,MU,IN,IH,SA
2026-07-13,160.0,160.0,146.0,147.0,12174300,0.0,0.0012,-0.0542,-0.0728,0.0752,-0.005,-0.0415,-0.0065,0.0637,-0.0,0.0,-0.211,0.0,0.0086,-0.019,0.0581,-0.008,0.1084,-0.0748,-0.014,0.0,-0.0012,-0.1092,0.0,-0.0024,-0.0359,-0.0,0.0,0.0001,0.0472,0.293,-0.0327,0.0,-0.016,0.0,-0.0973,-0.0164,0.0002,-0.0002,0.0,0.0,0.0,0.0,0.1823,0.0,0.0,0.0,-0.0003,0.0,-0.0198,0.0,0.0
2026-07-14,193.0,194.0,160.0,161.0,48798600,0.0,-0.0051,-0.079,-0.219,0.1244,-0.0842,-0.0843,-0.0646,-0.0636,0.0,0.0,-0.1154,0.0009,-0.0194,0.3057,0.0948,-0.0031,-0.0213,-0.0039,-0.0211,0.0228,-0.0053,0.0954,0.0004,0.0201,-0.018,-0.0385,-0.0608,0.0014,0.275,-0.2454,0.0147,0.0,-0.0323,0.0428,0.02,0.0155,-0.0511,0.0007,-0.0929,0.0,0.0,-0.0002,0.0566,0.0,0.0,0.0,-0.002,0.2478,-0.0085,0.0,-0.0001
2026-07-15,204.0,222.0,190.0,194.0,102448500,0.0022,-0.2585,0.6312,0.7367,-0.0132,0.0027,-0.0106,-0.0974,-0.0433,0.0,0.0,-3.3,0.0331,-0.0149,0.4225,0.0345,0.0017,0.0005,-0.0288,-0.068,-0.0114,0.1691,-0.6017,0.0005,-0.0569,0.0463,-0.2764,0.0,0.0338,1.3,0.7998,0.131,0.0259,0.0,0.0761,0.3275,0.077,-0.0018,0.0273,-0.0874,0.0015,0.0,-0.0024,-0.001,0.0,-0.008,0.0,0.0,0.0995,-0.0052,-0.146,0.0
2026-07-16,200.0,208.0,187.0,206.0,41029600,0.0386,0.0,-0.0747,0.2874,-0.1882,-0.0985,-0.0555,-0.0179,-0.0169,0.0,-0.002,-0.3001,0.0162,-0.0373,0.5701,0.0308,0.1056,-0.1905,0.0061,-0.004,-0.0001,0.0365,-0.5305,-0.0023,0.0444,-0.001,-0.0541,0.0,-0.0211,-0.0025,0.1594,0.1869,0.0019,-0.0204,0.1335,0.0784,-0.0631,-0.0002,-0.0019,-0.0199,-0.0013,0.0036,-0.0057,0.0102,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,197.0,208.0,190.0,200.0,15319000,0.0583,0.0015,-0.4126,-0.5826,0.0285,0.0305,0.0549,0.0319,-0.0201,0.0465,-0.0006,-0.0223,-0.0,-0.0163,0.0888,0.0801,0.0567,0.0188,0.0087,-0.0038,0.0002,-0.0101,-0.0432,-0.0,0.0527,-0.0169,-0.0155,0.0004,0.0295,0.6058,0.1973,-0.2407,0.0002,-0.0205,-0.0022,-0.0045,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,212.0,212.0,197.0,197.0,15001900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,200.0,212.0,200.0,204.0,6754700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,200.0,204.0,197.0,202.0,4843500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,202.0,204.0,199.0,200.0,5440800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,200.0,200.0,195.0,200.0,1217400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
