Date,Close,High,Low,Open,Volume,OD,AT,XL,CC,PD,XC,DH,DR,YP,BQ,NI,SS,FZ,EP,KK,AK,XA,ES,MG,MU,SQ,CP,ZP
2026-07-13,310.0,316.0,286.0,294.0,142800,0.0221,-0.0008,-0.0014,-0.0025,-0.0112,-0.0017,0.0,0.0,-0.0034,0.0,-0.0014,0.0,0.0015,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,-0.0009,-0.0001
2026-07-14,316.0,320.0,286.0,320.0,1069600,-0.0258,-0.0002,-0.0137,0.0004,0.0097,-0.0005,0.0,0.0004,-0.0042,0.0,-0.0886,-0.1554,0.2807,0.0,-0.002,0.0,0.0,0.0,0.0,-0.0001,-0.0006,0.0,0.0
2026-07-15,316.0,322.0,310.0,316.0,2987400,-0.0017,-0.0013,-0.0139,0.0024,0.0003,0.0008,0.0,0.0022,-0.0008,0.0,0.0,-0.634,0.0676,0.0,0.0,-0.1305,-0.0,0.7087,0.0,0.0,0.0,0.0,0.0
2026-07-16,314.0,324.0,314.0,316.0,42200,0.004,-0.0002,-0.0007,-0.0026,0.0001,0.0039,-0.0006,-0.0025,-0.0012,-0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,320.0,322.0,308.0,316.0,24900,0.0001,-0.0004,0.0009,-0.0035,-400.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,326.0,338.0,312.0,320.0,657200,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,322.0,336.0,316.0,326.0,1335600,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,336.0,336.0,322.0,322.0,1491000,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,332.0,340.0,328.0,338.0,98600,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,322.0,332.0,318.0,332.0,225100,,,,,,,,,,,,,,,,,,,,,,,
