Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,EP,AD,XC,SQ,MG,CP,SF,HP,TP,LG,KI,RO,TF,XA,YB,GR,FZ,EL,DU,CC,IF,KK,DH,AZ,ZR,PC,NI,BQ,BK,IN,AG,AT,YJ,IH,YP,ZP,AK,BR,AR,OD,DR,BB,LS,QA,AI,FS,RG,SH,IU,JB,AO
2026-07-13,850.0,850.0,810.0,820.0,12300300,-0.0075,-0.298,-0.9678,0.8169,-0.0189,0.0,0.0963,0.0381,0.0,0.0714,0.0,0.0145,0.1352,-0.0007,-0.001,-0.0017,-0.0003,-1.0,-0.0984,0.1489,0.0,-0.0015,0.0,0.023,0.0375,0.1292,0.0289,0.0214,0.0009,0.0015,0.1349,0.9138,0.0255,0.0,0.0,-0.0037,0.0022,-0.003,0.1308,-0.6625,0.5071,-0.0035,-0.0018,0.0125,-0.1967,0.0,-0.0008,-0.0424,0.0423,-0.0008,-0.0002,0.0013,0.003,0.0,0.0
2026-07-14,855.0,885.0,850.0,855.0,10507300,-0.0055,0.1944,0.1038,-0.1828,0.1969,0.0,0.1491,0.0216,-0.002,1.1,0.0022,0.0,0.0337,-0.0033,0.0443,-0.0001,-0.0008,0.0003,-0.1172,-0.1901,0.0,-0.0035,0.0,-0.3452,0.0,0.0978,-0.037,0.0022,-0.001,-0.0013,0.0112,-1.0,0.1432,0.0,-0.003,0.0,0.0005,-0.0023,0.0488,-0.2265,-0.104,0.0032,-0.0021,0.0284,0.0728,0.0,0.0,0.0,0.0287,0.0,-0.0016,-0.0023,-0.003,-0.0257,-0.0003
2026-07-15,880.0,885.0,835.0,860.0,12054100,-0.0021,-0.1851,-0.1208,0.1614,-0.0207,0.0,-0.3453,0.0,0.0,-1.0,0.0,0.0,-0.0337,0.071,-0.0481,0.001,0.0,1.0,-0.1082,-0.0435,0.0,0.0018,0.0,0.174,0.0,-0.1983,-0.0006,-0.0192,-0.0023,0.0009,0.0166,0.0005,-0.1826,0.0,0.0,-0.0009,-0.0061,-0.0038,-0.0643,0.0034,-0.0219,-0.0012,-0.004,-0.1183,0.0604,-0.1906,0.0,0.0,1.3,0.0,-0.0007,0.0027,0.0,0.0,0.0
2026-07-16,945.0,950.0,890.0,890.0,12255100,-0.003,0.0867,-0.0073,0.0932,-0.024,0.0,0.0576,-0.0365,0.0088,-0.0197,-0.0023,0.0,-0.1337,-0.0805,0.0059,0.1062,0.0,-0.9948,-0.0094,-0.1861,0.0,0.0,0.0,-0.3068,0.0,-0.1415,-0.2299,0.0,-0.003,0.0,0.0,1.1,0.2829,0.0007,0.009,-0.0089,0.0,-0.0032,-0.2425,0.0099,0.3792,-0.0021,-0.0048,-0.0622,-0.3295,-0.1901,-0.0208,0.0005,0.883,-0.0019,0.0,0.0,0.0,0.0,0.0
2026-07-17,940.0,950.0,910.0,945.0,11141900,-0.0,0.3305,0.0452,0.2048,0.0327,-0.0022,-0.0304,0.626,-0.0093,-0.003,-0.0072,0.1817,0.0021,0.0018,0.0001,-0.0001,0.0012,1.1,0.0991,0.0981,-0.001,0.0018,-0.0013,-0.6228,-0.0408,0.018,0.005,0.0039,0.0024,-0.0006,-0.0062,-1.1,-0.1106,-0.007,0.1205,0.0037,-0.0047,-0.003,0.0674,-0.3089,-0.6505,-0.0041,-0.0023,-0.0846,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,940.0,945.0,910.0,940.0,11731800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,930.0,945.0,920.0,940.0,12195100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,930.0,950.0,920.0,935.0,10308100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,940.0,990.0,930.0,935.0,13184200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,940.0,965.0,905.0,965.0,12778300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
