Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,SH,DR,SQ,YP,SS,DX,HP,XC,LG,KK,XL,KZ,YJ,AI,DH,AZ,IF,RG,MG,PC,CP,BK,IN,RS,YU,ZR,AK,AT,ZP,EP,CD,TP,IU,PD,BQ,BB,AG,KI,PO,BR,AR,GR,CC,AO,FZ,ES,FS,EL,LS,MU,RO,SA,AF,AD,OK,PI,RF,TF,IH,MI,RX,GA,BS,ID,PG
2026-07-13,1750.0,1750.0,1620.0,1625.0,318950900,3.0,-5.2,-0.9463,0.0,-1.4,0.2722,-0.6753,-5.0,-12.4,-10.0,17.0,-1.3,-0.5083,5.1,-3.5,-25.4,0.0,0.1418,-6.0,-0.7699,-17.8,0.279,0.0,0.7646,0.0026,-2.3,5.2,0.0,0.0,-3.3,0.0,18.2,0.247,53.8,-0.5686,-0.7819,-0.3881,0.0,-4.5,-2.6,10.4,-0.6569,1.4,0.0,0.0,0.0,-2.7,-4.6,0.0,0.0,0.0,0.0,0.175,0.0702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,0.0,0.2373,0.1693,0.6969,0.0,0.0,0.0,0.0
2026-07-14,1690.0,1775.0,1660.0,1765.0,334787100,6.2,-2.3,1.6,1.6,1.6,0.0,-0.9091,0.3196,-20.1,-2.6,-0.2223,2.4,14.2,4.1,4.3,35.7,0.0,-3.1,-4.1,0.0,-6.9,-4.6,0.0,-2.2,-0.1063,-11.8,-3.0,1.7,0.0,9.9,0.0,-28.1,0.0,-5.0,1.3,0.3524,12.4,0.1277,11.8,-0.3406,-7.7,0.6837,-0.1215,-0.0686,-0.0175,0.0,3.5,-14.8,2.2,0.0,0.0,0.7565,0.4137,0.2018,-0.084,0.1449,0.0,0.0,0.0,0.0,-0.87,0.8486,-0.0821,-0.0103,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1690.0,1725.0,1685.0,1700.0,93453400,-1.1,5.4,-0.2798,-0.2462,0.518,-0.8583,2.2,-0.7403,-5.5,0.0,-0.0344,-0.7803,-0.0952,0.3193,-1.8,-10.2,0.0,0.061,0.1582,-0.0416,-1.3,-0.0059,0.0255,-0.0849,0.0,1.7,1.2,0.0,0.0,2.4,0.0,-0.1581,-0.2216,2.1,-1.5,-0.1745,-0.0223,-0.0367,-1.3,0.172,2.3,0.1661,0.8882,0.005,0.0188,0.0,3.2,4.2,0.1959,-1.2,0.0,0.5067,-0.2197,0.0,0.0,0.077,0.0171,0.0512,-0.0043,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1695.0,1730.0,1675.0,1695.0,116862400,3.9,8.3,-0.0123,1.1,0.419,0.5108,1.1,-2.5,9.2,0.0,0.0,0.7684,1.1,-2.5,-0.0059,3.8,0.0,-0.0879,-1.8,-0.329,0.2128,0.0,-0.0007,4.2,0.0,5.3,-0.7587,0.8452,0.0,-17.8,0.0,2.5,0.4174,9.2,1.4,0.0,0.0998,-0.0175,-0.1231,0.4249,-10.7,0.1699,0.904,0.0,-0.0336,0.0,1.3,-21.6,1.3,-0.0258,-0.0001,-0.5106,-0.3755,0.3698,-0.0002,-0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1695.0,1715.0,1660.0,1700.0,140462700,0.0257,-1.3,0.3077,-0.2308,1.3,0.5184,-3.4,8.3,7.1,1.7,-0.0012,-0.008,1.2,-24.3,-0.0668,14.9,-13.7,0.0998,17.1,-0.4731,-4.9,-1.9,-0.0389,5.0,-0.0504,4.4,-12.5,0.855,0.0168,-4.7,-0.0333,-2.3,-0.4685,19.5,1.6,0.1151,-1.4,0.0979,-4.6,1.2,-12.9,-0.3939,-0.8208,-0.012,0.0331,0.1104,0.053,5.5,-0.6605,0.0845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1800.0,1800.0,1700.0,1700.0,278158000,-1.2,-11.9,-1.3,-4.0,-0.5075,0.0,-6.7,-7.0,0.0,0.0,0.0,-0.8456,-14.3,-3.1,-3.3,-32.1,0.0,7.6,10.3,0.3456,-4.7,-0.9509,0.0,0.0,0.0,-1.4,1.1,-3.5,0.0,-6.2,0.0,58.8,0.0,21.4,4.0,-0.4028,7.9,0.0,-7.8,-0.9739,9.1,-0.6707,-0.588,0.0,0.0,0.0,1.1,-12.2,-3.4,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.2215,0.0,0.0,0.0,0.0,0.0,-0.3515
2026-07-21,1860.0,1875.0,1780.0,1815.0,342684500,13.7,-0.753,-6.6,2.6,-0.9267,-1.1,-0.6912,-4.3,-8.1,-0.3059,0.0,-0.6908,-3.9,-38.3,-1.7,15.2,0.0,1.4,-0.6545,-3.1,-8.9,2.1,0.0,-8.4,0.0795,-7.3,12.7,0.0,0.0,-18.8,0.3209,-1.7,0.0,36.8,2.5,0.0,3.0,0.0329,30.3,-2.0,0.3698,0.6882,-4.3,0.5161,0.0,0.0,0.8856,2.4,-4.5,0.0,0.0,-1.9,0.0,0.5599,0.0,0.0118,0.0717,0.0372,0.0,0.0,0.0,4.5,0.0804,-0.4641,-1.0,0.0,0.0,0.0,0.0,0.464
2026-07-22,1830.0,1925.0,1800.0,1870.0,331295600,-3.0,6.6,2.0,3.8,-2.7,0.0,1.6,5.9,2.1,-15.0,-0.1502,1.2,9.0,-3.5,1.6,-23.1,-9.3,1.4,5.4,0.7611,7.2,-0.5307,-0.0845,-2.7,0.0,-2.4,-5.8,1.6,0.0,5.2,0.4139,-30.8,0.4701,35.7,-0.0625,0.0,8.5,0.0,6.0,4.8,-5.6,1.3,0.0,-0.4321,0.0,0.0,-6.7,0.0,3.6,0.0,0.0,-0.1436,0.0,-0.0999,0.0,-0.0508,-0.0564,0.0,0.0,0.0,0.0,-5.4,-0.068,-0.0953,0.0,0.4387,0.0,0.4955,-0.081,0.0
2026-07-23,1790.0,1905.0,1765.0,1830.0,342089300,1.9,-6.5,0.0,0.0,-0.5158,0.0,-5.2,4.8,-0.683,-29.2,0.0,-3.2,10.9,-1.7,-1.7,-6.1,0.0,-11.6,28.3,0.0,-3.9,-0.5693,0.0991,-0.8412,0.0625,-8.5,5.3,-1.6,0.0929,-19.9,-0.7651,-2.6,-0.5704,66.9,-3.8,1.0,-13.5,0.0274,0.7683,2.6,0.1915,0.0,-0.5178,5.7,0.1102,0.0,-4.0,-2.6,3.2,0.0,0.0,1.7,0.5609,0.0381,0.0199,0.0,0.0175,0.0,0.0,0.0,0.0,-2.8,0.0422,0.1906,0.0,0.0,0.03,0.0,0.0,0.0
2026-07-24,1745.0,1780.0,1690.0,1755.0,205955100,-1.3,0.6343,0.3833,1.2,0.4016,0.0,3.0,-0.8642,-2.7,0.17,-18.2,-0.253,-4.2,-6.2,-0.0557,10.0,0.0,0.158,-2.8,0.1402,-6.4,-3.6,0.0538,0.3594,-0.1145,3.1,6.7,0.0,0.0,-1.6,0.0,38.0,0.0,5.5,-2.2,0.1118,-0.9504,0.0,-8.4,-3.2,0.1942,0.0,-0.283,1.8,0.0,0.0,-0.9664,-3.9,-2.7,-0.1095,-0.0267,0.448,-0.009,0.4993,0.0,0.1355,0.0,0.0,0.0,0.0843,0.0,-2.2,0.0276,0.0,0.0323,0.2898,0.0,0.0,0.0,0.0
