Date,Close,High,Low,Open,Volume,XC,SQ,AZ,CP,GR,AG,PD,XL,CC,RO,BQ,YP,EP,KK,NI,AT,AI,OD
2026-07-13,406.0,428.0,402.0,402.0,112800,0.0,0.0,0.0041,0.0004,0.0032,0.0,-0.0005,0.0002,-0.0099,0.0,0.0005,0.0,-0.0007,0.0021,0.0008,-0.0001,0.0,0.0
2026-07-14,414.0,414.0,406.0,410.0,2900,0.0006,0.0,0.0,0.0,0.0,-0.0006,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0004
2026-07-15,414.0,420.0,406.0,414.0,16200,0.0001,0.0,0.0,0.0005,0.0049,-0.0,-0.0056,0.0002,0.0,0.0002,-0.0002,0.0,-0.0,0.0,0.0,-0.0002,0.0001,0.0
2026-07-16,416.0,420.0,414.0,414.0,8400,-0.0,0.0,0.0,0.0,0.003,-0.0004,-0.0002,-0.0001,-0.0009,0.0,-0.0018,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,420.0,422.0,410.0,422.0,32100,0.0002,-0.0021,-0.0,-0.0009,0.0096,-0.0,-0.0012,-0.0027,-0.003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,416.0,438.0,412.0,420.0,613000,,,,,,,,,,,,,,,,,,
2026-07-21,426.0,432.0,416.0,432.0,6600,,,,,,,,,,,,,,,,,,
2026-07-22,430.0,430.0,420.0,422.0,52400,,,,,,,,,,,,,,,,,,
2026-07-23,428.0,444.0,422.0,430.0,52700,,,,,,,,,,,,,,,,,,
2026-07-24,418.0,430.0,418.0,430.0,106700,,,,,,,,,,,,,,,,,,
