Date,Close,High,Low,Open,Volume,AD,HD,NI,OD,YB,QA,DR,SQ,YP,HP,XC,KK,XL,AT,TP,DH,PD,BQ,AG,KI,PO,MG,GR,CC,CP,GI,YJ,EP,PG,AZ,RO,IU,DX,LG,FS,IF,PI,AO,DU,ZP,XA,ID,LS
2026-07-13,16.0,16.0,16.0,16.0,40357100,0.0,0.0544,0.0109,-0.0013,0.0133,0.0052,0.0028,0.0006,0.0373,0.0,0.0067,-0.0001,0.2785,0.0,0.0,0.0005,0.015,0.0016,0.0003,0.0,0.002,0.0362,0.0002,-0.0004,-0.5246,0.0,0.0361,0.0,0.0,0.0,0.0,0.024,0.0,0.0,-0.0009,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,17.0,17.0,17.0,17.0,33290400,0.0,0.035,-0.0403,-0.0,0.0085,0.0004,-0.0003,-0.0033,-0.0341,0.0,0.0149,0.0018,0.2263,0.0005,0.0,-0.0003,-0.0021,0.0072,0.0,0.0,0.0,0.0,0.0,0.0012,-0.1559,0.0,-0.0356,0.0001,0.0,0.0,0.0,-0.0255,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,16.0,17.0,16.0,16.0,18835900,0.0,-0.0259,0.0003,0.0026,0.0003,0.0,0.0013,0.0016,0.0161,0.0,0.015,0.007,0.0316,0.0,0.0,-0.003,0.001,0.0,0.0,0.0,0.0245,-0.009,0.0032,0.0246,0.0076,0.0,-0.0193,0.0005,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,15.0,16.0,15.0,16.0,27466300,0.0,0.0,0.0,-0.0018,0.0215,0.0003,0.0023,0.0222,-0.003,0.0,0.0077,0.0001,0.0211,0.0007,0.0,0.0001,0.0122,0.0,0.0003,0.0,0.0757,0.0204,0.0136,0.0098,-0.241,-0.0,0.0075,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,15.0,16.0,15.0,15.0,14130700,0.0008,0.0038,-0.0007,0.0078,0.0025,0.0003,0.0001,0.015,0.02,0.0,0.0017,0.0036,0.0445,0.0004,0.0085,0.0,-0.009,0.0,0.0003,0.0044,0.0015,-0.0342,0.005,0.0137,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,15.0,16.0,15.0,15.0,37582000,0.0,0.003,-0.0021,0.0013,-0.0202,0.0002,0.0007,0.0004,0.074,0.0,0.0162,0.0002,0.2346,0.0006,0.0,0.0,0.0198,0.0075,0.0004,0.0,0.0,0.0286,0.0243,0.0086,-0.4116,0.0,0.0005,0.0012,0.0,0.0,-0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,0.0
2026-07-21,14.0,15.0,14.0,15.0,39530700,0.0,0.0015,0.0068,0.008,0.0355,0.0,-0.0161,0.001,0.0699,0.0003,0.0135,0.0007,0.1669,0.0003,-0.0077,0.0001,0.0097,0.0028,0.0007,0.0003,0.0,0.0198,0.028,0.0024,-0.3966,0.0,0.013,0.0287,0.0,0.0082,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,14.0,15.0,14.0,14.0,30252200,0.0,0.0,-0.0051,0.0035,-0.0079,0.0025,0.0059,0.0284,0.0502,0.0,0.0293,0.0079,0.0756,0.0,0.0,0.0005,0.0086,-0.001,0.0003,0.0,0.0,0.0258,0.0155,-0.0049,-0.2257,0.0,-0.02,-0.001,0.0,0.0122,0.0,0.0,0.0,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,-0.0001
2026-07-23,15.0,15.0,14.0,15.0,107292400,0.0,0.5868,0.0,-0.0018,0.0869,0.0004,0.1397,0.0001,0.2202,0.0,0.0513,-0.0024,0.1488,0.0,0.0,0.0,-0.016,0.0357,0.0,-0.0044,0.0,0.048,-0.0006,-0.0087,-1.2,0.0,0.0072,-0.03,0.0,-0.0,0.007,0.0375,0.0,-0.0013,-0.0,0.0,0.03,0.0,0.0,-0.003,0.03,-0.1936,0.0
2026-07-24,16.0,16.0,16.0,16.0,19264100,0.0,0.1033,-0.0001,0.0144,-0.0007,0.0,0.0,-0.0083,-0.0271,0.0,-0.0065,-0.0059,-0.0614,0.0,-0.0,0.0,-0.0021,0.0,-0.0003,0.0,0.0,0.016,0.0,-0.0124,0.0578,0.0,0.0,-0.0171,0.0,0.0003,0.0,-0.04,0.0,0.0,0.0,0.0,-0.032,0.0088,0.0134,0.0,0.0,0.0,0.0
