Date,Close,High,Low,Open,Volume,QA,SQ,RO,XC,LG,XA,KK,CP,AT,KI,OD,DX,EP,XL,YP,CC,MG,YB,CD,NI,HD,PD,AG,BK,DH,FZ,TP,RG,BQ,GR,YU,YJ,AZ,YO,AI,DR,AK
2026-07-13,139.0,140.0,137.0,139.0,2085900,-0.0029,-0.0,0.0,-0.0081,-0.0212,0.0,-0.0021,0.0005,0.0,0.0,0.0076,0.0,0.0,0.0547,0.0083,-0.0335,0.0,0.0,0.0,0.0002,0.0002,0.006,0.0,0.0,0.0028,0.0,0.0001,0.0,0.0,-0.0073,0.0,0.0,-0.0009,0.0,0.0,-0.0042,-0.0001
2026-07-14,141.0,142.0,138.0,138.0,2532500,-0.0001,0.0066,-0.0034,-0.0313,-0.0017,0.0,-0.0163,0.0012,0.0,0.0006,-0.0001,0.0,0.0,-0.0439,-0.0237,0.1715,0.0,0.0,0.0,0.003,-0.0002,-0.0223,0.0,-0.0016,0.0008,0.0,0.0001,0.0,0.0,-0.0113,0.0,-0.028,-0.0,0.0,0.0,0.0003,0.0
2026-07-15,140.0,142.0,139.0,141.0,1607100,0.0001,-0.0301,0.0001,-0.0003,-0.0578,0.0,0.0098,0.0,0.0042,0.0,-0.0013,0.0,0.0049,0.0164,0.0089,0.0132,0.0,0.0,0.0,0.0051,0.0005,0.0072,0.0,-0.0012,0.0084,0.0,0.0,0.0,0.0,0.0,0.0011,-0.0126,0.02,-0.0022,0.0056,0.0001,0.0
2026-07-16,141.0,142.0,139.0,142.0,2699800,0.0003,-0.0,-0.001,-0.0313,-0.0487,0.0,0.0282,0.0,0.0,-0.0079,0.0003,0.0001,0.0002,-0.042,-0.0313,0.0167,0.0,0.0,0.0,0.0412,-0.0005,0.044,0.0002,-0.0115,0.0,0.0141,-0.0,-0.0007,0.0003,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,141.0,142.0,139.0,142.0,642800,0.0001,0.0005,0.0,-0.015,0.0,0.0021,0.0017,-0.0001,0.0001,-0.0102,0.0002,0.0,-0.0008,0.0066,-0.0041,-0.0019,0.0,0.0017,0.0,0.0146,0.0002,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,141.0,142.0,139.0,140.0,2183200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,141.0,142.0,140.0,141.0,3692600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,141.0,142.0,140.0,142.0,1286200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,141.0,142.0,139.0,141.0,3804500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,140.0,141.0,139.0,141.0,1674500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
