Date,Close,High,Low,Open,Volume,MG,YP,XA,RO,SQ,AG,NI,OD,AZ,ZP,XC,CP,BQ,AT,KK,PD,XL,CC,DH,EP,QA,GR,AI,KI,HP,DR,IF,CD,LG,YB,RG,TP,AO,SH,FZ,PI,DX,YJ,YU,ES,JB,ID
2026-07-13,62.0,67.0,61.0,63.0,20445100,-0.0032,-0.0473,0.0128,-0.0001,-0.0274,-0.0001,-0.0215,0.0019,-0.0002,-0.0,0.0052,-0.0001,0.0013,-0.0002,0.0143,-0.0508,0.1633,-0.0459,0.0002,-0.0025,0.0,0.0012,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0035,-0.0,0.0,0.0009,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,62.0,64.0,61.0,63.0,3542900,0.0,0.0045,-0.0007,-0.001,0.0179,0.0031,0.0001,-0.0141,0.0,0.0,0.0057,-0.0028,-0.0025,-0.0019,-0.0007,-0.0316,-0.0239,0.06,-0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0132,-0.0003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,63.0,64.0,62.0,63.0,4522100,0.0,-0.0056,-0.0122,-0.0,0.0007,-0.0178,-0.0014,-0.0005,-0.002,-0.0047,-0.0138,0.0059,0.007,0.0,-0.0031,-0.0056,-0.0227,0.0922,0.0,0.0,0.0,0.0,-0.0003,-0.0,-0.016,0.0,0.0001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,63.0,65.0,62.0,64.0,2159600,0.0,-0.009,0.0,-0.0,0.0004,-0.0032,0.0243,0.002,-0.0004,100.0,0.0275,-0.0001,0.0002,0.0,-0.0326,0.007,-0.0278,0.0067,0.0003,0.0013,-0.0004,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,62.0,64.0,61.0,63.0,3878800,0.0013,0.0102,-0.0036,-0.0,0.0022,0.0082,0.0862,0.0005,0.0001,-0.0,0.0009,0.0334,-0.0003,-0.0,0.0003,-0.0061,-0.1354,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,61.0,64.0,60.0,62.0,16864100,0.0006,0.1029,0.0002,0.0,0.025,-0.6526,0.0338,0.0141,0.0007,0.0,0.2226,0.0234,0.0036,0.0001,0.0047,0.1122,0.0819,-0.0049,0.0002,0.0034,0.004,0.0,0.012,0.0002,0.0,0.0006,0.0,0.0014,0.0,-0.0006,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0001
2026-07-21,61.0,63.0,60.0,62.0,13526800,0.0,0.0125,0.0,0.0006,0.0032,-0.1287,0.0256,0.018,0.0013,0.0,0.0538,-0.0218,-0.0048,0.0,0.0039,0.0152,0.0062,-0.0037,0.0,0.0007,0.0006,0.0032,0.0,0.0076,0.0,0.0061,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,63.0,66.0,61.0,61.0,61944200,-0.0022,-0.106,0.002,0.0,0.0136,-0.4026,-0.0608,-0.0199,0.0102,0.0,-0.1696,-0.0277,0.0002,-0.0003,-0.0015,-0.0702,0.5554,0.1278,0.0138,-0.0039,-0.0046,0.0006,-0.0162,-0.0001,0.0,0.0006,0.0,0.0,0.065,0.0926,0.0,0.0006,0.0,0.0,0.003,0.0,0.0009,0.0,0.0006,-0.0006,-0.0006,0.0
2026-07-23,62.0,64.0,62.0,62.0,10040500,-0.0003,0.0027,0.0,0.0,0.0094,0.0047,-0.0021,0.0004,-0.0048,0.0,-0.0111,0.0252,-0.0,0.0,-0.0037,0.0178,0.0117,-0.0452,-0.0014,-0.0006,-0.0001,0.0031,0.0063,0.0,0.0,0.0001,0.0003,0.0,-0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,-0.0121,-0.0006,0.0,0.0,0.0
2026-07-24,61.0,63.0,60.0,63.0,9091200,0.0011,0.0416,-0.0012,-0.0006,0.0073,0.0214,0.0788,0.023,0.0001,0.0,-0.0154,0.0125,-0.0009,0.0001,-0.0537,0.0067,-0.1343,-0.0081,0.0147,0.0014,0.0,0.0015,-0.0031,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0082,0.0,600.0,0.0,0.0,0.0,-0.0013,-0.0002,0.0,0.0,0.0,0.0,0.0
