Date,Close,High,Low,Open,Volume,PI,CP,GR,XL,IF,CC,YP,KK,AT,DX,XC,FZ,AZ,HP,BK,MG,DD,PD,DR,XA,EP,KI,MI,SQ,TP,OD,QA,BQ,AK,NI,YU,YB,PO,ZP,LG,BR,HD,RO,DH,AO,AG,IH,CD,FS,PC,AD,SH,LS,YJ,AI
2026-07-13,404.0,408.0,396.0,404.0,1426700,0.0,-0.0048,0.0019,-0.0759,0.0,0.0145,-0.012,0.0137,0.0195,0.0,-0.0239,0.0,0.0027,0.0051,0.0129,0.1442,0.004,-0.0553,0.0,-0.0001,0.0014,0.0001,0.0,-0.0133,0.0,-0.0019,0.0,0.0069,-0.0027,-0.0057,0.0,-0.0315,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-800.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,448.0,450.0,396.0,400.0,64956000,0.0,-0.5284,-0.0939,1.0,0.0441,-0.0012,-0.6777,-0.0097,-0.0783,-0.0057,-0.1744,0.0,-0.0328,0.0016,-0.0124,-0.7278,0.0,0.1509,-0.355,0.1419,-0.0807,0.05,-0.102,0.0486,3.3,-0.063,0.002,-0.0386,-0.0004,0.1093,-2.8,0.0503,1.5,-0.0559,0.0074,0.0,0.0356,0.0004,0.0609,0.0448,0.0,-0.8424,-0.0004,-0.0004,0.0001,-0.0001,-0.0672,0.0053,-0.0876,0.2322
2026-07-15,442.0,452.0,432.0,450.0,10794100,0.0,0.0647,-0.0015,-0.069,0.0,-0.1205,0.026,0.0907,0.0243,0.0,-0.0023,0.0,0.0046,-0.0007,0.0035,-0.0108,0.0,-0.0143,-0.0258,-0.0235,0.0994,0.007,-0.0219,0.0127,-0.175,0.184,-0.0894,-0.0552,-0.2736,0.0057,0.4503,0.0465,-0.1483,0.0023,-0.0091,0.0,-0.0366,0.0293,0.0258,0.0,-0.0002,0.0,0.0004,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-16,442.0,442.0,424.0,442.0,16636200,0.0,0.6608,-0.0015,-0.2016,0.0,0.5029,-0.0598,0.0558,0.0124,0.0,-0.0115,-0.0864,-0.005,-0.0088,0.0021,0.3991,0.0,-0.0286,0.0009,-0.0137,0.0354,0.0,-0.0219,0.026,-3.2,-0.0183,0.0103,-0.0022,0.1071,0.0056,2.1,0.0324,-1.4,0.0,0.0,0.0,0.0027,200.0,0.005,0.0069,-0.0022,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,458.0,462.0,430.0,442.0,26522000,0.0502,-0.3718,-0.0023,-0.5936,0.0222,-1.1,-0.2859,-0.0974,-0.0773,0.0023,-0.1081,-0.1369,-0.0056,0.0071,-0.0039,1.6,0.0044,-0.0138,0.0053,-0.1182,-0.0945,-0.0009,-0.0227,-0.0067,1.4,-0.1089,-0.0012,0.0274,0.1725,-0.0788,-0.0491,-0.0472,0.0076,-0.0015,0.0283,0.0003,0.0009,-0.0302,-0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,474.0,482.0,450.0,458.0,22158100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,460.0,486.0,460.0,480.0,16948300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,448.0,466.0,444.0,466.0,19405200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,444.0,458.0,444.0,450.0,21945900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,442.0,444.0,424.0,444.0,8046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
