Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,ID,YB,SH,DR,SQ,YP,SS,ES,HP,XC,LG,FS,XL,KK,YJ,AI,DH,AZ,IF,RG,MG,LS,MI,CP,BK,YU,AK,AT,RF,ZP,TP,CD,IU,PD,BQ,BB,AG,DP,KI,BR,AR,GR,RX,HD,AO,DX,QA,KZ,IT,RO,ZR,TF,EP,PP,GA,II,PG,EL,FZ,BS,BF,JB,TS,RB,PI,IN,GI,OK,DU,AH,IH,SA,RS
2026-07-13,147.0,148.0,139.0,142.0,1941996500,-1.4,-0.8933,-9.3,-2.2,200.0,1.4,-0.1061,-14.6,-2.9,-0.8808,-0.3981,0.0,0.6465,-2.9,-0.546,0.1543,-1.2,-2.6,-1.3,1.6,-1.4,-23.8,10.7,0.0,8.5,1.3,0.0,7.6,12.8,0.1035,28.9,0.0085,0.735,0.4495,0.1106,0.2684,-0.1113,-5.6,-7.1,0.0,-0.1363,0.0,-0.3798,0.0049,0.0,2.6,0.0,2.3,0.5198,-0.3373,0.0,0.0,0.0,0.0,0.0,0.0,-0.6379,0.0,0.0,0.0426,-0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.7,0.0,-0.072,0.0,0.0,0.0,0.0,0.0
2026-07-14,149.0,155.0,146.0,148.0,3456209000,4.3,0.4038,-7.8,-3.2,0.0,-2.2,0.0678,0.0277,7.3,19.6,-0.1214,0.0,-1.5,-0.991,14.4,-0.6777,-19.0,2.8,-0.1973,0.5824,1.5,-7.2,12.2,-0.1642,-1.5,-1.4,0.0,8.6,0.6597,-6.0,-15.3,0.1874,-0.74,-5.5,11.6,-0.3479,0.0,-12.3,5.6,0.0,0.733,0.0,-0.771,3.0,0.0,-2.8,0.0,-7.4,-0.3088,0.3931,0.0432,0.0,0.0,0.0,0.0,0.0,1.5,0.0,-0.062,0.0,0.0,0.0,0.5611,0.0,-0.0745,0.0154,1.5,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,148.0,152.0,147.0,150.0,1311955900,0.5134,-2.2,1.6,1.2,-0.075,-3.6,0.0,6.3,4.2,-5.8,-0.0477,-1.5,-0.072,1.7,0.3094,1.2,14.6,1.5,0.1666,-1.6,1.1,19.2,0.8586,0.0,1.6,-0.1329,0.0,-2.3,-0.8162,3.5,-35.6,-0.0214,0.0,-1.7,0.5743,-0.1839,0.11,-3.3,0.7117,0.0,-1.6,-0.003,0.2097,-2.3,0.0,2.5,0.0,-0.1524,0.199,0.1121,0.0,0.0,0.0,0.0,0.1586,0.0,-0.6519,0.0,0.0,-0.0506,-0.0004,0.5987,-1.3,-0.0895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,149.0,152.0,147.0,148.0,1557629000,-0.6113,0.3065,-61.5,-0.1237,0.0,5.2,0.1048,-0.2469,4.2,-1.5,0.0,0.0,0.0,-0.9531,1.1,-0.023,-1.9,-0.4207,0.1638,1.1,0.9456,21.0,-0.6491,0.0,6.3,-0.0519,0.0,-8.1,1.7,15.8,11.0,-0.0096,1.5,-1.1,-0.1759,-0.0808,0.0445,4.7,-4.6,0.0,0.6003,0.0,0.0675,-0.7399,-0.0227,2.6,0.0,1.7,0.6866,0.2854,-0.1368,-0.1788,-0.0095,-0.0236,-0.0217,-0.149,1.7,0.2161,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,150.0,152.0,147.0,150.0,1345647200,-8.8,-0.3888,-12.0,-0.4991,0.0946,1.8,0.0286,1.5,-2.2,-8.1,-0.447,3.0,0.2169,-0.8402,-0.2743,0.3734,1.7,-5.5,4.7,-0.9004,-1.4,4.3,-0.0749,-0.0342,-2.0,-0.0078,-0.0333,-4.1,14.9,-0.4668,2.9,0.2176,4.5,-10.4,1.1,0.4799,0.1055,-0.8607,4.1,2.0,-0.2915,-0.006,-0.151,0.0333,0.0525,2.4,0.6594,8.8,-0.4942,0.1316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,159.0,160.0,150.0,151.0,2815574600,-2.6,-0.2337,4.5,-1.9,0.0,3.2,0.0,0.0,-10.5,-7.7,-2.6,-1.6,0.0,-3.3,2.7,0.2925,-9.1,-0.3575,-2.6,1.1,-2.4,-18.4,-0.5581,0.0,22.3,-0.4768,0.0636,18.9,4.9,3.9,14.0,-0.1769,3.9,-10.2,0.163,0.1125,0.0,-2.5,-1.3,0.9101,1.4,0.0,0.2272,1.4,-0.1969,-2.7,0.0,-3.7,0.2239,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-0.5297,0.2163,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.2752,0.2791,0.0226
2026-07-21,168.0,171.0,157.0,160.0,5815015800,10.0,-5.1,-2.0,2.5,0.0,-2.7,0.0,1.3,9.1,3.0,11.5,-1.7,2.2,2.9,27.3,-0.585,-5.6,-0.5224,-4.9,2.0,3.6,-33.0,6.5,0.0,1.1,-0.62,0.0,1.9,-9.5,5.8,-11.0,-0.6805,0.334,-11.2,-0.5439,-0.3399,0.0,-10.4,0.5229,0.8443,-1.1,0.0,8.1,0.0,-0.2391,1.6,0.0,-5.4,0.0,0.7539,-0.2331,0.0,0.0,-0.171,0.0,0.0,-0.3477,0.0,-0.2251,0.0,0.695,0.7281,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.337,0.0
2026-07-22,168.0,170.0,164.0,170.0,3282204300,-2.3,0.0,-21.8,1.9,0.0,0.5237,0.0,-3.9,-2.9,-16.4,0.0,-1.5,-1.5,-1.3,3.4,-0.4389,-17.3,-5.2,1.9,0.6753,-11.9,18.0,-3.2,0.0,-12.8,0.0987,-0.2832,13.0,25.8,0.2352,25.7,1.3,-0.85,-7.6,6.0,0.7132,0.7747,-1.5,-1.5,9.2,-1.0,0.0,6.2,0.0,0.0,0.9832,0.0,-2.9,1.5,-0.4123,0.1133,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.1831,0.713,0.0,0.165,0.0,0.0,0.0,0.0,-0.825,0.0,0.0,2.9,0.0,0.0,2.1,-0.332,0.0
2026-07-23,183.0,196.0,169.0,169.0,12064567200,0.0,-1.3,13.4,-8.1,0.0,2.9,0.0,-13.1,-17.1,-20.7,13.2,0.1995,0.0,-6.9,5.8,0.0,-50.4,-2.4,-5.8,-17.2,8.2,29.2,-4.1,0.7878,41.5,-0.7272,0.0,6.3,-26.9,27.4,70.5,-3.6,0.1882,-42.4,16.5,-0.7782,0.0,-11.2,-9.2,13.6,0.0,0.0,-1.2,0.5519,-0.9895,-12.6,0.0,0.3427,-3.4,16.6,0.0,0.0,0.0873,0.0,0.0791,0.0,-1.5,0.0,0.0,0.0,-1.1,0.2589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6098,0.0,0.1897,0.0,0.1222,-2.2,0.8114,0.0
2026-07-24,171.0,183.0,168.0,180.0,6196891800,9.7,8.7,-60.1,10.1,0.0,-1.9,-0.6782,11.2,10.7,6.3,-12.0,0.0,1.9,3.3,-2.1,0.0,13.6,3.2,3.2,12.2,1.4,-40.1,2.1,-0.0326,40.5,1.0,0.0,84.6,-13.7,-34.9,-71.2,-2.5,0.0,-5.9,-11.5,0.0,0.9002,8.6,7.8,-0.2213,0.0,-0.018,0.0,-3.9,0.0,3.9,0.0,5.1,0.0,-0.7532,0.0,0.0,0.0,0.0,-0.1854,-0.0273,-0.2332,0.0,0.0,0.0,1.2,3.8,-0.0775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.087,0.0,0.0,0.0
