Date,Close,High,Low,Open,Volume,XC,IH,XA,AZ,CP,PC,ZP,AT,AK,BK,XL,YP,CC,FZ,MG,ID,YB,AR,BQ,IU,BR,HD,PD,LG,EP,DH,NI,SQ,KK,KI,OD,GR,CD,TP,RO,RB
2026-07-13,167.0,170.0,165.0,169.0,25942700,-0.0043,-0.0569,0.0017,0.147,0.0771,0.2834,0.0033,0.0,0.1832,-0.0069,-0.099,-0.0231,-0.6353,0.1403,0.0,-0.0644,0.0051,-0.2069,0.0,-0.0509,0.3281,-0.0191,0.0006,0.0,0.0601,0.0,-0.0023,0.0,-0.2168,0.0,-0.0008,0.0,0.1675,-0.0085,-0.0005,-0.0015
2026-07-14,169.0,170.0,167.0,168.0,21029100,0.0027,0.0913,-0.0074,0.0811,-0.0933,0.1418,0.0,0.0,0.0097,-0.0457,-0.0048,-0.0123,-0.1097,-0.2005,-0.0085,0.031,0.0,-0.1626,-0.0027,-0.1195,0.4237,0.0,-0.0127,0.0,0.0148,0.0,0.0011,0.0,-0.0004,0.0,-0.0004,0.0,0.0,-0.0168,0.0,0.0
2026-07-15,169.0,170.0,168.0,169.0,15706900,0.0006,-0.049,0.0027,-0.019,0.1263,-0.0033,-0.0001,0.0,-0.011,-0.2369,-0.0143,-0.0045,-0.0601,0.1045,0.0,-0.0184,0.005,0.1899,0.0039,-0.242,0.2259,0.0,0.0001,0.0,0.0,-0.0001,0.0,-0.0003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,173.0,174.0,167.0,169.0,40766500,-0.0,0.0432,-0.0228,0.4292,-0.0548,-0.1419,0.0421,0.0,0.3229,0.0188,-0.0261,0.3469,-0.0061,-0.0463,0.0086,0.1097,0.0315,0.0262,-0.0293,-0.6172,-0.1057,0.0093,-0.0007,-0.0,-0.0007,0.0172,-0.0419,-0.0,-0.0014,-0.0004,-0.0383,-0.0171,-0.255,0.0,0.0,0.0
2026-07-17,171.0,173.0,169.0,173.0,17868100,-0.0026,0.1262,0.1924,0.1075,0.0877,0.2042,-0.0971,0.0,-0.0642,-0.1907,0.0077,-0.0467,-0.3715,0.036,-0.0085,0.0844,0.001,0.0085,0.0119,-0.1272,0.0518,-0.0053,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,171.0,174.0,170.0,171.0,22987700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,172.0,173.0,170.0,171.0,17561800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,174.0,174.0,169.0,172.0,28817300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,174.0,179.0,172.0,174.0,41368100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,173.0,180.0,171.0,174.0,56118000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
