Date,Close,High,Low,Open,Volume,ZR,CP,GR,PD,CC,XL,XA,YP,KK,AT,DX,XC,SQ,TP,OD,BQ,NI,YU,MU,AZ,YB,LG,RO,DH,AG,QA,ZP,MG,IF,KI,EP,HP,IN,YJ,PC
2026-07-13,550.0,600.0,540.0,595.0,354800,0.0,0.001,0.0008,0.0004,0.0166,-0.0416,0.0003,0.0086,0.0,0.0025,0.0,-0.0017,0.0,0.0,0.0,0.0015,0.0074,0.0,0.0,0.0006,0.0031,0.0011,-0.0017,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0
2026-07-14,685.0,685.0,565.0,575.0,4316500,0.0,0.0201,-0.0021,-0.0081,-0.0393,-0.0466,-0.0036,-0.0821,-0.0022,-0.0016,0.0,0.0308,0.0032,-0.0041,-0.0136,0.1268,0.1045,0.0136,-0.013,-0.0162,-0.0451,-0.0035,-0.0003,0.001,-0.0057,-0.0004,0.0,0.0439,0.0,0.0016,0.0003,0.0,-0.0035,-0.0525,-0.0025
2026-07-15,620.0,660.0,605.0,660.0,2834300,-0.0001,-0.0174,-0.0006,0.0061,0.1812,0.3287,0.0039,0.0041,0.0049,0.0013,0.0,0.0511,0.0368,0.0,0.027,-0.1005,-0.5206,-0.0033,0.0007,-0.0007,0.0196,0.0024,0.0003,0.0,0.0,0.0022,0.0,-0.0272,0.0001,0.0022,-0.0083,0.0062,0.0,0.0,0.0
2026-07-16,600.0,620.0,590.0,620.0,855500,-0.0001,0.0,0.0006,0.0241,-0.0047,0.083,-0.0012,0.0455,0.0,-0.0001,0.0001,-0.0191,-0.008,0.0001,0.0001,0.0013,-0.1397,-0.0,0.0,0.013,0.0137,0.0039,0.0001,0.0019,-0.0,-0.0002,0.0001,-0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,590.0,615.0,570.0,600.0,528300,0.003,0.0,0.0006,0.0038,0.0095,-0.0745,0.0012,-0.0046,0.0007,0.0,0.001,-0.0078,0.0002,0.0011,0.0021,0.0018,0.0541,-0.0,0.0115,-0.0026,-0.0032,0.0004,-0.0001,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,595.0,625.0,580.0,620.0,301200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,575.0,600.0,560.0,595.0,1236300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,555.0,580.0,555.0,580.0,588200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,555.0,570.0,545.0,560.0,511100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,550.0,575.0,535.0,570.0,420300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
