Date,Close,High,Low,Open,Volume,XA,XL,PD,EP,XC,YP,AK,CC,AG,DH,IN,GR,AZ,NI,OD,KK,AT
2026-07-13,136.0,136.0,131.0,134.0,100300,-0.0002,-0.004,-0.0002,-0.001,0.0001,0.0042,0.0009,0.0001,0.0,0.0,0.0,0.0002,0.0005,0.0,0.0,-0.0007,0.0
2026-07-14,134.0,136.0,134.0,135.0,86300,0.0,-0.0035,0.0,0.0007,0.0002,0.0016,0.0,0.0014,0.0,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
2026-07-15,134.0,134.0,130.0,134.0,95900,0.0,-0.0,0.0,-0.0008,0.0006,-0.001,0.001,0.0,0.0,0.0,-0.001,0.0007,0.0006,0.0,0.0,0.0,0.0
2026-07-16,134.0,134.0,132.0,133.0,47500,0.0,-0.0004,0.0,0.0,0.0003,-0.0002,0.0,0.0017,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,135.0,136.0,133.0,134.0,96500,0.0,0.0003,0.0,0.0007,0.0001,-0.0012,0.0009,-0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,138.0,171.0,135.0,135.0,8389800,,,,,,,,,,,,,,,,,
2026-07-21,145.0,151.0,129.0,142.0,3099700,,,,,,,,,,,,,,,,,
2026-07-22,137.0,142.0,136.0,140.0,886500,,,,,,,,,,,,,,,,,
2026-07-23,137.0,142.0,135.0,138.0,476800,,,,,,,,,,,,,,,,,
2026-07-24,133.0,136.0,132.0,136.0,207500,,,,,,,,,,,,,,,,,
