Date,Close,High,Low,Open,Volume,CP,YJ,XL,DR,YP,RG,XA,EP,PD,CC,KK,BK,FS,AT,AI,XC,SQ,TP,LS,OD,QA,BQ,AK,NI,YU,AZ,YB,IU,HP,LG,ZP,HD,RO,DH,MG,CD,ZR,GR,IF,AO,DX,KI,AG,JB,PG,SF,FZ,MI,AR
2026-07-13,204.0,210.0,204.0,210.0,28178800,-0.0544,0.0021,0.3267,0.3457,0.4343,0.0,-0.0211,0.0403,-1.6,0.2969,0.0569,-0.2284,0.0,0.036,0.0058,0.2137,0.0704,-0.0491,0.0,-0.261,0.0007,0.191,0.0128,0.0113,0.0849,-0.0041,0.0969,0.0,-0.0283,-0.1038,-0.018,0.0076,0.0062,0.0394,0.1167,0.0,0.0,-0.026,0.1712,0.0,0.0001,0.0002,0.0,0.0,0.0,-0.0001,0.0061,-0.0971,-0.0567
2026-07-14,206.0,210.0,202.0,208.0,31287500,-0.0314,0.0,0.0984,-0.0788,0.5682,0.0041,-0.0075,0.0124,-0.1385,0.0558,0.1366,0.0744,0.0,-0.0363,0.0,-0.0448,-0.3633,-0.0753,0.0,0.0698,0.0003,0.0084,0.4232,0.0621,-0.114,-0.2885,0.0052,0.0538,0.0233,-0.8897,0.2086,0.0021,0.0022,0.1223,0.1037,0.0,0.0,0.0438,0.032,-0.021,0.0107,0.0,-0.0099,0.0,-0.0227,0.0,0.0,0.0,0.0
2026-07-15,206.0,210.0,204.0,208.0,16657700,0.0029,0.001,0.1543,-0.3431,0.1814,0.0021,0.0051,0.0217,-0.3508,-0.0458,-0.1354,0.0597,0.0,-0.0206,-0.0011,0.0952,-0.1738,0.1071,0.0,0.0725,-0.0001,0.1227,-0.019,0.0579,0.0066,-0.0006,0.0827,0.07,-0.0697,0.0144,0.0121,-0.0017,-0.0003,0.2104,-0.1026,0.001,0.0,-0.0397,-0.0059,0.0,-0.0002,-0.0016,0.0,0.0,0.0312,0.0,0.0,0.0,0.0
2026-07-16,210.0,214.0,206.0,206.0,30607900,0.0142,0.0174,0.2473,0.8514,-0.3157,-0.0003,0.0087,-0.0771,-0.0547,-0.1316,0.0444,0.0072,0.0084,0.0106,0.03,0.0469,-0.3588,0.0125,0.0,-0.0498,0.0062,0.1762,0.0137,-0.0072,-0.2138,0.1001,-0.0223,0.0,0.0036,-0.2463,0.1824,0.0424,0.0041,-0.1648,0.0221,-0.0011,0.0084,-0.0001,-0.2485,0.0146,0.0103,-0.0015,0.0106,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,206.0,212.0,204.0,212.0,33419400,0.1266,0.01,0.6454,0.1384,0.0801,0.0062,0.0052,0.0778,-0.0753,-0.1877,-0.003,-0.8946,0.0125,0.022,-0.0001,0.4428,0.0754,0.1046,-0.0,0.1557,-0.0001,-0.0088,-2.1,0.4203,0.2905,0.0188,0.1126,0.0412,0.172,0.0726,0.022,0.0167,-0.0,0.0945,0.0835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,204.0,210.0,202.0,206.0,48659600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,210.0,210.0,204.0,204.0,31099700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,208.0,212.0,206.0,210.0,27769200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,208.0,218.0,206.0,208.0,127359000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,198.0,206.0,196.0,206.0,76797000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
