Date,Close,High,Low,Open,Volume,DH,AK,MG,EP,QA,KI,XA,ZP,OD,AD,GR,CP,BK,RF,AI,YU,CC,HP,YP,DR,RO,SQ,AG,NI,AZ,XC,BQ,AT,KK,PD,XL,CD,TP,FZ,LG,YB,IF,GI,YJ,PC,HD,AO,MU,DX,BR,SA,SH,PO,ZR,FS,IH,PG,LS,RG,RB,IU,OK
2026-07-13,143.0,145.0,138.0,144.0,23655200,-0.0251,0.236,0.0,0.0016,0.0002,0.0001,0.0007,0.0004,-0.0515,0.0,0.0215,-0.0298,0.0015,0.0,0.0007,-0.0,-0.088,0.0,-0.0123,0.0141,0.0092,0.0009,-0.0091,-0.0388,0.0027,0.0902,-0.018,0.007,0.0008,0.0423,0.2268,0.0,0.0003,-0.0,0.0268,-0.4109,-0.0002,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,148.0,149.0,141.0,143.0,33327800,-0.0062,-0.0626,-0.0088,0.0035,-0.0003,0.1472,-0.0012,0.0,-0.101,0.0,-0.0197,-0.0445,-0.0007,0.0,0.0006,0.0,0.1436,-0.0036,0.012,-0.0099,0.0018,0.2094,0.0,-0.0241,-0.1256,-0.1352,0.0099,-0.004,-0.0184,-0.0672,-0.0281,-0.0001,-0.0031,0.0,-0.021,0.1851,0.0004,0.0,0.0,0.0,-0.0296,-0.0002,0.0,0.0044,0.0,0.0,0.0,0.0,-0.0001,-0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,162.0,165.0,143.0,148.0,140836200,-0.0104,0.1495,-0.001,0.0541,0.0002,0.0008,0.0051,0.0141,-0.0461,0.0,-0.0626,-0.0927,-0.0027,0.0,-0.0051,-0.0166,0.1407,0.0157,-0.0616,-0.0379,-0.0059,-0.3864,0.0001,-0.0921,-0.0194,-0.2964,-0.0353,0.0024,-0.2724,0.0716,0.4471,-0.1606,0.0325,0.0037,-0.0122,0.6853,0.0002,0.0038,0.0003,-0.0032,-0.0007,0.0005,0.0002,-0.0054,0.0001,-0.0003,-0.0003,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,155.0,163.0,154.0,162.0,54455000,-0.3,-0.3713,0.0136,0.0202,0.0018,-0.006,0.0989,-0.005,0.0702,0.0,-0.0289,-0.0532,0.0019,0.0001,0.0004,0.0016,-1.2,0.0268,-0.0076,0.0449,-0.0032,0.0124,0.0,0.0129,-0.1994,0.1958,-0.0021,0.0078,0.4589,0.0597,1.1,-0.0001,0.0001,-0.0072,0.0165,0.1118,-0.0002,-0.0038,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,150.0,158.0,147.0,156.0,27547200,0.026,0.1357,0.0079,0.0035,0.0004,0.0001,-0.0415,0.0015,0.0072,0.0015,0.0226,0.0174,0.0115,0.0078,-0.0011,0.0015,-0.0555,0.1191,-0.1209,-0.007,-0.003,0.0584,-0.0001,0.0735,-0.0132,0.0525,-0.0059,-0.0088,0.1666,0.0056,-0.2369,0.106,0.0031,-0.0,-0.0169,-0.3184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,153.0,158.0,149.0,150.0,34290300,-0.0035,-0.1793,0.0006,0.0117,0.001,0.0027,0.0566,-0.0,-0.0223,-0.0015,0.0074,-0.0481,-0.0184,0.0147,0.0131,0.0009,0.0192,0.0053,0.0301,0.0209,-0.0012,0.0119,0.0,-0.0622,0.0079,-0.075,0.0042,0.0005,-0.0186,-0.0323,0.3957,-0.1078,0.0,-0.0035,-0.0063,-0.0194,0.0,0.0,0.0008,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0007,0.0001,-0.0091
2026-07-21,155.0,157.0,151.0,153.0,29850800,-0.0181,0.6582,0.0018,0.0475,-0.0003,-0.0072,-0.006,0.139,-0.1114,0.0,0.0079,-0.0375,0.0539,-0.0001,-0.0039,-0.0009,0.5951,-0.0013,-0.3446,-0.0009,-0.0012,-0.0571,0.0,-0.118,-0.0001,-0.202,0.0428,0.0818,-0.2727,0.0223,-0.5522,0.0,0.0,-0.0047,0.0385,0.0451,-0.0001,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.0008,0.0,0.0,0.0,0.0,0.0,-0.0023,-0.0007,0.0001,0.0
2026-07-22,154.0,160.0,152.0,157.0,41355200,-0.0867,-0.1072,-0.0196,0.0242,0.0048,-0.0046,-0.0402,-0.1115,0.0716,0.0,0.0851,0.0506,-0.0387,0.0157,-0.0,-0.0,-0.3304,-0.0053,0.0974,0.0014,-0.0016,-0.4166,0.0001,-0.0032,-0.007,0.2051,-0.0005,-0.0099,-0.0137,0.0584,0.5489,0.0,0.0044,0.0,-0.0019,0.0161,0.0,0.0,0.0,0.0002,0.0,0.005,0.0,0.0072,0.0,0.0,-0.0079,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0
2026-07-23,152.0,159.0,151.0,155.0,44200600,0.0111,0.1502,0.0562,0.0654,-0.0048,0.0016,0.159,-0.0115,0.0473,0.0,-0.0449,-0.0597,0.124,-0.0152,0.0002,0.0,0.9168,0.0007,-0.0353,0.0027,0.0005,-0.0422,0.0,-0.0892,-0.0027,-0.061,-0.0196,0.0576,-0.0448,-0.09,-1.1,-0.0002,0.0015,0.0,0.0436,-0.0131,0.0021,0.0,0.0001,-0.0002,0.0012,0.0,0.0018,-0.0071,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0
2026-07-24,151.0,168.0,151.0,155.0,160198000,-0.0108,-0.7393,-0.0906,-0.0685,0.0086,0.0022,0.1673,-0.0117,0.1146,0.0,-0.0501,-0.0061,-0.1432,-0.0227,0.004,-0.0143,-1.3,-0.1078,0.2458,0.0849,-0.0033,0.101,0.0,0.1034,-0.0194,0.0665,0.0316,-0.0087,0.2439,0.163,1.3,0.0,0.0095,0.0014,0.0179,-0.1201,-0.0048,0.0,-0.0033,0.0,-0.0012,-0.0039,0.0006,0.0002,0.0,0.0,-0.0005,-0.0008,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
